,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
33506,Shot Chart Detail,21500002,84,201166,Aaron Brooks,1610612741,Chicago Bulls,1,3,35,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-145,67,1,0,20151027,CHI,CLE,33506
33507,Shot Chart Detail,21500002,201,201166,Aaron Brooks,1610612741,Chicago Bulls,2,7,47,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,50,26,1,1,20151027,CHI,CLE,33507
33508,Shot Chart Detail,21500002,360,201166,Aaron Brooks,1610612741,Chicago Bulls,3,4,59,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,114,-6,1,1,20151027,CHI,CLE,33508
33509,Shot Chart Detail,21500002,367,201166,Aaron Brooks,1610612741,Chicago Bulls,3,4,9,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,48,159,1,1,20151027,CHI,CLE,33509
33510,Shot Chart Detail,21500002,371,201166,Aaron Brooks,1610612741,Chicago Bulls,3,3,34,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,27,190,1,0,20151027,CHI,CLE,33510
33511,Shot Chart Detail,21500002,392,201166,Aaron Brooks,1610612741,Chicago Bulls,3,1,13,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,63,61,1,0,20151027,CHI,CLE,33511
33512,Shot Chart Detail,21500002,398,201166,Aaron Brooks,1610612741,Chicago Bulls,3,0,52,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-137,8,1,0,20151027,CHI,CLE,33512
33513,Shot Chart Detail,21500002,419,201166,Aaron Brooks,1610612741,Chicago Bulls,4,11,3,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-243,43,1,0,20151027,CHI,CLE,33513
33514,Shot Chart Detail,21500002,423,201166,Aaron Brooks,1610612741,Chicago Bulls,4,10,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-117,105,1,0,20151027,CHI,CLE,33514
33515,Shot Chart Detail,21500006,80,201166,Aaron Brooks,1610612741,Chicago Bulls,1,2,18,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,3,1,1,20151028,BKN,CHI,33515
33516,Shot Chart Detail,21500006,110,201166,Aaron Brooks,1610612741,Chicago Bulls,1,0,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,6,247,1,0,20151028,BKN,CHI,33516
33517,Shot Chart Detail,21500006,112,201166,Aaron Brooks,1610612741,Chicago Bulls,1,0,9,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-150,115,1,1,20151028,BKN,CHI,33517
33518,Shot Chart Detail,21500006,114,201166,Aaron Brooks,1610612741,Chicago Bulls,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,97,272,1,0,20151028,BKN,CHI,33518
33519,Shot Chart Detail,21500006,119,201166,Aaron Brooks,1610612741,Chicago Bulls,2,11,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-130,234,1,1,20151028,BKN,CHI,33519
