,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
200447,Shot Chart Detail,21500004,69,203932,Aaron Gordon,1610612753,Orlando Magic,1,4,45,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,ORL,WAS
200448,Shot Chart Detail,21500004,110,203932,Aaron Gordon,1610612753,Orlando Magic,1,1,20,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-19,156,1,0,20151028,ORL,WAS
200449,Shot Chart Detail,21500004,117,203932,Aaron Gordon,1610612753,Orlando Magic,1,0,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,30,247,1,0,20151028,ORL,WAS
200450,Shot Chart Detail,21500004,132,203932,Aaron Gordon,1610612753,Orlando Magic,1,0,0,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,ORL,WAS
200451,Shot Chart Detail,21500004,229,203932,Aaron Gordon,1610612753,Orlando Magic,2,4,9,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,2,1,0,20151028,ORL,WAS
200452,Shot Chart Detail,21500004,233,203932,Aaron Gordon,1610612753,Orlando Magic,2,3,28,Made Shot,Pullup Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-47,2,1,1,20151028,ORL,WAS
200453,Shot Chart Detail,21500004,455,203932,Aaron Gordon,1610612753,Orlando Magic,4,9,9,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,-11,1,1,20151028,ORL,WAS
200454,Shot Chart Detail,21500004,479,203932,Aaron Gordon,1610612753,Orlando Magic,4,7,16,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,-31,1,0,20151028,ORL,WAS
200455,Shot Chart Detail,21500022,149,203932,Aaron Gordon,1610612753,Orlando Magic,2,10,33,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,ORL,OKC
200456,Shot Chart Detail,21500022,153,203932,Aaron Gordon,1610612753,Orlando Magic,2,9,54,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-129,28,1,1,20151030,ORL,OKC
200457,Shot Chart Detail,21500022,453,203932,Aaron Gordon,1610612753,Orlando Magic,4,9,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-150,213,1,1,20151030,ORL,OKC
200458,Shot Chart Detail,21500022,522,203932,Aaron Gordon,1610612753,Orlando Magic,4,3,40,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,27,46,1,1,20151030,ORL,OKC
200459,Shot Chart Detail,21500043,107,203932,Aaron Gordon,1610612753,Orlando Magic,1,1,33,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-151,95,1,0,20151101,CHI,ORL
