,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
180902,Shot Chart Detail,21500850,180,101187,Alan Anderson,1610612764,Washington Wizards,2,9,0,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-32,-1,1,1,20160224,CHI,WAS
180903,Shot Chart Detail,21500850,395,101187,Alan Anderson,1610612764,Washington Wizards,3,2,47,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,-5,1,1,20160224,CHI,WAS
180904,Shot Chart Detail,21500850,449,101187,Alan Anderson,1610612764,Washington Wizards,4,10,14,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-227,-10,1,0,20160224,CHI,WAS
180905,Shot Chart Detail,21500850,462,101187,Alan Anderson,1610612764,Washington Wizards,4,8,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-48,252,1,1,20160224,CHI,WAS
180906,Shot Chart Detail,21500862,176,101187,Alan Anderson,1610612764,Washington Wizards,2,6,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-219,175,1,1,20160226,PHI,WAS
180907,Shot Chart Detail,21500862,396,101187,Alan Anderson,1610612764,Washington Wizards,4,10,9,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,119,7,1,0,20160226,PHI,WAS
180908,Shot Chart Detail,21500862,431,101187,Alan Anderson,1610612764,Washington Wizards,4,6,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,24,247,1,0,20160226,PHI,WAS
180909,Shot Chart Detail,21500877,141,101187,Alan Anderson,1610612764,Washington Wizards,1,0,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-153,237,1,1,20160228,WAS,CLE
180910,Shot Chart Detail,21500877,150,101187,Alan Anderson,1610612764,Washington Wizards,2,11,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,141,219,1,0,20160228,WAS,CLE
180911,Shot Chart Detail,21500877,194,101187,Alan Anderson,1610612764,Washington Wizards,2,7,5,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-241,21,1,0,20160228,WAS,CLE
180912,Shot Chart Detail,21500877,386,101187,Alan Anderson,1610612764,Washington Wizards,3,0,29,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-50,85,1,0,20160228,WAS,CLE
180913,Shot Chart Detail,21500877,473,101187,Alan Anderson,1610612764,Washington Wizards,4,5,56,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-227,31,1,0,20160228,WAS,CLE
180914,Shot Chart Detail,21500904,87,101187,Alan Anderson,1610612764,Washington Wizards,1,3,13,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,11,1,1,20160302,MIN,WAS
180915,Shot Chart Detail,21500904,93,101187,Alan Anderson,1610612764,Washington Wizards,1,2,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-168,188,1,1,20160302,MIN,WAS
180916,Shot Chart Detail,21500904,106,101187,Alan Anderson,1610612764,Washington Wizards,1,0,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-150,203,1,1,20160302,MIN,WAS
180918,Shot Chart Detail,21500904,202,101187,Alan Anderson,1610612764,Washington Wizards,2,7,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,145,195,1,0,20160302,MIN,WAS
180919,Shot Chart Detail,21500904,220,101187,Alan Anderson,1610612764,Washington Wizards,2,6,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-160,205,1,0,20160302,MIN,WAS
180920,Shot Chart Detail,21500904,415,101187,Alan Anderson,1610612764,Washington Wizards,4,10,19,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,7,1,1,20160302,MIN,WAS
180921,Shot Chart Detail,21500904,418,101187,Alan Anderson,1610612764,Washington Wizards,4,9,58,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,8,1,1,20160302,MIN,WAS
180922,Shot Chart Detail,21500904,444,101187,Alan Anderson,1610612764,Washington Wizards,4,6,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,23,30,237,1,1,20160302,MIN,WAS
180923,Shot Chart Detail,21500924,84,101187,Alan Anderson,1610612764,Washington Wizards,1,2,42,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,57,1,1,20160305,WAS,IND
180924,Shot Chart Detail,21500924,112,101187,Alan Anderson,1610612764,Washington Wizards,2,11,30,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-110,33,1,1,20160305,WAS,IND
180925,Shot Chart Detail,21500924,125,101187,Alan Anderson,1610612764,Washington Wizards,2,9,51,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-102,92,1,0,20160305,WAS,IND
180926,Shot Chart Detail,21500924,209,101187,Alan Anderson,1610612764,Washington Wizards,2,3,23,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,187,31,1,1,20160305,WAS,IND
180927,Shot Chart Detail,21500924,467,101187,Alan Anderson,1610612764,Washington Wizards,4,5,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-145,228,1,0,20160305,WAS,IND
180928,Shot Chart Detail,21500924,481,101187,Alan Anderson,1610612764,Washington Wizards,4,4,45,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-158,105,1,0,20160305,WAS,IND
180929,Shot Chart Detail,21500969,96,101187,Alan Anderson,1610612764,Washington Wizards,1,1,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,177,174,1,1,20160311,UTA,WAS
180930,Shot Chart Detail,21500969,103,101187,Alan Anderson,1610612764,Washington Wizards,1,1,2,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,2,1,0,20160311,UTA,WAS
180931,Shot Chart Detail,21500969,110,101187,Alan Anderson,1610612764,Washington Wizards,1,0,8,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,19,2,1,0,20160311,UTA,WAS
180932,Shot Chart Detail,21500969,113,101187,Alan Anderson,1610612764,Washington Wizards,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,32,156,283,1,0,20160311,UTA,WAS
180933,Shot Chart Detail,21500969,138,101187,Alan Anderson,1610612764,Washington Wizards,2,9,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-219,110,1,0,20160311,UTA,WAS
180934,Shot Chart Detail,21500969,162,101187,Alan Anderson,1610612764,Washington Wizards,2,6,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-71,232,1,0,20160311,UTA,WAS
180935,Shot Chart Detail,21500969,306,101187,Alan Anderson,1610612764,Washington Wizards,3,4,35,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,30,7,1,0,20160311,UTA,WAS
180936,Shot Chart Detail,21500989,129,101187,Alan Anderson,1610612764,Washington Wizards,2,11,40,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,96,242,1,1,20160314,WAS,DET
180937,Shot Chart Detail,21501032,65,101187,Alan Anderson,1610612764,Washington Wizards,1,3,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,79,247,1,0,20160319,WAS,NYK
180938,Shot Chart Detail,21501032,81,101187,Alan Anderson,1610612764,Washington Wizards,1,1,7,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,241,21,1,0,20160319,WAS,NYK
180939,Shot Chart Detail,21501032,113,101187,Alan Anderson,1610612764,Washington Wizards,2,10,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,110,234,1,0,20160319,WAS,NYK
180940,Shot Chart Detail,21501032,231,101187,Alan Anderson,1610612764,Washington Wizards,2,2,41,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,2,1,1,20160319,WAS,NYK
180941,Shot Chart Detail,21501032,359,101187,Alan Anderson,1610612764,Washington Wizards,3,2,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,222,139,1,0,20160319,WAS,NYK
180942,Shot Chart Detail,21501032,370,101187,Alan Anderson,1610612764,Washington Wizards,3,0,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-199,174,1,0,20160319,WAS,NYK
180943,Shot Chart Detail,21501182,120,101187,Alan Anderson,1610612764,Washington Wizards,2,8,51,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-233,85,1,0,20160408,DET,WAS
180944,Shot Chart Detail,21501182,421,101187,Alan Anderson,1610612764,Washington Wizards,4,7,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,115,252,1,0,20160408,DET,WAS
180945,Shot Chart Detail,21501182,508,101187,Alan Anderson,1610612764,Washington Wizards,4,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-144,217,1,0,20160408,DET,WAS
180946,Shot Chart Detail,21501194,111,101187,Alan Anderson,1610612764,Washington Wizards,1,0,14,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-45,121,1,0,20160410,WAS,CHA
180947,Shot Chart Detail,21501194,146,101187,Alan Anderson,1610612764,Washington Wizards,2,10,1,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,7,1,1,20160410,WAS,CHA
180948,Shot Chart Detail,21501194,202,101187,Alan Anderson,1610612764,Washington Wizards,2,5,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-112,244,1,0,20160410,WAS,CHA
180949,Shot Chart Detail,21501206,84,101187,Alan Anderson,1610612764,Washington Wizards,1,3,36,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-227,-26,1,0,20160411,BKN,WAS
180950,Shot Chart Detail,21501206,114,101187,Alan Anderson,1610612764,Washington Wizards,1,0,47,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-37,242,1,0,20160411,BKN,WAS
180951,Shot Chart Detail,21501206,166,101187,Alan Anderson,1610612764,Washington Wizards,2,8,47,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,7,1,1,20160411,BKN,WAS
180952,Shot Chart Detail,21501206,354,101187,Alan Anderson,1610612764,Washington Wizards,3,3,48,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,3,1,0,20160411,BKN,WAS
180953,Shot Chart Detail,21501206,359,101187,Alan Anderson,1610612764,Washington Wizards,3,3,14,Made Shot,Driving Bank shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-137,51,1,1,20160411,BKN,WAS
180954,Shot Chart Detail,21501206,378,101187,Alan Anderson,1610612764,Washington Wizards,3,1,59,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,-6,1,0,20160411,BKN,WAS
180955,Shot Chart Detail,21501206,406,101187,Alan Anderson,1610612764,Washington Wizards,3,0,42,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-40,31,1,0,20160411,BKN,WAS
180956,Shot Chart Detail,21501206,432,101187,Alan Anderson,1610612764,Washington Wizards,4,10,36,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,10,120,1,0,20160411,BKN,WAS
180957,Shot Chart Detail,21501221,107,101187,Alan Anderson,1610612764,Washington Wizards,1,2,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-119,214,1,1,20160413,WAS,ATL
180958,Shot Chart Detail,21501221,115,101187,Alan Anderson,1610612764,Washington Wizards,1,1,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,112,232,1,0,20160413,WAS,ATL
180959,Shot Chart Detail,21501221,135,101187,Alan Anderson,1610612764,Washington Wizards,2,11,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-196,193,1,0,20160413,WAS,ATL
180960,Shot Chart Detail,21501221,459,101187,Alan Anderson,1610612764,Washington Wizards,3,0,44,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,61,11,1,0,20160413,WAS,ATL
