,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
131178,Shot Chart Detail,21500007,80,202692,Alec Burks,1610612762,Utah Jazz,1,2,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,128,7,1,0,20151028,DET,UTA,131178
131179,Shot Chart Detail,21500007,90,202692,Alec Burks,1610612762,Utah Jazz,1,1,2,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,-6,1,1,20151028,DET,UTA,131179
131180,Shot Chart Detail,21500007,98,202692,Alec Burks,1610612762,Utah Jazz,1,0,1,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,2,1,0,20151028,DET,UTA,131180
131181,Shot Chart Detail,21500007,130,202692,Alec Burks,1610612762,Utah Jazz,2,9,12,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,177,75,1,1,20151028,DET,UTA,131181
131182,Shot Chart Detail,21500007,337,202692,Alec Burks,1610612762,Utah Jazz,3,0,41,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-43,16,1,0,20151028,DET,UTA,131182
131183,Shot Chart Detail,21500007,354,202692,Alec Burks,1610612762,Utah Jazz,4,11,40,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,128,70,1,0,20151028,DET,UTA,131183
131184,Shot Chart Detail,21500007,383,202692,Alec Burks,1610612762,Utah Jazz,4,9,31,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,2,1,1,20151028,DET,UTA,131184
131185,Shot Chart Detail,21500007,385,202692,Alec Burks,1610612762,Utah Jazz,4,9,16,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-1,1,0,20151028,DET,UTA,131185
131186,Shot Chart Detail,21500007,408,202692,Alec Burks,1610612762,Utah Jazz,4,6,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,12,208,1,0,20151028,DET,UTA,131186
131187,Shot Chart Detail,21500007,426,202692,Alec Burks,1610612762,Utah Jazz,4,5,11,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-47,21,1,0,20151028,DET,UTA,131187
131188,Shot Chart Detail,21500007,446,202692,Alec Burks,1610612762,Utah Jazz,4,3,48,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,68,33,1,1,20151028,DET,UTA,131188
131189,Shot Chart Detail,21500007,463,202692,Alec Burks,1610612762,Utah Jazz,4,1,58,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,13,73,115,1,1,20151028,DET,UTA,131189
131190,Shot Chart Detail,21500007,465,202692,Alec Burks,1610612762,Utah Jazz,4,1,21,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,86,51,1,1,20151028,DET,UTA,131190
131191,Shot Chart Detail,21500007,477,202692,Alec Burks,1610612762,Utah Jazz,4,0,9,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-125,36,1,0,20151028,DET,UTA,131191
131192,Shot Chart Detail,21500023,79,202692,Alec Burks,1610612762,Utah Jazz,1,5,38,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,71,11,1,1,20151030,PHI,UTA,131192
131193,Shot Chart Detail,21500023,88,202692,Alec Burks,1610612762,Utah Jazz,1,4,41,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,2,1,1,20151030,PHI,UTA,131193
131194,Shot Chart Detail,21500023,126,202692,Alec Burks,1610612762,Utah Jazz,1,2,4,Made Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,87,21,1,1,20151030,PHI,UTA,131194
131195,Shot Chart Detail,21500023,134,202692,Alec Burks,1610612762,Utah Jazz,1,0,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-88,124,1,0,20151030,PHI,UTA,131195
131196,Shot Chart Detail,21500023,183,202692,Alec Burks,1610612762,Utah Jazz,2,8,19,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,-10,1,1,20151030,PHI,UTA,131196
131197,Shot Chart Detail,21500023,247,202692,Alec Burks,1610612762,Utah Jazz,2,2,3,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-76,169,1,1,20151030,PHI,UTA,131197
131198,Shot Chart Detail,21500023,266,202692,Alec Burks,1610612762,Utah Jazz,2,0,24,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,164,13,1,0,20151030,PHI,UTA,131198
131199,Shot Chart Detail,21500023,513,202692,Alec Burks,1610612762,Utah Jazz,4,3,49,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,PHI,UTA,131199
131200,Shot Chart Detail,21500033,128,202692,Alec Burks,1610612762,Utah Jazz,1,0,34,Missed Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-119,28,1,0,20151031,IND,UTA,131200
131201,Shot Chart Detail,21500033,141,202692,Alec Burks,1610612762,Utah Jazz,1,0,0,Missed Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,53,7,1,0,20151031,IND,UTA,131201
131202,Shot Chart Detail,21500033,177,202692,Alec Burks,1610612762,Utah Jazz,2,7,51,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,74,160,1,0,20151031,IND,UTA,131202
131203,Shot Chart Detail,21500033,186,202692,Alec Burks,1610612762,Utah Jazz,2,6,47,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,2,1,1,20151031,IND,UTA,131203
