,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
1433,Shot Chart Detail,21500014,106,203458,Alex Len,1610612756,Phoenix Suns,1,3,40,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,PHX,DAL
1434,Shot Chart Detail,21500014,127,203458,Alex Len,1610612756,Phoenix Suns,1,2,29,Missed Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20151028,PHX,DAL
1435,Shot Chart Detail,21500014,270,203458,Alex Len,1610612756,Phoenix Suns,2,3,8,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-99,65,1,0,20151028,PHX,DAL
1436,Shot Chart Detail,21500032,114,203458,Alex Len,1610612756,Phoenix Suns,1,1,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,18,1,1,20151030,PHX,POR
1437,Shot Chart Detail,21500032,391,203458,Alex Len,1610612756,Phoenix Suns,3,3,33,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,3,1,1,20151030,PHX,POR
1438,Shot Chart Detail,21500032,399,203458,Alex Len,1610612756,Phoenix Suns,3,3,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-151,146,1,0,20151030,PHX,POR
1439,Shot Chart Detail,21500032,437,203458,Alex Len,1610612756,Phoenix Suns,4,11,9,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,2,1,1,20151030,PHX,POR
1440,Shot Chart Detail,21500032,454,203458,Alex Len,1610612756,Phoenix Suns,4,9,48,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,145,124,1,0,20151030,PHX,POR
1441,Shot Chart Detail,21500032,584,203458,Alex Len,1610612756,Phoenix Suns,4,0,54,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,2,1,1,20151030,PHX,POR
1442,Shot Chart Detail,21500037,99,203458,Alex Len,1610612756,Phoenix Suns,1,0,58,Missed Shot,Driving Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,16,1,0,20151031,POR,PHX
