,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
131766,Shot Chart Detail,21500003,461,201582,Alexis Ajinca,1610612740,New Orleans Pelicans,4,10,49,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-27,169,1,1,20151027,GSW,NOP,131766
131767,Shot Chart Detail,21500003,464,201582,Alexis Ajinca,1610612740,New Orleans Pelicans,4,10,14,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,24,75,1,0,20151027,GSW,NOP,131767
131768,Shot Chart Detail,21500003,475,201582,Alexis Ajinca,1610612740,New Orleans Pelicans,4,9,21,Missed Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-16,28,1,0,20151027,GSW,NOP,131768
131769,Shot Chart Detail,21500003,478,201582,Alexis Ajinca,1610612740,New Orleans Pelicans,4,9,16,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,13,1,1,20151027,GSW,NOP,131769
131770,Shot Chart Detail,21500003,511,201582,Alexis Ajinca,1610612740,New Orleans Pelicans,4,6,38,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,17,26,1,0,20151027,GSW,NOP,131770
131771,Shot Chart Detail,21500003,572,201582,Alexis Ajinca,1610612740,New Orleans Pelicans,4,0,52,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-68,43,1,0,20151027,GSW,NOP,131771
131772,Shot Chart Detail,21500003,584,201582,Alexis Ajinca,1610612740,New Orleans Pelicans,4,0,26,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-32,72,1,1,20151027,GSW,NOP,131772
131773,Shot Chart Detail,21500015,114,201582,Alexis Ajinca,1610612740,New Orleans Pelicans,1,3,31,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-14,21,1,0,20151028,POR,NOP,131773
131774,Shot Chart Detail,21500015,150,201582,Alexis Ajinca,1610612740,New Orleans Pelicans,1,0,54,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-24,160,1,0,20151028,POR,NOP,131774
131775,Shot Chart Detail,21500015,157,201582,Alexis Ajinca,1610612740,New Orleans Pelicans,1,0,17,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,37,21,1,0,20151028,POR,NOP,131775
