,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
37878,Shot Chart Detail,21500015,127,203459,Allen Crabbe,1610612757,Portland Trail Blazers,1,2,33,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,-1,1,1,20151028,POR,NOP
37879,Shot Chart Detail,21500015,129,203459,Allen Crabbe,1610612757,Portland Trail Blazers,1,2,22,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,-11,1,0,20151028,POR,NOP
37880,Shot Chart Detail,21500015,167,203459,Allen Crabbe,1610612757,Portland Trail Blazers,2,11,33,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-61,195,1,0,20151028,POR,NOP
37881,Shot Chart Detail,21500015,189,203459,Allen Crabbe,1610612757,Portland Trail Blazers,2,9,0,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-238,33,1,0,20151028,POR,NOP
37882,Shot Chart Detail,21500015,429,203459,Allen Crabbe,1610612757,Portland Trail Blazers,4,11,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-150,-1,1,1,20151028,POR,NOP
37883,Shot Chart Detail,21500015,434,203459,Allen Crabbe,1610612757,Portland Trail Blazers,4,11,7,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,-16,1,0,20151028,POR,NOP
37884,Shot Chart Detail,21500032,134,203459,Allen Crabbe,1610612757,Portland Trail Blazers,2,11,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,23,-12,239,1,0,20151030,PHX,POR
37885,Shot Chart Detail,21500032,174,203459,Allen Crabbe,1610612757,Portland Trail Blazers,2,7,46,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,143,2,1,0,20151030,PHX,POR
37886,Shot Chart Detail,21500032,435,203459,Allen Crabbe,1610612757,Portland Trail Blazers,4,11,28,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,33,164,1,0,20151030,PHX,POR
37887,Shot Chart Detail,21500037,96,203459,Allen Crabbe,1610612757,Portland Trail Blazers,1,1,53,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151031,POR,PHX
37888,Shot Chart Detail,21500037,130,203459,Allen Crabbe,1610612757,Portland Trail Blazers,2,10,12,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,195,67,1,1,20151031,POR,PHX
37889,Shot Chart Detail,21500037,141,203459,Allen Crabbe,1610612757,Portland Trail Blazers,2,8,45,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,3,1,1,20151031,POR,PHX
37890,Shot Chart Detail,21500037,143,203459,Allen Crabbe,1610612757,Portland Trail Blazers,2,8,25,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,-1,1,0,20151031,POR,PHX
37891,Shot Chart Detail,21500037,150,203459,Allen Crabbe,1610612757,Portland Trail Blazers,2,7,59,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,2,1,0,20151031,POR,PHX
37892,Shot Chart Detail,21500037,327,203459,Allen Crabbe,1610612757,Portland Trail Blazers,3,4,31,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,156,129,1,1,20151031,POR,PHX
37893,Shot Chart Detail,21500037,360,203459,Allen Crabbe,1610612757,Portland Trail Blazers,3,1,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,191,149,1,0,20151031,POR,PHX
