,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
176382,Shot Chart Detail,21500005,139,101161,Amir Johnson,1610612738,Boston Celtics,2,10,17,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-29,-6,1,0,20151028,BOS,PHI,176382
176383,Shot Chart Detail,21500005,140,101161,Amir Johnson,1610612738,Boston Celtics,2,10,14,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20151028,BOS,PHI,176383
176384,Shot Chart Detail,21500005,165,101161,Amir Johnson,1610612738,Boston Celtics,2,8,43,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-4,65,1,0,20151028,BOS,PHI,176384
176385,Shot Chart Detail,21500005,177,101161,Amir Johnson,1610612738,Boston Celtics,2,8,4,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,-1,1,1,20151028,BOS,PHI,176385
176386,Shot Chart Detail,21500005,264,101161,Amir Johnson,1610612738,Boston Celtics,2,1,16,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,2,1,1,20151028,BOS,PHI,176386
176387,Shot Chart Detail,21500005,372,101161,Amir Johnson,1610612738,Boston Celtics,3,4,17,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,-1,1,1,20151028,BOS,PHI,176387
176388,Shot Chart Detail,21500005,376,101161,Amir Johnson,1610612738,Boston Celtics,3,3,51,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,7,1,0,20151028,BOS,PHI,176388
176389,Shot Chart Detail,21500005,393,101161,Amir Johnson,1610612738,Boston Celtics,3,2,55,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,-1,1,1,20151028,BOS,PHI,176389
176390,Shot Chart Detail,21500005,402,101161,Amir Johnson,1610612738,Boston Celtics,3,1,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-37,249,1,0,20151028,BOS,PHI,176390
176391,Shot Chart Detail,21500005,522,101161,Amir Johnson,1610612738,Boston Celtics,4,4,30,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,-10,1,1,20151028,BOS,PHI,176391
