,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
105435,Shot Chart Detail,21500001,2,203083,Andre Drummond,1610612765,Detroit Pistons,1,11,41,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,-6,1,0,20151027,ATL,DET
105436,Shot Chart Detail,21500001,10,203083,Andre Drummond,1610612765,Detroit Pistons,1,10,13,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-79,31,1,0,20151027,ATL,DET
105437,Shot Chart Detail,21500001,30,203083,Andre Drummond,1610612765,Detroit Pistons,1,8,41,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-9,62,1,0,20151027,ATL,DET
105438,Shot Chart Detail,21500001,33,203083,Andre Drummond,1610612765,Detroit Pistons,1,8,11,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151027,ATL,DET
105439,Shot Chart Detail,21500001,86,203083,Andre Drummond,1610612765,Detroit Pistons,1,3,33,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,2,1,1,20151027,ATL,DET
105440,Shot Chart Detail,21500001,209,203083,Andre Drummond,1610612765,Detroit Pistons,2,3,23,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,14,51,1,0,20151027,ATL,DET
105441,Shot Chart Detail,21500001,211,203083,Andre Drummond,1610612765,Detroit Pistons,2,3,21,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,7,1,1,20151027,ATL,DET
105442,Shot Chart Detail,21500001,246,203083,Andre Drummond,1610612765,Detroit Pistons,3,11,16,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,20,43,1,0,20151027,ATL,DET
105443,Shot Chart Detail,21500001,262,203083,Andre Drummond,1610612765,Detroit Pistons,3,9,36,Missed Shot,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-91,51,1,0,20151027,ATL,DET
105444,Shot Chart Detail,21500001,285,203083,Andre Drummond,1610612765,Detroit Pistons,3,7,22,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,2,1,1,20151027,ATL,DET
105445,Shot Chart Detail,21500001,288,203083,Andre Drummond,1610612765,Detroit Pistons,3,6,35,Missed Shot,Hook Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-4,80,1,0,20151027,ATL,DET
105446,Shot Chart Detail,21500001,345,203083,Andre Drummond,1610612765,Detroit Pistons,3,1,10,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-1,1,0,20151027,ATL,DET
105447,Shot Chart Detail,21500001,348,203083,Andre Drummond,1610612765,Detroit Pistons,3,1,6,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-5,1,1,20151027,ATL,DET
105448,Shot Chart Detail,21500001,353,203083,Andre Drummond,1610612765,Detroit Pistons,3,0,26,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151027,ATL,DET
105449,Shot Chart Detail,21500001,438,203083,Andre Drummond,1610612765,Detroit Pistons,4,4,59,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,7,1,0,20151027,ATL,DET
105450,Shot Chart Detail,21500001,479,203083,Andre Drummond,1610612765,Detroit Pistons,4,2,7,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-6,1,0,20151027,ATL,DET
105451,Shot Chart Detail,21500007,40,203083,Andre Drummond,1610612765,Detroit Pistons,1,5,55,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,1,41,1,0,20151028,DET,UTA
105452,Shot Chart Detail,21500007,69,203083,Andre Drummond,1610612765,Detroit Pistons,1,2,41,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-48,11,1,0,20151028,DET,UTA
105453,Shot Chart Detail,21500007,91,203083,Andre Drummond,1610612765,Detroit Pistons,1,0,48,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,46,2,1,0,20151028,DET,UTA
105454,Shot Chart Detail,21500007,97,203083,Andre Drummond,1610612765,Detroit Pistons,1,0,7,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,DET,UTA
105455,Shot Chart Detail,21500007,225,203083,Andre Drummond,1610612765,Detroit Pistons,3,11,36,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,22,21,1,1,20151028,DET,UTA
105456,Shot Chart Detail,21500007,236,203083,Andre Drummond,1610612765,Detroit Pistons,3,9,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-1,1,1,20151028,DET,UTA
105457,Shot Chart Detail,21500007,242,203083,Andre Drummond,1610612765,Detroit Pistons,3,9,28,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,-16,1,0,20151028,DET,UTA
105458,Shot Chart Detail,21500007,244,203083,Andre Drummond,1610612765,Detroit Pistons,3,9,25,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-1,1,0,20151028,DET,UTA
105459,Shot Chart Detail,21500007,318,203083,Andre Drummond,1610612765,Detroit Pistons,3,2,28,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,DET,UTA
105460,Shot Chart Detail,21500007,339,203083,Andre Drummond,1610612765,Detroit Pistons,3,0,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,0,1,1,20151028,DET,UTA
105461,Shot Chart Detail,21500007,453,203083,Andre Drummond,1610612765,Detroit Pistons,4,2,57,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-56,7,1,0,20151028,DET,UTA
105462,Shot Chart Detail,21500025,5,203083,Andre Drummond,1610612765,Detroit Pistons,1,11,9,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-74,-5,1,0,20151030,DET,CHI
105463,Shot Chart Detail,21500025,17,203083,Andre Drummond,1610612765,Detroit Pistons,1,10,6,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,-16,1,0,20151030,DET,CHI
105464,Shot Chart Detail,21500025,19,203083,Andre Drummond,1610612765,Detroit Pistons,1,10,4,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,-1,1,0,20151030,DET,CHI
105465,Shot Chart Detail,21500025,20,203083,Andre Drummond,1610612765,Detroit Pistons,1,10,1,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-1,1,1,20151030,DET,CHI
105466,Shot Chart Detail,21500025,27,203083,Andre Drummond,1610612765,Detroit Pistons,1,9,13,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,45,82,1,0,20151030,DET,CHI
105467,Shot Chart Detail,21500025,57,203083,Andre Drummond,1610612765,Detroit Pistons,1,6,15,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,DET,CHI
105468,Shot Chart Detail,21500025,60,203083,Andre Drummond,1610612765,Detroit Pistons,1,5,31,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-1,1,1,20151030,DET,CHI
105469,Shot Chart Detail,21500025,187,203083,Andre Drummond,1610612765,Detroit Pistons,2,6,28,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-22,36,1,1,20151030,DET,CHI
105470,Shot Chart Detail,21500025,242,203083,Andre Drummond,1610612765,Detroit Pistons,2,0,53,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,69,2,1,0,20151030,DET,CHI
105471,Shot Chart Detail,21500025,326,203083,Andre Drummond,1610612765,Detroit Pistons,3,4,59,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-50,2,1,0,20151030,DET,CHI
105472,Shot Chart Detail,21500025,339,203083,Andre Drummond,1610612765,Detroit Pistons,3,3,34,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-6,1,0,20151030,DET,CHI
105473,Shot Chart Detail,21500025,352,203083,Andre Drummond,1610612765,Detroit Pistons,3,2,45,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-53,11,1,0,20151030,DET,CHI
105474,Shot Chart Detail,21500025,367,203083,Andre Drummond,1610612765,Detroit Pistons,3,0,49,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-5,1,1,20151030,DET,CHI
105475,Shot Chart Detail,21500025,456,203083,Andre Drummond,1610612765,Detroit Pistons,4,6,7,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-73,139,1,0,20151030,DET,CHI
105476,Shot Chart Detail,21500025,477,203083,Andre Drummond,1610612765,Detroit Pistons,4,5,19,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,-11,1,0,20151030,DET,CHI
105477,Shot Chart Detail,21500025,482,203083,Andre Drummond,1610612765,Detroit Pistons,4,4,27,Missed Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,9,33,1,0,20151030,DET,CHI
105478,Shot Chart Detail,21500025,505,203083,Andre Drummond,1610612765,Detroit Pistons,4,1,40,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-1,1,1,20151030,DET,CHI
105479,Shot Chart Detail,21500025,536,203083,Andre Drummond,1610612765,Detroit Pistons,5,3,2,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,DET,CHI
105480,Shot Chart Detail,21500025,562,203083,Andre Drummond,1610612765,Detroit Pistons,5,1,35,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,-1,1,1,20151030,DET,CHI
105481,Shot Chart Detail,21500054,4,203083,Andre Drummond,1610612765,Detroit Pistons,1,11,29,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151103,DET,IND
105482,Shot Chart Detail,21500054,18,203083,Andre Drummond,1610612765,Detroit Pistons,1,9,23,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-79,7,1,0,20151103,DET,IND
105483,Shot Chart Detail,21500054,47,203083,Andre Drummond,1610612765,Detroit Pistons,1,6,52,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,-10,1,1,20151103,DET,IND
105484,Shot Chart Detail,21500054,57,203083,Andre Drummond,1610612765,Detroit Pistons,1,5,48,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,-11,1,1,20151103,DET,IND
105485,Shot Chart Detail,21500054,69,203083,Andre Drummond,1610612765,Detroit Pistons,1,3,23,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,50,2,1,1,20151103,DET,IND
105486,Shot Chart Detail,21500054,94,203083,Andre Drummond,1610612765,Detroit Pistons,1,0,32,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151103,DET,IND
105487,Shot Chart Detail,21500054,158,203083,Andre Drummond,1610612765,Detroit Pistons,2,6,55,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-5,1,1,20151103,DET,IND
105488,Shot Chart Detail,21500054,202,203083,Andre Drummond,1610612765,Detroit Pistons,2,1,48,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-5,1,1,20151103,DET,IND
105489,Shot Chart Detail,21500054,260,203083,Andre Drummond,1610612765,Detroit Pistons,3,8,30,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-5,1,1,20151103,DET,IND
