,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
194239,Shot Chart Detail,21500101,394,1889,Andre Miller,1610612750,Minnesota Timberwolves,4,7,46,Missed Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,-5,1,0,20151109,ATL,MIN
194240,Shot Chart Detail,21500125,115,1889,Andre Miller,1610612750,Minnesota Timberwolves,1,0,1,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,-6,1,0,20151112,MIN,GSW
194241,Shot Chart Detail,21500125,135,1889,Andre Miller,1610612750,Minnesota Timberwolves,2,10,34,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,8,1,1,20151112,MIN,GSW
194242,Shot Chart Detail,21500125,323,1889,Andre Miller,1610612750,Minnesota Timberwolves,3,5,31,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-6,62,1,0,20151112,MIN,GSW
194243,Shot Chart Detail,21500125,357,1889,Andre Miller,1610612750,Minnesota Timberwolves,3,3,41,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,8,1,1,20151112,MIN,GSW
194244,Shot Chart Detail,21500125,368,1889,Andre Miller,1610612750,Minnesota Timberwolves,3,2,14,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,1,52,1,1,20151112,MIN,GSW
194245,Shot Chart Detail,21500125,407,1889,Andre Miller,1610612750,Minnesota Timberwolves,4,10,33,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,26,1,1,20151112,MIN,GSW
194246,Shot Chart Detail,21500125,434,1889,Andre Miller,1610612750,Minnesota Timberwolves,4,7,36,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,-9,149,1,1,20151112,MIN,GSW
194247,Shot Chart Detail,21500125,448,1889,Andre Miller,1610612750,Minnesota Timberwolves,4,6,8,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,120,151,1,0,20151112,MIN,GSW
194248,Shot Chart Detail,21500127,145,1889,Andre Miller,1610612750,Minnesota Timberwolves,2,7,10,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,11,1,1,20151113,IND,MIN
194249,Shot Chart Detail,21500127,317,1889,Andre Miller,1610612750,Minnesota Timberwolves,3,1,40,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,122,90,1,1,20151113,IND,MIN
194250,Shot Chart Detail,21500127,383,1889,Andre Miller,1610612750,Minnesota Timberwolves,4,7,6,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-145,7,1,1,20151113,IND,MIN
194251,Shot Chart Detail,21500127,396,1889,Andre Miller,1610612750,Minnesota Timberwolves,4,6,6,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,16,1,1,20151113,IND,MIN
194252,Shot Chart Detail,21500127,451,1889,Andre Miller,1610612750,Minnesota Timberwolves,4,0,24,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,-11,1,0,20151113,IND,MIN
194253,Shot Chart Detail,21500146,53,1889,Andre Miller,1610612750,Minnesota Timberwolves,1,5,8,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,-1,1,1,20151115,MIN,MEM
