,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
164983,Shot Chart Detail,21500013,5,203460,Andre Roberson,1610612760,Oklahoma City Thunder,1,11,57,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,1,1,1,20151028,OKC,SAS
164984,Shot Chart Detail,21500022,341,203460,Andre Roberson,1610612760,Oklahoma City Thunder,3,6,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-228,116,1,0,20151030,ORL,OKC
164985,Shot Chart Detail,21500044,24,203460,Andre Roberson,1610612760,Oklahoma City Thunder,1,8,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-204,151,1,0,20151101,OKC,DEN
164986,Shot Chart Detail,21500044,40,203460,Andre Roberson,1610612760,Oklahoma City Thunder,1,7,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-217,104,1,0,20151101,OKC,DEN
164987,Shot Chart Detail,21500044,242,203460,Andre Roberson,1610612760,Oklahoma City Thunder,2,3,20,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,-5,1,1,20151101,OKC,DEN
164988,Shot Chart Detail,21500044,317,203460,Andre Roberson,1610612760,Oklahoma City Thunder,3,10,30,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,2,1,0,20151101,OKC,DEN
164989,Shot Chart Detail,21500044,358,203460,Andre Roberson,1610612760,Oklahoma City Thunder,3,7,29,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,35,8,1,1,20151101,OKC,DEN
164990,Shot Chart Detail,21500044,374,203460,Andre Roberson,1610612760,Oklahoma City Thunder,3,5,43,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-222,16,1,1,20151101,OKC,DEN
164991,Shot Chart Detail,21500044,398,203460,Andre Roberson,1610612760,Oklahoma City Thunder,3,3,57,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-35,80,1,1,20151101,OKC,DEN
164992,Shot Chart Detail,21500049,5,203460,Andre Roberson,1610612760,Oklahoma City Thunder,1,10,58,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-106,16,1,0,20151102,HOU,OKC
