,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
162612,Shot Chart Detail,21500003,15,101106,Andrew Bogut,1610612744,Golden State Warriors,1,9,33,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-8,4,1,1,20151027,GSW,NOP,162612
162613,Shot Chart Detail,21500003,34,101106,Andrew Bogut,1610612744,Golden State Warriors,1,7,29,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151027,GSW,NOP,162613
162614,Shot Chart Detail,21500003,204,101106,Andrew Bogut,1610612744,Golden State Warriors,2,6,35,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,23,1,1,20151027,GSW,NOP,162614
162615,Shot Chart Detail,21500003,233,101106,Andrew Bogut,1610612744,Golden State Warriors,2,3,47,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,16,1,1,20151027,GSW,NOP,162615
162616,Shot Chart Detail,21500003,255,101106,Andrew Bogut,1610612744,Golden State Warriors,2,2,4,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,2,1,1,20151027,GSW,NOP,162616
162617,Shot Chart Detail,21500003,286,101106,Andrew Bogut,1610612744,Golden State Warriors,3,11,10,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-14,75,1,1,20151027,GSW,NOP,162617
162618,Shot Chart Detail,21500104,59,101106,Andrew Bogut,1610612744,Golden State Warriors,1,4,16,Missed Shot,No Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-7,21,1,0,20151109,GSW,DET,162618
162619,Shot Chart Detail,21500104,61,101106,Andrew Bogut,1610612744,Golden State Warriors,1,4,14,Made Shot,No Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,7,1,1,20151109,GSW,DET,162619
162620,Shot Chart Detail,21500104,79,101106,Andrew Bogut,1610612744,Golden State Warriors,1,3,1,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-4,61,1,1,20151109,GSW,DET,162620
162621,Shot Chart Detail,21500104,351,101106,Andrew Bogut,1610612744,Golden State Warriors,3,1,50,Missed Shot,No Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,4,1,0,20151109,GSW,DET,162621
162622,Shot Chart Detail,21500104,353,101106,Andrew Bogut,1610612744,Golden State Warriors,3,1,49,Made Shot,No Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,7,1,1,20151109,GSW,DET,162622
