,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
115191,Shot Chart Detail,21500007,162,201229,Anthony Tolliver,1610612765,Detroit Pistons,2,5,26,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-245,-1,1,0,20151028,DET,UTA
115192,Shot Chart Detail,21500007,387,201229,Anthony Tolliver,1610612765,Detroit Pistons,4,9,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-165,7,1,0,20151028,DET,UTA
115193,Shot Chart Detail,21500007,394,201229,Anthony Tolliver,1610612765,Detroit Pistons,4,7,50,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,86,-1,1,0,20151028,DET,UTA
115194,Shot Chart Detail,21500025,99,201229,Anthony Tolliver,1610612765,Detroit Pistons,1,2,31,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,2,1,0,20151030,DET,CHI
115195,Shot Chart Detail,21500025,109,201229,Anthony Tolliver,1610612765,Detroit Pistons,1,1,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-97,228,1,0,20151030,DET,CHI
115196,Shot Chart Detail,21500025,113,201229,Anthony Tolliver,1610612765,Detroit Pistons,1,1,10,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,137,13,1,1,20151030,DET,CHI
115197,Shot Chart Detail,21500025,168,201229,Anthony Tolliver,1610612765,Detroit Pistons,2,7,53,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,2,1,1,20151030,DET,CHI
115198,Shot Chart Detail,21500025,176,201229,Anthony Tolliver,1610612765,Detroit Pistons,2,7,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,102,244,1,0,20151030,DET,CHI
115199,Shot Chart Detail,21500025,362,201229,Anthony Tolliver,1610612765,Detroit Pistons,3,1,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,50,257,1,0,20151030,DET,CHI
115200,Shot Chart Detail,21500025,416,201229,Anthony Tolliver,1610612765,Detroit Pistons,4,9,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,225,134,1,1,20151030,DET,CHI
115201,Shot Chart Detail,21500025,452,201229,Anthony Tolliver,1610612765,Detroit Pistons,4,6,14,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-238,7,1,0,20151030,DET,CHI
115202,Shot Chart Detail,21500025,528,201229,Anthony Tolliver,1610612765,Detroit Pistons,5,3,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,209,151,1,1,20151030,DET,CHI
115203,Shot Chart Detail,21500054,341,201229,Anthony Tolliver,1610612765,Detroit Pistons,3,0,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-130,228,1,0,20151103,DET,IND
115204,Shot Chart Detail,21500054,393,201229,Anthony Tolliver,1610612765,Detroit Pistons,4,9,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,109,232,1,0,20151103,DET,IND
115205,Shot Chart Detail,21500082,130,201229,Anthony Tolliver,1610612765,Detroit Pistons,2,11,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,23,61,232,1,0,20151106,PHX,DET
115206,Shot Chart Detail,21500082,157,201229,Anthony Tolliver,1610612765,Detroit Pistons,2,8,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,71,237,1,0,20151106,PHX,DET
115207,Shot Chart Detail,21500082,181,201229,Anthony Tolliver,1610612765,Detroit Pistons,2,6,47,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,140,223,1,0,20151106,PHX,DET
115208,Shot Chart Detail,21500082,332,201229,Anthony Tolliver,1610612765,Detroit Pistons,3,3,43,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,25,-243,80,1,0,20151106,PHX,DET
115209,Shot Chart Detail,21500082,410,201229,Anthony Tolliver,1610612765,Detroit Pistons,4,10,2,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,36,1,1,20151106,PHX,DET
115210,Shot Chart Detail,21500098,142,201229,Anthony Tolliver,1610612765,Detroit Pistons,2,10,29,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,46,97,1,0,20151108,POR,DET
115211,Shot Chart Detail,21500098,154,201229,Anthony Tolliver,1610612765,Detroit Pistons,2,9,4,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-238,-19,1,1,20151108,POR,DET
115212,Shot Chart Detail,21500098,419,201229,Anthony Tolliver,1610612765,Detroit Pistons,4,8,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-147,223,1,0,20151108,POR,DET
115213,Shot Chart Detail,21500098,544,201229,Anthony Tolliver,1610612765,Detroit Pistons,4,0,29,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,3,1,1,20151108,POR,DET
115214,Shot Chart Detail,21500104,383,201229,Anthony Tolliver,1610612765,Detroit Pistons,4,11,14,Missed Shot,Turnaround Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,222,131,1,0,20151109,GSW,DET
115215,Shot Chart Detail,21500104,404,201229,Anthony Tolliver,1610612765,Detroit Pistons,4,7,52,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-127,110,1,0,20151109,GSW,DET
115216,Shot Chart Detail,21500122,125,201229,Anthony Tolliver,1610612765,Detroit Pistons,1,0,11,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,22,-194,110,1,1,20151111,SAC,DET
115217,Shot Chart Detail,21500122,146,201229,Anthony Tolliver,1610612765,Detroit Pistons,2,10,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-176,174,1,1,20151111,SAC,DET
115218,Shot Chart Detail,21500122,151,201229,Anthony Tolliver,1610612765,Detroit Pistons,2,9,30,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,21,1,1,20151111,SAC,DET
115219,Shot Chart Detail,21500122,187,201229,Anthony Tolliver,1610612765,Detroit Pistons,2,4,39,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-245,46,1,0,20151111,SAC,DET
115220,Shot Chart Detail,21500122,311,201229,Anthony Tolliver,1610612765,Detroit Pistons,3,4,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-53,242,1,0,20151111,SAC,DET
115221,Shot Chart Detail,21500138,132,201229,Anthony Tolliver,1610612765,Detroit Pistons,2,10,56,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,23,1,1,20151114,LAC,DET
115222,Shot Chart Detail,21500138,154,201229,Anthony Tolliver,1610612765,Detroit Pistons,2,8,16,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,192,159,1,0,20151114,LAC,DET
115223,Shot Chart Detail,21500138,418,201229,Anthony Tolliver,1610612765,Detroit Pistons,4,10,36,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,16,1,0,20151114,LAC,DET
115224,Shot Chart Detail,21500151,70,201229,Anthony Tolliver,1610612765,Detroit Pistons,1,4,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,133,213,1,0,20151115,LAL,DET
115225,Shot Chart Detail,21500151,95,201229,Anthony Tolliver,1610612765,Detroit Pistons,1,1,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,109,237,1,0,20151115,LAL,DET
115226,Shot Chart Detail,21500151,139,201229,Anthony Tolliver,1610612765,Detroit Pistons,2,10,49,Missed Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,37,14,1,0,20151115,LAL,DET
115227,Shot Chart Detail,21500151,452,201229,Anthony Tolliver,1610612765,Detroit Pistons,4,10,17,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-248,0,1,1,20151115,LAL,DET
115228,Shot Chart Detail,21500151,488,201229,Anthony Tolliver,1610612765,Detroit Pistons,4,6,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-127,218,1,0,20151115,LAL,DET
115229,Shot Chart Detail,21500160,399,201229,Anthony Tolliver,1610612765,Detroit Pistons,4,9,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-225,144,1,0,20151117,DET,CLE
115230,Shot Chart Detail,21500160,417,201229,Anthony Tolliver,1610612765,Detroit Pistons,4,7,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-151,203,1,0,20151117,DET,CLE
115231,Shot Chart Detail,21500181,89,201229,Anthony Tolliver,1610612765,Detroit Pistons,1,1,49,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,31,1,0,20151120,MIN,DET
115232,Shot Chart Detail,21500181,129,201229,Anthony Tolliver,1610612765,Detroit Pistons,2,10,42,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,7,1,0,20151120,MIN,DET
115233,Shot Chart Detail,21500181,161,201229,Anthony Tolliver,1610612765,Detroit Pistons,2,7,33,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,23,1,0,20151120,MIN,DET
115234,Shot Chart Detail,21500181,250,201229,Anthony Tolliver,1610612765,Detroit Pistons,2,0,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,202,11,1,0,20151120,MIN,DET
115235,Shot Chart Detail,21500181,338,201229,Anthony Tolliver,1610612765,Detroit Pistons,3,4,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,55,239,1,0,20151120,MIN,DET
115236,Shot Chart Detail,21500181,375,201229,Anthony Tolliver,1610612765,Detroit Pistons,3,0,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-197,174,1,0,20151120,MIN,DET
115237,Shot Chart Detail,21500181,399,201229,Anthony Tolliver,1610612765,Detroit Pistons,4,10,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,71,239,1,0,20151120,MIN,DET
115238,Shot Chart Detail,21500192,331,201229,Anthony Tolliver,1610612765,Detroit Pistons,3,0,45,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,60,85,1,0,20151121,DET,WAS
115239,Shot Chart Detail,21500205,126,201229,Anthony Tolliver,1610612765,Detroit Pistons,2,10,47,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-173,213,1,0,20151123,MIL,DET
115240,Shot Chart Detail,21500205,142,201229,Anthony Tolliver,1610612765,Detroit Pistons,2,8,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,222,93,1,1,20151123,MIL,DET
115241,Shot Chart Detail,21500205,364,201229,Anthony Tolliver,1610612765,Detroit Pistons,3,1,33,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-243,8,1,0,20151123,MIL,DET
115242,Shot Chart Detail,21500205,477,201229,Anthony Tolliver,1610612765,Detroit Pistons,4,6,5,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,145,41,1,0,20151123,MIL,DET
115243,Shot Chart Detail,21500205,482,201229,Anthony Tolliver,1610612765,Detroit Pistons,4,5,17,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-238,16,1,0,20151123,MIL,DET
115244,Shot Chart Detail,21500205,485,201229,Anthony Tolliver,1610612765,Detroit Pistons,4,5,11,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151123,MIL,DET
115245,Shot Chart Detail,21500205,527,201229,Anthony Tolliver,1610612765,Detroit Pistons,4,1,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,148,214,1,1,20151123,MIL,DET
115246,Shot Chart Detail,21500205,530,201229,Anthony Tolliver,1610612765,Detroit Pistons,4,0,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,89,257,1,1,20151123,MIL,DET
115247,Shot Chart Detail,21500218,129,201229,Anthony Tolliver,1610612765,Detroit Pistons,2,9,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-115,223,1,1,20151125,DET,MIA
115248,Shot Chart Detail,21500218,136,201229,Anthony Tolliver,1610612765,Detroit Pistons,2,8,57,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,43,1,1,20151125,DET,MIA
115249,Shot Chart Detail,21500218,149,201229,Anthony Tolliver,1610612765,Detroit Pistons,2,7,51,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,21,1,0,20151125,DET,MIA
115250,Shot Chart Detail,21500218,158,201229,Anthony Tolliver,1610612765,Detroit Pistons,2,6,49,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-241,56,1,1,20151125,DET,MIA
115251,Shot Chart Detail,21500218,332,201229,Anthony Tolliver,1610612765,Detroit Pistons,3,2,51,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,146,90,1,0,20151125,DET,MIA
115252,Shot Chart Detail,21500218,350,201229,Anthony Tolliver,1610612765,Detroit Pistons,3,1,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-217,149,1,0,20151125,DET,MIA
115253,Shot Chart Detail,21500218,418,201229,Anthony Tolliver,1610612765,Detroit Pistons,4,6,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-222,134,1,1,20151125,DET,MIA
115254,Shot Chart Detail,21500218,458,201229,Anthony Tolliver,1610612765,Detroit Pistons,4,2,20,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,-1,1,0,20151125,DET,MIA
115255,Shot Chart Detail,21500234,120,201229,Anthony Tolliver,1610612765,Detroit Pistons,1,1,48,Made Shot,Jump Bank Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,135,203,1,1,20151127,OKC,DET
115256,Shot Chart Detail,21500234,230,201229,Anthony Tolliver,1610612765,Detroit Pistons,2,4,24,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,11,1,1,20151127,OKC,DET
115257,Shot Chart Detail,21500234,412,201229,Anthony Tolliver,1610612765,Detroit Pistons,3,0,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-219,124,1,0,20151127,OKC,DET
