,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
173138,Shot Chart Detail,21500014,240,203462,Archie Goodwin,1610612756,Phoenix Suns,2,5,23,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,-6,1,1,20151028,PHX,DAL
173139,Shot Chart Detail,21500014,265,203462,Archie Goodwin,1610612756,Phoenix Suns,2,4,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,204,129,1,1,20151028,PHX,DAL
173140,Shot Chart Detail,21500014,309,203462,Archie Goodwin,1610612756,Phoenix Suns,2,0,25,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,24,52,1,0,20151028,PHX,DAL
173141,Shot Chart Detail,21500014,487,203462,Archie Goodwin,1610612756,Phoenix Suns,4,10,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-194,159,1,0,20151028,PHX,DAL
173142,Shot Chart Detail,21500014,526,203462,Archie Goodwin,1610612756,Phoenix Suns,4,7,9,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-52,36,1,0,20151028,PHX,DAL
173143,Shot Chart Detail,21500014,559,203462,Archie Goodwin,1610612756,Phoenix Suns,4,3,49,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,2,1,1,20151028,PHX,DAL
173144,Shot Chart Detail,21500067,479,203462,Archie Goodwin,1610612756,Phoenix Suns,4,2,12,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,-11,1,1,20151104,PHX,SAC
173145,Shot Chart Detail,21500097,565,203462,Archie Goodwin,1610612756,Phoenix Suns,4,3,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-155,188,1,0,20151108,OKC,PHX
173146,Shot Chart Detail,21500097,571,203462,Archie Goodwin,1610612756,Phoenix Suns,4,2,54,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,7,1,1,20151108,OKC,PHX
173147,Shot Chart Detail,21500143,96,203462,Archie Goodwin,1610612756,Phoenix Suns,1,2,30,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,2,1,1,20151114,PHX,DEN
173148,Shot Chart Detail,21500143,110,203462,Archie Goodwin,1610612756,Phoenix Suns,1,2,0,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,7,1,1,20151114,PHX,DEN
