,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
4868,Shot Chart Detail,21500001,138,203145,Kent Bazemore,1610612737,Atlanta Hawks,2,10,9,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,-1,1,0,20151027,ATL,DET
4869,Shot Chart Detail,21500001,152,203145,Kent Bazemore,1610612737,Atlanta Hawks,2,8,28,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,2,1,0,20151027,ATL,DET
4870,Shot Chart Detail,21500001,260,203145,Kent Bazemore,1610612737,Atlanta Hawks,3,9,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-183,174,1,0,20151027,ATL,DET
4871,Shot Chart Detail,21500019,7,203145,Kent Bazemore,1610612737,Atlanta Hawks,1,11,23,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,0,1,1,20151029,NYK,ATL
4872,Shot Chart Detail,21500019,197,203145,Kent Bazemore,1610612737,Atlanta Hawks,2,3,44,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,8,1,0,20151029,NYK,ATL
4873,Shot Chart Detail,21500019,204,203145,Kent Bazemore,1610612737,Atlanta Hawks,2,3,17,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,-31,1,1,20151029,NYK,ATL
4874,Shot Chart Detail,21500019,209,203145,Kent Bazemore,1610612737,Atlanta Hawks,2,2,32,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,110,82,1,0,20151029,NYK,ATL
4875,Shot Chart Detail,21500019,303,203145,Kent Bazemore,1610612737,Atlanta Hawks,3,7,20,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-241,11,1,0,20151029,NYK,ATL
4876,Shot Chart Detail,21500019,435,203145,Kent Bazemore,1610612737,Atlanta Hawks,4,8,29,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-38,43,1,0,20151029,NYK,ATL
4877,Shot Chart Detail,21500026,33,203145,Kent Bazemore,1610612737,Atlanta Hawks,1,9,14,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,27,7,1,0,20151030,ATL,CHA
4878,Shot Chart Detail,21500026,49,203145,Kent Bazemore,1610612737,Atlanta Hawks,1,7,45,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,240,7,1,1,20151030,ATL,CHA
4879,Shot Chart Detail,21500026,151,203145,Kent Bazemore,1610612737,Atlanta Hawks,2,10,51,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,11,1,1,20151030,ATL,CHA
4880,Shot Chart Detail,21500026,193,203145,Kent Bazemore,1610612737,Atlanta Hawks,2,7,23,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,-5,1,0,20151030,ATL,CHA
4881,Shot Chart Detail,21500026,199,203145,Kent Bazemore,1610612737,Atlanta Hawks,2,7,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-147,198,1,1,20151030,ATL,CHA
4882,Shot Chart Detail,21500026,226,203145,Kent Bazemore,1610612737,Atlanta Hawks,2,3,53,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,2,1,0,20151030,ATL,CHA
4883,Shot Chart Detail,21500026,295,203145,Kent Bazemore,1610612737,Atlanta Hawks,3,10,27,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,7,1,1,20151030,ATL,CHA
4884,Shot Chart Detail,21500026,306,203145,Kent Bazemore,1610612737,Atlanta Hawks,3,9,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,2,242,1,0,20151030,ATL,CHA
4885,Shot Chart Detail,21500026,437,203145,Kent Bazemore,1610612737,Atlanta Hawks,4,8,54,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,109,65,1,0,20151030,ATL,CHA
4886,Shot Chart Detail,21500026,445,203145,Kent Bazemore,1610612737,Atlanta Hawks,4,8,8,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,26,1,1,20151030,ATL,CHA
4887,Shot Chart Detail,21500026,461,203145,Kent Bazemore,1610612737,Atlanta Hawks,4,6,26,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,0,1,1,20151030,ATL,CHA
4888,Shot Chart Detail,21500026,511,203145,Kent Bazemore,1610612737,Atlanta Hawks,4,0,36,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,13,1,0,20151030,ATL,CHA
4889,Shot Chart Detail,21500026,512,203145,Kent Bazemore,1610612737,Atlanta Hawks,4,0,36,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,16,1,1,20151030,ATL,CHA
4890,Shot Chart Detail,21500039,13,203145,Kent Bazemore,1610612737,Atlanta Hawks,1,9,18,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,11,1,1,20151101,CHA,ATL
4891,Shot Chart Detail,21500039,41,203145,Kent Bazemore,1610612737,Atlanta Hawks,1,5,44,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,8,1,1,20151101,CHA,ATL
4892,Shot Chart Detail,21500039,43,203145,Kent Bazemore,1610612737,Atlanta Hawks,1,5,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,130,205,1,0,20151101,CHA,ATL
4893,Shot Chart Detail,21500039,164,203145,Kent Bazemore,1610612737,Atlanta Hawks,2,5,2,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,8,1,1,20151101,CHA,ATL
4894,Shot Chart Detail,21500039,223,203145,Kent Bazemore,1610612737,Atlanta Hawks,3,11,46,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,26,1,0,20151101,CHA,ATL
4895,Shot Chart Detail,21500039,233,203145,Kent Bazemore,1610612737,Atlanta Hawks,3,10,59,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,7,1,0,20151101,CHA,ATL
4896,Shot Chart Detail,21500039,244,203145,Kent Bazemore,1610612737,Atlanta Hawks,3,9,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,153,232,1,1,20151101,CHA,ATL
4897,Shot Chart Detail,21500039,255,203145,Kent Bazemore,1610612737,Atlanta Hawks,3,8,48,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-14,16,1,1,20151101,CHA,ATL
4898,Shot Chart Detail,21500039,410,203145,Kent Bazemore,1610612737,Atlanta Hawks,4,7,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,169,190,1,0,20151101,CHA,ATL
4899,Shot Chart Detail,21500039,462,203145,Kent Bazemore,1610612737,Atlanta Hawks,4,2,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,156,228,1,0,20151101,CHA,ATL
4900,Shot Chart Detail,21500039,488,203145,Kent Bazemore,1610612737,Atlanta Hawks,4,1,18,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,13,1,0,20151101,CHA,ATL
4901,Shot Chart Detail,21500039,490,203145,Kent Bazemore,1610612737,Atlanta Hawks,4,1,12,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-238,11,1,1,20151101,CHA,ATL
4902,Shot Chart Detail,21500055,17,203145,Kent Bazemore,1610612737,Atlanta Hawks,1,10,4,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,16,1,1,20151103,MIA,ATL
4903,Shot Chart Detail,21500055,29,203145,Kent Bazemore,1610612737,Atlanta Hawks,1,7,55,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,11,1,1,20151103,MIA,ATL
4904,Shot Chart Detail,21500055,71,203145,Kent Bazemore,1610612737,Atlanta Hawks,1,3,39,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,66,72,1,0,20151103,MIA,ATL
4905,Shot Chart Detail,21500055,81,203145,Kent Bazemore,1610612737,Atlanta Hawks,1,2,51,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,2,1,1,20151103,MIA,ATL
4906,Shot Chart Detail,21500055,230,203145,Kent Bazemore,1610612737,Atlanta Hawks,2,2,34,Made Shot,Reverse Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-1,1,1,20151103,MIA,ATL
4907,Shot Chart Detail,21500055,323,203145,Kent Bazemore,1610612737,Atlanta Hawks,3,7,48,Missed Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,11,1,0,20151103,MIA,ATL
4908,Shot Chart Detail,21500055,392,203145,Kent Bazemore,1610612737,Atlanta Hawks,3,1,55,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,3,1,0,20151103,MIA,ATL
4909,Shot Chart Detail,21500055,398,203145,Kent Bazemore,1610612737,Atlanta Hawks,3,1,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,23,9,239,1,0,20151103,MIA,ATL
4910,Shot Chart Detail,21500062,56,203145,Kent Bazemore,1610612737,Atlanta Hawks,1,5,41,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,0,242,1,1,20151104,ATL,BKN
4911,Shot Chart Detail,21500062,274,203145,Kent Bazemore,1610612737,Atlanta Hawks,3,10,59,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-187,154,1,0,20151104,ATL,BKN
4912,Shot Chart Detail,21500062,324,203145,Kent Bazemore,1610612737,Atlanta Hawks,3,5,28,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,69,195,1,0,20151104,ATL,BKN
4913,Shot Chart Detail,21500062,443,203145,Kent Bazemore,1610612737,Atlanta Hawks,4,5,57,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,33,22,1,0,20151104,ATL,BKN
4914,Shot Chart Detail,21500062,492,203145,Kent Bazemore,1610612737,Atlanta Hawks,4,2,30,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,46,1,1,20151104,ATL,BKN
4915,Shot Chart Detail,21500062,495,203145,Kent Bazemore,1610612737,Atlanta Hawks,4,1,59,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-107,164,1,1,20151104,ATL,BKN
4916,Shot Chart Detail,21500081,278,203145,Kent Bazemore,1610612737,Atlanta Hawks,3,9,4,Made Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,57,51,1,1,20151106,NOP,ATL
4917,Shot Chart Detail,21500081,288,203145,Kent Bazemore,1610612737,Atlanta Hawks,3,7,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,202,146,1,0,20151106,NOP,ATL
