,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
145406,Shot Chart Detail,21500016,140,203085,Austin Rivers,1610612746,LA Clippers,2,11,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-220,134,1,0,20151028,SAC,LAC,145406
145407,Shot Chart Detail,21500016,143,203085,Austin Rivers,1610612746,LA Clippers,2,11,3,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,50,8,1,0,20151028,SAC,LAC,145407
145408,Shot Chart Detail,21500016,174,203085,Austin Rivers,1610612746,LA Clippers,2,8,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,158,190,1,0,20151028,SAC,LAC,145408
145409,Shot Chart Detail,21500020,105,203085,Austin Rivers,1610612746,LA Clippers,1,2,30,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-30,11,1,0,20151029,LAC,DAL,145409
145410,Shot Chart Detail,21500020,177,203085,Austin Rivers,1610612746,LA Clippers,2,9,24,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,11,1,1,20151029,LAC,DAL,145410
145411,Shot Chart Detail,21500020,185,203085,Austin Rivers,1610612746,LA Clippers,2,8,42,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,18,1,0,20151029,LAC,DAL,145411
145412,Shot Chart Detail,21500020,449,203085,Austin Rivers,1610612746,LA Clippers,3,0,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,102,237,1,1,20151029,LAC,DAL,145412
145413,Shot Chart Detail,21500020,458,203085,Austin Rivers,1610612746,LA Clippers,4,11,0,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,18,1,1,20151029,LAC,DAL,145413
145414,Shot Chart Detail,21500020,464,203085,Austin Rivers,1610612746,LA Clippers,4,10,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-50,262,1,1,20151029,LAC,DAL,145414
145415,Shot Chart Detail,21500020,494,203085,Austin Rivers,1610612746,LA Clippers,4,8,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,187,190,1,0,20151029,LAC,DAL,145415
