,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
34200,Shot Chart Detail,21500005,74,202340,Avery Bradley,1610612738,Boston Celtics,1,4,0,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-104,131,1,0,20151028,BOS,PHI
34201,Shot Chart Detail,21500005,84,202340,Avery Bradley,1610612738,Boston Celtics,1,3,16,Made Shot,Running Alley Oop Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,-11,1,1,20151028,BOS,PHI
34202,Shot Chart Detail,21500005,99,202340,Avery Bradley,1610612738,Boston Celtics,1,2,22,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-76,178,1,0,20151028,BOS,PHI
34203,Shot Chart Detail,21500005,298,202340,Avery Bradley,1610612738,Boston Celtics,3,11,27,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,68,180,1,0,20151028,BOS,PHI
34204,Shot Chart Detail,21500005,309,202340,Avery Bradley,1610612738,Boston Celtics,3,10,47,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-53,247,1,0,20151028,BOS,PHI
34205,Shot Chart Detail,21500005,400,202340,Avery Bradley,1610612738,Boston Celtics,3,1,48,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,BOS,PHI
34206,Shot Chart Detail,21500024,16,202340,Avery Bradley,1610612738,Boston Celtics,1,10,35,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-102,169,1,1,20151030,BOS,TOR
34207,Shot Chart Detail,21500024,36,202340,Avery Bradley,1610612738,Boston Celtics,1,8,39,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-240,90,1,1,20151030,BOS,TOR
34208,Shot Chart Detail,21500024,57,202340,Avery Bradley,1610612738,Boston Celtics,1,6,53,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-40,169,1,0,20151030,BOS,TOR
34209,Shot Chart Detail,21500024,262,202340,Avery Bradley,1610612738,Boston Celtics,2,4,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-237,120,1,1,20151030,BOS,TOR
34210,Shot Chart Detail,21500024,345,202340,Avery Bradley,1610612738,Boston Celtics,3,11,23,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-42,170,1,0,20151030,BOS,TOR
34211,Shot Chart Detail,21500024,349,202340,Avery Bradley,1610612738,Boston Celtics,3,10,59,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,36,1,0,20151030,BOS,TOR
34212,Shot Chart Detail,21500024,534,202340,Avery Bradley,1610612738,Boston Celtics,4,7,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,28,244,1,0,20151030,BOS,TOR
34213,Shot Chart Detail,21500024,604,202340,Avery Bradley,1610612738,Boston Celtics,4,1,54,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,184,188,1,1,20151030,BOS,TOR
34214,Shot Chart Detail,21500024,624,202340,Avery Bradley,1610612738,Boston Celtics,4,0,50,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,23,153,180,1,0,20151030,BOS,TOR
34215,Shot Chart Detail,21500024,627,202340,Avery Bradley,1610612738,Boston Celtics,4,0,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,184,174,1,0,20151030,BOS,TOR
34216,Shot Chart Detail,21500024,658,202340,Avery Bradley,1610612738,Boston Celtics,4,0,4,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,110,242,1,0,20151030,BOS,TOR
34217,Shot Chart Detail,21500040,16,202340,Avery Bradley,1610612738,Boston Celtics,1,9,45,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,-1,1,0,20151101,BOS,SAS
34218,Shot Chart Detail,21500040,19,202340,Avery Bradley,1610612738,Boston Celtics,1,9,17,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,109,151,1,1,20151101,BOS,SAS
34219,Shot Chart Detail,21500040,32,202340,Avery Bradley,1610612738,Boston Celtics,1,7,49,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-228,70,1,0,20151101,BOS,SAS
34220,Shot Chart Detail,21500040,38,202340,Avery Bradley,1610612738,Boston Celtics,1,7,7,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-184,18,1,0,20151101,BOS,SAS
34221,Shot Chart Detail,21500040,51,202340,Avery Bradley,1610612738,Boston Celtics,1,5,42,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-48,175,1,0,20151101,BOS,SAS
34222,Shot Chart Detail,21500040,68,202340,Avery Bradley,1610612738,Boston Celtics,1,5,1,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,2,1,0,20151101,BOS,SAS
34223,Shot Chart Detail,21500040,69,202340,Avery Bradley,1610612738,Boston Celtics,1,4,59,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,7,1,1,20151101,BOS,SAS
34224,Shot Chart Detail,21500040,212,202340,Avery Bradley,1610612738,Boston Celtics,2,4,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-2,242,1,0,20151101,BOS,SAS
34225,Shot Chart Detail,21500040,324,202340,Avery Bradley,1610612738,Boston Celtics,3,9,29,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,7,1,1,20151101,BOS,SAS
34226,Shot Chart Detail,21500040,328,202340,Avery Bradley,1610612738,Boston Celtics,3,9,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,35,154,1,1,20151101,BOS,SAS
34227,Shot Chart Detail,21500040,333,202340,Avery Bradley,1610612738,Boston Celtics,3,8,25,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-137,141,1,0,20151101,BOS,SAS
34228,Shot Chart Detail,21500040,387,202340,Avery Bradley,1610612738,Boston Celtics,3,3,52,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,74,21,1,1,20151101,BOS,SAS
34229,Shot Chart Detail,21500040,393,202340,Avery Bradley,1610612738,Boston Celtics,3,3,23,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,7,1,0,20151101,BOS,SAS
34230,Shot Chart Detail,21500040,415,202340,Avery Bradley,1610612738,Boston Celtics,3,2,8,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-1,41,1,0,20151101,BOS,SAS
34231,Shot Chart Detail,21500040,494,202340,Avery Bradley,1610612738,Boston Celtics,4,7,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-147,200,1,1,20151101,BOS,SAS
34232,Shot Chart Detail,21500040,497,202340,Avery Bradley,1610612738,Boston Celtics,4,6,52,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,27,-6,1,0,20151101,BOS,SAS
34233,Shot Chart Detail,21500040,541,202340,Avery Bradley,1610612738,Boston Celtics,4,2,50,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-237,13,1,0,20151101,BOS,SAS
34234,Shot Chart Detail,21500040,553,202340,Avery Bradley,1610612738,Boston Celtics,4,1,40,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151101,BOS,SAS
34235,Shot Chart Detail,21500060,24,202340,Avery Bradley,1610612738,Boston Celtics,1,9,17,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,177,208,1,1,20151104,IND,BOS
34236,Shot Chart Detail,21500060,31,202340,Avery Bradley,1610612738,Boston Celtics,1,8,27,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-12,164,1,0,20151104,IND,BOS
34237,Shot Chart Detail,21500060,41,202340,Avery Bradley,1610612738,Boston Celtics,1,7,37,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-238,41,1,0,20151104,IND,BOS
34238,Shot Chart Detail,21500060,46,202340,Avery Bradley,1610612738,Boston Celtics,1,6,46,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,0,178,1,1,20151104,IND,BOS
34239,Shot Chart Detail,21500060,90,202340,Avery Bradley,1610612738,Boston Celtics,1,2,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-147,228,1,1,20151104,IND,BOS
34240,Shot Chart Detail,21500060,106,202340,Avery Bradley,1610612738,Boston Celtics,1,1,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,37,257,1,0,20151104,IND,BOS
34241,Shot Chart Detail,21500060,276,202340,Avery Bradley,1610612738,Boston Celtics,2,1,2,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,2,1,0,20151104,IND,BOS
34242,Shot Chart Detail,21500060,334,202340,Avery Bradley,1610612738,Boston Celtics,3,9,3,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,7,1,1,20151104,IND,BOS
34243,Shot Chart Detail,21500060,405,202340,Avery Bradley,1610612738,Boston Celtics,3,2,35,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-117,154,1,1,20151104,IND,BOS
34244,Shot Chart Detail,21500060,415,202340,Avery Bradley,1610612738,Boston Celtics,3,1,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-9,257,1,0,20151104,IND,BOS
34245,Shot Chart Detail,21500060,506,202340,Avery Bradley,1610612738,Boston Celtics,4,5,8,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,35,97,1,0,20151104,IND,BOS
