,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
204645,Shot Chart Detail,21500933,149,1626253,Axel Toupane,1610612743,Denver Nuggets,2,10,46,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-238,-1,1,0,20160306,DEN,DAL
204646,Shot Chart Detail,21500933,151,1626253,Axel Toupane,1610612743,Denver Nuggets,2,10,41,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,-1,1,0,20160306,DEN,DAL
204647,Shot Chart Detail,21500933,441,1626253,Axel Toupane,1610612743,Denver Nuggets,4,10,14,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,0,1,0,20160306,DEN,DAL
204648,Shot Chart Detail,21500933,454,1626253,Axel Toupane,1610612743,Denver Nuggets,4,9,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,143,16,1,0,20160306,DEN,DAL
204649,Shot Chart Detail,21500946,124,1626253,Axel Toupane,1610612743,Denver Nuggets,2,11,7,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,11,1,0,20160308,DEN,NYK
204650,Shot Chart Detail,21500946,133,1626253,Axel Toupane,1610612743,Denver Nuggets,2,10,0,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-246,11,1,0,20160308,DEN,NYK
204651,Shot Chart Detail,21500946,373,1626253,Axel Toupane,1610612743,Denver Nuggets,3,0,29,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,23,1,0,20160308,DEN,NYK
204652,Shot Chart Detail,21500946,376,1626253,Axel Toupane,1610612743,Denver Nuggets,3,0,18,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160308,DEN,NYK
204653,Shot Chart Detail,21500946,412,1626253,Axel Toupane,1610612743,Denver Nuggets,4,9,25,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,-1,1,1,20160308,DEN,NYK
204654,Shot Chart Detail,21500961,165,1626253,Axel Toupane,1610612743,Denver Nuggets,2,11,45,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,97,21,1,0,20160310,DEN,PHX
204655,Shot Chart Detail,21500961,167,1626253,Axel Toupane,1610612743,Denver Nuggets,2,11,41,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,13,1,0,20160310,DEN,PHX
204656,Shot Chart Detail,21500961,181,1626253,Axel Toupane,1610612743,Denver Nuggets,2,9,51,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,21,1,0,20160310,DEN,PHX
204657,Shot Chart Detail,21500961,189,1626253,Axel Toupane,1610612743,Denver Nuggets,2,9,27,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,21,1,1,20160310,DEN,PHX
