,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
66312,Shot Chart Detail,21500016,22,203463,Ben McLemore,1610612758,Sacramento Kings,1,9,5,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,30,36,1,0,20151028,SAC,LAC,66312
66313,Shot Chart Detail,21500016,280,203463,Ben McLemore,1610612758,Sacramento Kings,2,1,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,97,193,1,0,20151028,SAC,LAC,66313
66314,Shot Chart Detail,21500016,341,203463,Ben McLemore,1610612758,Sacramento Kings,3,8,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-171,185,1,1,20151028,SAC,LAC,66314
66315,Shot Chart Detail,21500016,372,203463,Ben McLemore,1610612758,Sacramento Kings,3,5,53,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,SAC,LAC,66315
66316,Shot Chart Detail,21500016,382,203463,Ben McLemore,1610612758,Sacramento Kings,3,5,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,223,106,1,0,20151028,SAC,LAC,66316
66317,Shot Chart Detail,21500031,24,203463,Ben McLemore,1610612758,Sacramento Kings,1,9,21,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,11,1,1,20151030,SAC,LAL,66317
66318,Shot Chart Detail,21500031,30,203463,Ben McLemore,1610612758,Sacramento Kings,1,8,41,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,8,1,0,20151030,SAC,LAL,66318
66319,Shot Chart Detail,21500031,99,203463,Ben McLemore,1610612758,Sacramento Kings,1,3,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,209,139,1,0,20151030,SAC,LAL,66319
66320,Shot Chart Detail,21500031,306,203463,Ben McLemore,1610612758,Sacramento Kings,2,0,50,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-241,31,1,1,20151030,SAC,LAL,66320
66321,Shot Chart Detail,21500031,390,203463,Ben McLemore,1610612758,Sacramento Kings,3,5,56,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,84,193,1,0,20151030,SAC,LAL,66321
66322,Shot Chart Detail,21500031,409,203463,Ben McLemore,1610612758,Sacramento Kings,3,4,21,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,17,28,1,0,20151030,SAC,LAL,66322
66323,Shot Chart Detail,21500031,536,203463,Ben McLemore,1610612758,Sacramento Kings,4,4,41,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,60,38,1,0,20151030,SAC,LAL,66323
66324,Shot Chart Detail,21500031,571,203463,Ben McLemore,1610612758,Sacramento Kings,4,2,39,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,61,175,1,0,20151030,SAC,LAL,66324
66325,Shot Chart Detail,21500038,18,203463,Ben McLemore,1610612758,Sacramento Kings,1,10,4,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,7,1,1,20151031,LAC,SAC,66325
66326,Shot Chart Detail,21500038,27,203463,Ben McLemore,1610612758,Sacramento Kings,1,9,37,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,16,1,0,20151031,LAC,SAC,66326
66327,Shot Chart Detail,21500038,318,203463,Ben McLemore,1610612758,Sacramento Kings,2,1,33,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,11,1,0,20151031,LAC,SAC,66327
66328,Shot Chart Detail,21500058,36,203463,Ben McLemore,1610612758,Sacramento Kings,1,6,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-207,139,1,0,20151103,SAC,MEM,66328
66329,Shot Chart Detail,21500058,298,203463,Ben McLemore,1610612758,Sacramento Kings,3,10,26,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,14,-79,116,1,0,20151103,SAC,MEM,66329
66330,Shot Chart Detail,21500058,347,203463,Ben McLemore,1610612758,Sacramento Kings,3,6,24,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,28,1,0,20151103,SAC,MEM,66330
66331,Shot Chart Detail,21500058,354,203463,Ben McLemore,1610612758,Sacramento Kings,3,5,38,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,96,149,1,0,20151103,SAC,MEM,66331
66332,Shot Chart Detail,21500058,591,203463,Ben McLemore,1610612758,Sacramento Kings,4,0,5,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151103,SAC,MEM,66332
66333,Shot Chart Detail,21500067,200,203463,Ben McLemore,1610612758,Sacramento Kings,2,5,9,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,0,1,0,20151104,PHX,SAC,66333
66334,Shot Chart Detail,21500067,240,203463,Ben McLemore,1610612758,Sacramento Kings,2,1,12,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,7,1,1,20151104,PHX,SAC,66334
66335,Shot Chart Detail,21500067,345,203463,Ben McLemore,1610612758,Sacramento Kings,3,3,23,Made Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-43,31,1,1,20151104,PHX,SAC,66335
66336,Shot Chart Detail,21500067,469,203463,Ben McLemore,1610612758,Sacramento Kings,4,3,17,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-147,-31,1,1,20151104,PHX,SAC,66336
66337,Shot Chart Detail,21500067,480,203463,Ben McLemore,1610612758,Sacramento Kings,4,2,1,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,-11,1,1,20151104,PHX,SAC,66337
66338,Shot Chart Detail,21500067,494,203463,Ben McLemore,1610612758,Sacramento Kings,4,0,29,Missed Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20151104,PHX,SAC,66338
66339,Shot Chart Detail,21500084,138,203463,Ben McLemore,1610612758,Sacramento Kings,1,1,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-12,16,1,1,20151106,SAC,HOU,66339
66340,Shot Chart Detail,21500084,157,203463,Ben McLemore,1610612758,Sacramento Kings,2,11,31,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-114,224,1,1,20151106,SAC,HOU,66340
66341,Shot Chart Detail,21500084,237,203463,Ben McLemore,1610612758,Sacramento Kings,2,4,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,11,1,1,20151106,SAC,HOU,66341
66342,Shot Chart Detail,21500084,293,203463,Ben McLemore,1610612758,Sacramento Kings,2,0,1,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,238,65,1,0,20151106,SAC,HOU,66342
66343,Shot Chart Detail,21500084,380,203463,Ben McLemore,1610612758,Sacramento Kings,3,4,6,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,21,1,0,20151106,SAC,HOU,66343
66344,Shot Chart Detail,21500084,400,203463,Ben McLemore,1610612758,Sacramento Kings,3,3,10,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,146,203,1,0,20151106,SAC,HOU,66344
66345,Shot Chart Detail,21500084,477,203463,Ben McLemore,1610612758,Sacramento Kings,4,9,32,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,23,-178,151,1,0,20151106,SAC,HOU,66345
66346,Shot Chart Detail,21500084,483,203463,Ben McLemore,1610612758,Sacramento Kings,4,8,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,128,218,1,0,20151106,SAC,HOU,66346
66347,Shot Chart Detail,21500092,191,203463,Ben McLemore,1610612758,Sacramento Kings,2,6,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-104,237,1,0,20151107,SAC,GSW,66347
66348,Shot Chart Detail,21500092,198,203463,Ben McLemore,1610612758,Sacramento Kings,2,6,14,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151107,SAC,GSW,66348
66349,Shot Chart Detail,21500092,223,203463,Ben McLemore,1610612758,Sacramento Kings,2,4,25,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-25,169,1,0,20151107,SAC,GSW,66349
66350,Shot Chart Detail,21500092,231,203463,Ben McLemore,1610612758,Sacramento Kings,2,3,35,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,42,31,1,0,20151107,SAC,GSW,66350
66351,Shot Chart Detail,21500103,175,203463,Ben McLemore,1610612758,Sacramento Kings,2,6,10,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-52,41,1,0,20151109,SAC,SAS,66351
66352,Shot Chart Detail,21500103,188,203463,Ben McLemore,1610612758,Sacramento Kings,2,5,10,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,16,1,1,20151109,SAC,SAS,66352
66353,Shot Chart Detail,21500103,194,203463,Ben McLemore,1610612758,Sacramento Kings,2,4,8,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,46,18,1,0,20151109,SAC,SAS,66353
66354,Shot Chart Detail,21500103,234,203463,Ben McLemore,1610612758,Sacramento Kings,2,1,4,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,31,1,0,20151109,SAC,SAS,66354
66355,Shot Chart Detail,21500103,237,203463,Ben McLemore,1610612758,Sacramento Kings,2,0,31,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,31,1,1,20151109,SAC,SAS,66355
66356,Shot Chart Detail,21500103,282,203463,Ben McLemore,1610612758,Sacramento Kings,3,9,3,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,2,1,0,20151109,SAC,SAS,66356
66357,Shot Chart Detail,21500137,232,203463,Ben McLemore,1610612758,Sacramento Kings,2,5,6,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-12,31,1,1,20151113,SAC,BKN,66357
66358,Shot Chart Detail,21500137,247,203463,Ben McLemore,1610612758,Sacramento Kings,2,4,8,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,13,1,1,20151113,SAC,BKN,66358
66359,Shot Chart Detail,21500137,282,203463,Ben McLemore,1610612758,Sacramento Kings,2,0,46,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,-10,1,1,20151113,SAC,BKN,66359
66360,Shot Chart Detail,21500137,303,203463,Ben McLemore,1610612758,Sacramento Kings,3,10,44,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,7,1,1,20151113,SAC,BKN,66360
66361,Shot Chart Detail,21500137,313,203463,Ben McLemore,1610612758,Sacramento Kings,3,9,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-163,190,1,0,20151113,SAC,BKN,66361
66362,Shot Chart Detail,21500137,366,203463,Ben McLemore,1610612758,Sacramento Kings,3,4,29,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-61,21,1,0,20151113,SAC,BKN,66362
66363,Shot Chart Detail,21500137,490,203463,Ben McLemore,1610612758,Sacramento Kings,4,4,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,109,218,1,1,20151113,SAC,BKN,66363
66364,Shot Chart Detail,21500137,513,203463,Ben McLemore,1610612758,Sacramento Kings,4,2,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,114,139,1,0,20151113,SAC,BKN,66364
66365,Shot Chart Detail,21500150,3,203463,Ben McLemore,1610612758,Sacramento Kings,1,11,15,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-63,7,1,0,20151115,SAC,TOR,66365
66366,Shot Chart Detail,21500150,7,203463,Ben McLemore,1610612758,Sacramento Kings,1,10,46,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,31,1,0,20151115,SAC,TOR,66366
66367,Shot Chart Detail,21500150,266,203463,Ben McLemore,1610612758,Sacramento Kings,2,1,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-119,218,1,1,20151115,SAC,TOR,66367
66368,Shot Chart Detail,21500150,295,203463,Ben McLemore,1610612758,Sacramento Kings,3,9,41,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,13,1,0,20151115,SAC,TOR,66368
66369,Shot Chart Detail,21500150,302,203463,Ben McLemore,1610612758,Sacramento Kings,3,8,56,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,13,1,1,20151115,SAC,TOR,66369
66370,Shot Chart Detail,21500150,475,203463,Ben McLemore,1610612758,Sacramento Kings,4,1,40,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,28,1,1,20151115,SAC,TOR,66370
66371,Shot Chart Detail,21500169,2,203463,Ben McLemore,1610612758,Sacramento Kings,1,11,49,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,35,-6,1,0,20151118,ATL,SAC,66371
66372,Shot Chart Detail,21500169,28,203463,Ben McLemore,1610612758,Sacramento Kings,1,8,44,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-155,200,1,1,20151118,ATL,SAC,66372
