,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
63709,Shot Chart Detail,21500016,4,201933,Blake Griffin,1610612746,LA Clippers,1,11,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,1,228,1,1,20151028,SAC,LAC
63710,Shot Chart Detail,21500016,8,201933,Blake Griffin,1610612746,LA Clippers,1,10,28,Made Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-32,26,1,1,20151028,SAC,LAC
63711,Shot Chart Detail,21500016,30,201933,Blake Griffin,1610612746,LA Clippers,1,8,9,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-155,134,1,1,20151028,SAC,LAC
63712,Shot Chart Detail,21500016,50,201933,Blake Griffin,1610612746,LA Clippers,1,6,55,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,0,43,1,1,20151028,SAC,LAC
63713,Shot Chart Detail,21500016,52,201933,Blake Griffin,1610612746,LA Clippers,1,6,25,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,82,200,1,0,20151028,SAC,LAC
63714,Shot Chart Detail,21500016,66,201933,Blake Griffin,1610612746,LA Clippers,1,5,34,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-166,16,1,1,20151028,SAC,LAC
63715,Shot Chart Detail,21500016,76,201933,Blake Griffin,1610612746,LA Clippers,1,4,8,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,63,175,1,1,20151028,SAC,LAC
63716,Shot Chart Detail,21500016,92,201933,Blake Griffin,1610612746,LA Clippers,1,2,53,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,43,13,1,0,20151028,SAC,LAC
63717,Shot Chart Detail,21500016,211,201933,Blake Griffin,1610612746,LA Clippers,2,6,15,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,8,1,1,20151028,SAC,LAC
63718,Shot Chart Detail,21500016,228,201933,Blake Griffin,1610612746,LA Clippers,2,5,1,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,SAC,LAC
63719,Shot Chart Detail,21500016,251,201933,Blake Griffin,1610612746,LA Clippers,2,2,57,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-19,67,1,1,20151028,SAC,LAC
63720,Shot Chart Detail,21500016,283,201933,Blake Griffin,1610612746,LA Clippers,2,0,47,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,SAC,LAC
63721,Shot Chart Detail,21500016,321,201933,Blake Griffin,1610612746,LA Clippers,3,9,56,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,10,203,1,1,20151028,SAC,LAC
