,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
7347,Shot Chart Detail,21500053,392,1626171,Bobby Portis,1610612741,Chicago Bulls,4,9,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,164,97,1,1,20151103,CHA,CHI
7348,Shot Chart Detail,21500053,412,1626171,Bobby Portis,1610612741,Chicago Bulls,4,6,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,117,144,1,0,20151103,CHA,CHI
7349,Shot Chart Detail,21500053,434,1626171,Bobby Portis,1610612741,Chicago Bulls,4,4,15,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-97,198,1,0,20151103,CHA,CHI
7350,Shot Chart Detail,21500053,457,1626171,Bobby Portis,1610612741,Chicago Bulls,4,2,24,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-27,121,1,1,20151103,CHA,CHI
7351,Shot Chart Detail,21500053,470,1626171,Bobby Portis,1610612741,Chicago Bulls,4,1,12,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151103,CHA,CHI
7352,Shot Chart Detail,21500053,479,1626171,Bobby Portis,1610612741,Chicago Bulls,4,0,35,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,18,1,1,20151103,CHA,CHI
7353,Shot Chart Detail,21500053,486,1626171,Bobby Portis,1610612741,Chicago Bulls,4,0,4,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,156,33,1,1,20151103,CHA,CHI
7354,Shot Chart Detail,21500100,136,1626171,Bobby Portis,1610612741,Chicago Bulls,1,0,58,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,163,101,1,0,20151109,PHI,CHI
7355,Shot Chart Detail,21500100,533,1626171,Bobby Portis,1610612741,Chicago Bulls,4,3,48,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151109,PHI,CHI
7356,Shot Chart Detail,21500100,540,1626171,Bobby Portis,1610612741,Chicago Bulls,4,3,5,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,48,-29,1,0,20151109,PHI,CHI
7357,Shot Chart Detail,21500231,540,1626171,Bobby Portis,1610612741,Chicago Bulls,4,0,48,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,28,2,1,0,20151127,IND,CHI
7358,Shot Chart Detail,21500231,546,1626171,Bobby Portis,1610612741,Chicago Bulls,4,0,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-196,178,1,0,20151127,IND,CHI
7359,Shot Chart Detail,21500231,550,1626171,Bobby Portis,1610612741,Chicago Bulls,4,0,0,Made Shot,Driving Bank shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,89,-15,1,1,20151127,IND,CHI
7360,Shot Chart Detail,21500361,506,1626171,Bobby Portis,1610612741,Chicago Bulls,4,3,8,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,151,21,1,0,20151214,CHI,PHI
