,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
112636,Shot Chart Detail,21500006,67,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,1,3,52,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-2,198,1,1,20151028,BKN,CHI,112636
112637,Shot Chart Detail,21500006,78,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,1,2,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-209,126,1,0,20151028,BKN,CHI,112637
112638,Shot Chart Detail,21500006,81,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,1,2,7,Made Shot,Turnaround Bank shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-101,26,1,1,20151028,BKN,CHI,112638
112639,Shot Chart Detail,21500006,127,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,2,10,27,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-68,72,1,1,20151028,BKN,CHI,112639
112640,Shot Chart Detail,21500006,365,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,3,2,53,Missed Shot,Driving Bank shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-86,33,1,0,20151028,BKN,CHI,112640
112641,Shot Chart Detail,21500006,403,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,4,11,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,113,166,1,0,20151028,BKN,CHI,112641
112642,Shot Chart Detail,21500006,406,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,4,11,19,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,9,101,1,0,20151028,BKN,CHI,112642
112643,Shot Chart Detail,21500006,540,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,4,0,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-140,223,1,0,20151028,BKN,CHI,112643
112644,Shot Chart Detail,21500028,65,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,1,4,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,2,1,1,20151030,SAS,BKN,112644
112645,Shot Chart Detail,21500028,68,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,1,4,21,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,64,13,1,0,20151030,SAS,BKN,112645
112646,Shot Chart Detail,21500028,113,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,2,11,38,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,9,51,1,1,20151030,SAS,BKN,112646
112647,Shot Chart Detail,21500028,116,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,2,11,2,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,16,1,1,20151030,SAS,BKN,112647
112648,Shot Chart Detail,21500028,133,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,2,8,24,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,227,56,1,0,20151030,SAS,BKN,112648
112649,Shot Chart Detail,21500028,330,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,3,0,37,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,-21,1,0,20151030,SAS,BKN,112649
112650,Shot Chart Detail,21500036,94,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,1,2,32,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-63,31,1,1,20151031,MEM,BKN,112650
112651,Shot Chart Detail,21500036,112,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,1,0,38,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,3,1,1,20151031,MEM,BKN,112651
112652,Shot Chart Detail,21500036,147,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,2,10,31,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-222,33,1,0,20151031,MEM,BKN,112652
112653,Shot Chart Detail,21500036,171,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,2,8,21,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,-5,1,1,20151031,MEM,BKN,112653
112654,Shot Chart Detail,21500036,179,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,2,7,23,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-163,-19,1,1,20151031,MEM,BKN,112654
112655,Shot Chart Detail,21500036,230,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,2,3,42,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-65,36,1,0,20151031,MEM,BKN,112655
112656,Shot Chart Detail,21500036,248,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,2,1,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-110,237,1,0,20151031,MEM,BKN,112656
112657,Shot Chart Detail,21500036,320,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,3,6,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,2,1,1,20151031,MEM,BKN,112657
112658,Shot Chart Detail,21500036,327,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,3,5,26,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,133,33,1,0,20151031,MEM,BKN,112658
112659,Shot Chart Detail,21500036,335,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,3,4,40,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,2,1,1,20151031,MEM,BKN,112659
112660,Shot Chart Detail,21500036,391,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,4,9,54,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,197,62,1,1,20151031,MEM,BKN,112660
112661,Shot Chart Detail,21500036,412,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,4,8,9,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-169,-21,1,0,20151031,MEM,BKN,112661
112662,Shot Chart Detail,21500036,419,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,4,7,28,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-5,1,0,20151031,MEM,BKN,112662
112663,Shot Chart Detail,21500036,468,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,4,4,32,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,-15,1,1,20151031,MEM,BKN,112663
112664,Shot Chart Detail,21500036,509,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,4,0,30,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-130,228,1,0,20151031,MEM,BKN,112664
112665,Shot Chart Detail,21500047,146,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,2,11,7,Made Shot,Turnaround Bank shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-84,23,1,1,20151102,BKN,MIL,112665
112666,Shot Chart Detail,21500047,156,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,2,9,29,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,4,1,0,20151102,BKN,MIL,112666
112667,Shot Chart Detail,21500047,199,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,2,6,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,169,0,1,0,20151102,BKN,MIL,112667
112668,Shot Chart Detail,21500047,205,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,2,5,54,Made Shot,Turnaround Bank shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,97,23,1,1,20151102,BKN,MIL,112668
112669,Shot Chart Detail,21500047,215,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,2,4,24,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,-21,1,1,20151102,BKN,MIL,112669
112670,Shot Chart Detail,21500047,255,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,2,1,21,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,73,23,1,0,20151102,BKN,MIL,112670
112671,Shot Chart Detail,21500047,263,202711,Bojan Bogdanovic,1610612751,Brooklyn Nets,2,0,34,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,71,239,1,0,20151102,BKN,MIL,112671
