,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
191692,Shot Chart Detail,21500013,92,2564,Boris Diaw,1610612759,San Antonio Spurs,1,3,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,23,17,239,1,1,20151028,OKC,SAS,191692
191693,Shot Chart Detail,21500013,340,2564,Boris Diaw,1610612759,San Antonio Spurs,3,4,38,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,21,1,1,20151028,OKC,SAS,191693
191694,Shot Chart Detail,21500013,350,2564,Boris Diaw,1610612759,San Antonio Spurs,3,3,28,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,11,1,1,20151028,OKC,SAS,191694
191695,Shot Chart Detail,21500013,361,2564,Boris Diaw,1610612759,San Antonio Spurs,3,2,57,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,-6,1,0,20151028,OKC,SAS,191695
191696,Shot Chart Detail,21500013,412,2564,Boris Diaw,1610612759,San Antonio Spurs,4,10,2,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-76,43,1,1,20151028,OKC,SAS,191696
191697,Shot Chart Detail,21500028,122,2564,Boris Diaw,1610612759,San Antonio Spurs,2,10,18,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-7,26,1,1,20151030,SAS,BKN,191697
191698,Shot Chart Detail,21500028,129,2564,Boris Diaw,1610612759,San Antonio Spurs,2,9,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,22,105,198,1,1,20151030,SAS,BKN,191698
191699,Shot Chart Detail,21500028,329,2564,Boris Diaw,1610612759,San Antonio Spurs,3,1,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,146,208,1,1,20151030,SAS,BKN,191699
191700,Shot Chart Detail,21500028,356,2564,Boris Diaw,1610612759,San Antonio Spurs,4,10,45,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,6,51,1,0,20151030,SAS,BKN,191700
191701,Shot Chart Detail,21500028,373,2564,Boris Diaw,1610612759,San Antonio Spurs,4,8,54,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-115,-6,1,0,20151030,SAS,BKN,191701
191702,Shot Chart Detail,21500040,102,2564,Boris Diaw,1610612759,San Antonio Spurs,1,1,35,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,3,1,1,20151101,BOS,SAS,191702
191703,Shot Chart Detail,21500040,108,2564,Boris Diaw,1610612759,San Antonio Spurs,1,0,25,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,2,1,1,20151101,BOS,SAS,191703
191704,Shot Chart Detail,21500040,134,2564,Boris Diaw,1610612759,San Antonio Spurs,2,10,11,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,0,1,0,20151101,BOS,SAS,191704
191705,Shot Chart Detail,21500040,223,2564,Boris Diaw,1610612759,San Antonio Spurs,2,4,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,82,234,1,0,20151101,BOS,SAS,191705
191706,Shot Chart Detail,21500040,419,2564,Boris Diaw,1610612759,San Antonio Spurs,3,1,42,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,-5,1,0,20151101,BOS,SAS,191706
191707,Shot Chart Detail,21500040,424,2564,Boris Diaw,1610612759,San Antonio Spurs,3,1,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,110,2,1,0,20151101,BOS,SAS,191707
191708,Shot Chart Detail,21500040,462,2564,Boris Diaw,1610612759,San Antonio Spurs,4,10,2,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,5,21,1,1,20151101,BOS,SAS,191708
191709,Shot Chart Detail,21500040,473,2564,Boris Diaw,1610612759,San Antonio Spurs,4,9,20,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,11,1,1,20151101,BOS,SAS,191709
191710,Shot Chart Detail,21500048,149,2564,Boris Diaw,1610612759,San Antonio Spurs,2,8,12,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-11,85,1,0,20151102,NYK,SAS,191710
191711,Shot Chart Detail,21500048,354,2564,Boris Diaw,1610612759,San Antonio Spurs,3,0,39,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-27,43,1,0,20151102,NYK,SAS,191711
191712,Shot Chart Detail,21500048,365,2564,Boris Diaw,1610612759,San Antonio Spurs,3,0,2,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,-1,1,0,20151102,NYK,SAS,191712
191713,Shot Chart Detail,21500048,392,2564,Boris Diaw,1610612759,San Antonio Spurs,4,10,7,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,0,1,1,20151102,NYK,SAS,191713
191714,Shot Chart Detail,21500048,421,2564,Boris Diaw,1610612759,San Antonio Spurs,4,6,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,127,213,1,1,20151102,NYK,SAS,191714
191715,Shot Chart Detail,21500048,474,2564,Boris Diaw,1610612759,San Antonio Spurs,4,1,50,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-115,75,1,0,20151102,NYK,SAS,191715
191716,Shot Chart Detail,21500061,142,2564,Boris Diaw,1610612759,San Antonio Spurs,2,8,55,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,12,254,1,0,20151104,WAS,SAS,191716
191717,Shot Chart Detail,21500090,78,2564,Boris Diaw,1610612759,San Antonio Spurs,1,4,36,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,3,1,1,20151107,SAS,CHA,191717
191718,Shot Chart Detail,21500090,124,2564,Boris Diaw,1610612759,San Antonio Spurs,1,0,33,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,7,1,1,20151107,SAS,CHA,191718
191719,Shot Chart Detail,21500090,401,2564,Boris Diaw,1610612759,San Antonio Spurs,4,9,40,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-2,65,1,0,20151107,SAS,CHA,191719
191720,Shot Chart Detail,21500103,109,2564,Boris Diaw,1610612759,San Antonio Spurs,1,0,28,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-151,200,1,0,20151109,SAC,SAS,191720
191721,Shot Chart Detail,21500103,363,2564,Boris Diaw,1610612759,San Antonio Spurs,3,1,38,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-30,11,1,1,20151109,SAC,SAS,191721
191722,Shot Chart Detail,21500103,430,2564,Boris Diaw,1610612759,San Antonio Spurs,4,6,52,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,13,1,1,20151109,SAC,SAS,191722
191723,Shot Chart Detail,21500103,441,2564,Boris Diaw,1610612759,San Antonio Spurs,4,5,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,215,13,1,1,20151109,SAC,SAS,191723
191724,Shot Chart Detail,21500123,65,2564,Boris Diaw,1610612759,San Antonio Spurs,1,3,36,Missed Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,1,41,1,0,20151111,POR,SAS,191724
191725,Shot Chart Detail,21500123,82,2564,Boris Diaw,1610612759,San Antonio Spurs,1,1,0,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,-1,1,1,20151111,POR,SAS,191725
191726,Shot Chart Detail,21500123,98,2564,Boris Diaw,1610612759,San Antonio Spurs,2,11,46,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-42,41,1,1,20151111,POR,SAS,191726
191727,Shot Chart Detail,21500123,295,2564,Boris Diaw,1610612759,San Antonio Spurs,3,5,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,40,247,1,0,20151111,POR,SAS,191727
191728,Shot Chart Detail,21500123,417,2564,Boris Diaw,1610612759,San Antonio Spurs,4,6,25,Made Shot,Driving Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,1,31,1,1,20151111,POR,SAS,191728
191729,Shot Chart Detail,21500123,422,2564,Boris Diaw,1610612759,San Antonio Spurs,4,5,51,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,13,1,0,20151111,POR,SAS,191729
191730,Shot Chart Detail,21500142,103,2564,Boris Diaw,1610612759,San Antonio Spurs,1,2,30,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-16,47,1,0,20151114,SAS,PHI,191730
191731,Shot Chart Detail,21500142,149,2564,Boris Diaw,1610612759,San Antonio Spurs,2,11,6,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,14,1,0,20151114,SAS,PHI,191731
