,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
68307,Shot Chart Detail,21500014,4,202688,Brandon Knight,1610612756,Phoenix Suns,1,11,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,141,198,1,0,20151028,PHX,DAL
68308,Shot Chart Detail,21500014,19,202688,Brandon Knight,1610612756,Phoenix Suns,1,9,26,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-78,139,1,1,20151028,PHX,DAL
68309,Shot Chart Detail,21500014,44,202688,Brandon Knight,1610612756,Phoenix Suns,1,7,36,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,23,1,1,20151028,PHX,DAL
68310,Shot Chart Detail,21500014,47,202688,Brandon Knight,1610612756,Phoenix Suns,1,7,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,6,247,1,0,20151028,PHX,DAL
68311,Shot Chart Detail,21500014,55,202688,Brandon Knight,1610612756,Phoenix Suns,1,6,49,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,-6,1,1,20151028,PHX,DAL
68312,Shot Chart Detail,21500014,284,202688,Brandon Knight,1610612756,Phoenix Suns,2,2,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-210,144,1,0,20151028,PHX,DAL
68313,Shot Chart Detail,21500014,346,202688,Brandon Knight,1610612756,Phoenix Suns,3,10,20,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,138,154,1,0,20151028,PHX,DAL
68314,Shot Chart Detail,21500014,360,202688,Brandon Knight,1610612756,Phoenix Suns,3,9,27,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,-1,1,1,20151028,PHX,DAL
68315,Shot Chart Detail,21500014,424,202688,Brandon Knight,1610612756,Phoenix Suns,3,4,23,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,58,110,1,1,20151028,PHX,DAL
68316,Shot Chart Detail,21500014,475,202688,Brandon Knight,1610612756,Phoenix Suns,4,11,27,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-99,139,1,0,20151028,PHX,DAL
68317,Shot Chart Detail,21500014,498,202688,Brandon Knight,1610612756,Phoenix Suns,4,9,32,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,-6,1,1,20151028,PHX,DAL
68318,Shot Chart Detail,21500014,536,202688,Brandon Knight,1610612756,Phoenix Suns,4,6,39,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,12,46,1,0,20151028,PHX,DAL
68319,Shot Chart Detail,21500014,546,202688,Brandon Knight,1610612756,Phoenix Suns,4,5,36,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,50,67,1,0,20151028,PHX,DAL
68320,Shot Chart Detail,21500032,9,202688,Brandon Knight,1610612756,Phoenix Suns,1,10,52,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,0,1,1,20151030,PHX,POR
68321,Shot Chart Detail,21500032,15,202688,Brandon Knight,1610612756,Phoenix Suns,1,10,4,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,-5,1,1,20151030,PHX,POR
68322,Shot Chart Detail,21500032,126,202688,Brandon Knight,1610612756,Phoenix Suns,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-76,232,1,0,20151030,PHX,POR
68323,Shot Chart Detail,21500032,133,202688,Brandon Knight,1610612756,Phoenix Suns,2,11,35,Made Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-4,38,1,1,20151030,PHX,POR
68324,Shot Chart Detail,21500032,207,202688,Brandon Knight,1610612756,Phoenix Suns,2,5,24,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,105,174,1,0,20151030,PHX,POR
68325,Shot Chart Detail,21500032,225,202688,Brandon Knight,1610612756,Phoenix Suns,2,3,25,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-201,61,1,0,20151030,PHX,POR
68326,Shot Chart Detail,21500032,300,202688,Brandon Knight,1610612756,Phoenix Suns,3,11,9,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-1,1,1,20151030,PHX,POR
68327,Shot Chart Detail,21500032,340,202688,Brandon Knight,1610612756,Phoenix Suns,3,7,18,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-156,198,1,0,20151030,PHX,POR
68328,Shot Chart Detail,21500032,343,202688,Brandon Knight,1610612756,Phoenix Suns,3,7,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,228,115,1,1,20151030,PHX,POR
68329,Shot Chart Detail,21500032,350,202688,Brandon Knight,1610612756,Phoenix Suns,3,6,24,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,112,149,1,0,20151030,PHX,POR
68330,Shot Chart Detail,21500032,474,202688,Brandon Knight,1610612756,Phoenix Suns,4,9,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-102,242,1,1,20151030,PHX,POR
68331,Shot Chart Detail,21500032,499,202688,Brandon Knight,1610612756,Phoenix Suns,4,7,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-171,193,1,0,20151030,PHX,POR
68332,Shot Chart Detail,21500032,522,202688,Brandon Knight,1610612756,Phoenix Suns,4,5,34,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,8,1,1,20151030,PHX,POR
68333,Shot Chart Detail,21500032,557,202688,Brandon Knight,1610612756,Phoenix Suns,4,2,50,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,96,178,1,0,20151030,PHX,POR
68334,Shot Chart Detail,21500037,9,202688,Brandon Knight,1610612756,Phoenix Suns,1,10,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-168,185,1,1,20151031,POR,PHX
68335,Shot Chart Detail,21500037,35,202688,Brandon Knight,1610612756,Phoenix Suns,1,7,39,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-12,56,1,1,20151031,POR,PHX
