,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
85104,Shot Chart Detail,21500008,109,203148,Brian Roberts,1610612766,Charlotte Hornets,1,1,29,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,102,121,1,1,20151028,MIA,CHA,85104
85105,Shot Chart Detail,21500008,136,203148,Brian Roberts,1610612766,Charlotte Hornets,2,11,5,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-109,0,1,0,20151028,MIA,CHA,85105
85106,Shot Chart Detail,21500008,170,203148,Brian Roberts,1610612766,Charlotte Hornets,2,8,26,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-125,134,1,0,20151028,MIA,CHA,85106
85107,Shot Chart Detail,21500008,371,203148,Brian Roberts,1610612766,Charlotte Hornets,3,1,50,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,92,56,1,0,20151028,MIA,CHA,85107
85108,Shot Chart Detail,21500008,395,203148,Brian Roberts,1610612766,Charlotte Hornets,3,0,7,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,76,62,1,0,20151028,MIA,CHA,85108
85109,Shot Chart Detail,21500008,413,203148,Brian Roberts,1610612766,Charlotte Hornets,4,10,9,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,174,124,1,1,20151028,MIA,CHA,85109
85110,Shot Chart Detail,21500053,454,203148,Brian Roberts,1610612766,Charlotte Hornets,4,2,51,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,45,174,1,1,20151103,CHA,CHI,85110
85111,Shot Chart Detail,21500053,477,203148,Brian Roberts,1610612766,Charlotte Hornets,4,0,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,99,232,1,0,20151103,CHA,CHI,85111
85112,Shot Chart Detail,21500053,487,203148,Brian Roberts,1610612766,Charlotte Hornets,4,0,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,55,149,1,0,20151103,CHA,CHI,85112
85113,Shot Chart Detail,21500072,511,203148,Brian Roberts,1610612766,Charlotte Hornets,4,2,10,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-6,105,1,0,20151105,DAL,CHA,85113
85114,Shot Chart Detail,21500072,526,203148,Brian Roberts,1610612766,Charlotte Hornets,4,0,43,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-186,110,1,0,20151105,DAL,CHA,85114
85115,Shot Chart Detail,21500090,487,203148,Brian Roberts,1610612766,Charlotte Hornets,4,1,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,191,156,1,0,20151107,SAS,CHA,85115
85116,Shot Chart Detail,21500111,409,203148,Brian Roberts,1610612766,Charlotte Hornets,4,10,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,204,43,1,1,20151110,MIN,CHA,85116
85117,Shot Chart Detail,21500111,430,203148,Brian Roberts,1610612766,Charlotte Hornets,4,8,11,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-94,193,1,1,20151110,MIN,CHA,85117
85118,Shot Chart Detail,21500178,138,203148,Brian Roberts,1610612766,Charlotte Hornets,2,8,56,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,173,67,1,0,20151120,CHA,PHI,85118
85119,Shot Chart Detail,21500178,378,203148,Brian Roberts,1610612766,Charlotte Hornets,4,10,56,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-35,188,1,0,20151120,CHA,PHI,85119
85120,Shot Chart Detail,21500178,512,203148,Brian Roberts,1610612766,Charlotte Hornets,4,1,22,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,20,92,1,1,20151120,CHA,PHI,85120
85121,Shot Chart Detail,21500268,237,203148,Brian Roberts,1610612766,Charlotte Hornets,2,1,51,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-6,154,1,1,20151202,CHA,GSW,85121
85122,Shot Chart Detail,21500268,246,203148,Brian Roberts,1610612766,Charlotte Hornets,2,0,43,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,55,252,1,1,20151202,CHA,GSW,85122
85123,Shot Chart Detail,21500268,375,203148,Brian Roberts,1610612766,Charlotte Hornets,4,11,26,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-71,178,1,0,20151202,CHA,GSW,85123
85124,Shot Chart Detail,21500268,400,203148,Brian Roberts,1610612766,Charlotte Hornets,4,8,36,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,40,100,1,0,20151202,CHA,GSW,85124
85125,Shot Chart Detail,21500268,434,203148,Brian Roberts,1610612766,Charlotte Hornets,4,6,8,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,117,121,1,0,20151202,CHA,GSW,85125
85126,Shot Chart Detail,21500268,507,203148,Brian Roberts,1610612766,Charlotte Hornets,4,0,47,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,8,1,0,20151202,CHA,GSW,85126
85127,Shot Chart Detail,21500268,512,203148,Brian Roberts,1610612766,Charlotte Hornets,4,0,24,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,27,21,1,0,20151202,CHA,GSW,85127
