,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
166665,Shot Chart Detail,21500006,18,201572,Brook Lopez,1610612751,Brooklyn Nets,1,9,39,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,43,141,1,0,20151028,BKN,CHI
166666,Shot Chart Detail,21500006,25,201572,Brook Lopez,1610612751,Brooklyn Nets,1,7,58,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,56,183,1,1,20151028,BKN,CHI
166667,Shot Chart Detail,21500006,28,201572,Brook Lopez,1610612751,Brooklyn Nets,1,7,27,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,38,200,1,0,20151028,BKN,CHI
166668,Shot Chart Detail,21500006,45,201572,Brook Lopez,1610612751,Brooklyn Nets,1,5,42,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,2,56,1,1,20151028,BKN,CHI
166669,Shot Chart Detail,21500006,187,201572,Brook Lopez,1610612751,Brooklyn Nets,2,4,28,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-1,185,1,1,20151028,BKN,CHI
166670,Shot Chart Detail,21500006,193,201572,Brook Lopez,1610612751,Brooklyn Nets,2,3,37,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,37,180,1,1,20151028,BKN,CHI
166671,Shot Chart Detail,21500006,210,201572,Brook Lopez,1610612751,Brooklyn Nets,2,2,4,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,9,72,1,1,20151028,BKN,CHI
166672,Shot Chart Detail,21500006,218,201572,Brook Lopez,1610612751,Brooklyn Nets,2,1,35,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,15,198,1,1,20151028,BKN,CHI
166673,Shot Chart Detail,21500006,291,201572,Brook Lopez,1610612751,Brooklyn Nets,3,7,31,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,46,61,1,0,20151028,BKN,CHI
166674,Shot Chart Detail,21500006,302,201572,Brook Lopez,1610612751,Brooklyn Nets,3,6,47,Missed Shot,Running Pull-Up Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,1,110,1,0,20151028,BKN,CHI
166675,Shot Chart Detail,21500006,328,201572,Brook Lopez,1610612751,Brooklyn Nets,3,5,5,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-6,47,1,0,20151028,BKN,CHI
166676,Shot Chart Detail,21500006,332,201572,Brook Lopez,1610612751,Brooklyn Nets,3,5,1,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,14,18,1,0,20151028,BKN,CHI
166677,Shot Chart Detail,21500006,350,201572,Brook Lopez,1610612751,Brooklyn Nets,3,3,45,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,46,124,1,0,20151028,BKN,CHI
166678,Shot Chart Detail,21500006,362,201572,Brook Lopez,1610612751,Brooklyn Nets,3,3,18,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-29,2,1,1,20151028,BKN,CHI
166679,Shot Chart Detail,21500006,452,201572,Brook Lopez,1610612751,Brooklyn Nets,4,8,5,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,18,1,1,20151028,BKN,CHI
166680,Shot Chart Detail,21500006,457,201572,Brook Lopez,1610612751,Brooklyn Nets,4,7,14,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-137,-11,1,1,20151028,BKN,CHI
