,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
164799,Shot Chart Detail,21500481,100,203955,Bryce Cotton,1610612756,Phoenix Suns,1,2,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-201,149,1,0,20151230,SAS,PHX
164800,Shot Chart Detail,21500481,118,203955,Bryce Cotton,1610612756,Phoenix Suns,1,0,0,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-70,-10,1,0,20151230,SAS,PHX
164801,Shot Chart Detail,21500481,332,203955,Bryce Cotton,1610612756,Phoenix Suns,3,3,29,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-148,106,1,0,20151230,SAS,PHX
164802,Shot Chart Detail,21500481,352,203955,Bryce Cotton,1610612756,Phoenix Suns,3,1,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-14,244,1,0,20151230,SAS,PHX
164803,Shot Chart Detail,21500481,426,203955,Bryce Cotton,1610612756,Phoenix Suns,4,5,47,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-125,116,1,1,20151230,SAS,PHX
164804,Shot Chart Detail,21500481,485,203955,Bryce Cotton,1610612756,Phoenix Suns,4,1,6,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,3,1,0,20151230,SAS,PHX
164805,Shot Chart Detail,21500496,519,203955,Bryce Cotton,1610612756,Phoenix Suns,4,3,29,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-52,28,1,1,20160102,SAC,PHX
164806,Shot Chart Detail,21500496,549,203955,Bryce Cotton,1610612756,Phoenix Suns,4,0,27,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,156,198,1,0,20160102,SAC,PHX
164807,Shot Chart Detail,21501148,565,203955,Bryce Cotton,1610612763,Memphis Grizzlies,4,0,7,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-76,159,1,1,20160403,ORL,MEM
164808,Shot Chart Detail,21501227,488,203955,Bryce Cotton,1610612763,Memphis Grizzlies,4,0,46,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,4,169,1,1,20160413,GSW,MEM
