,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
29567,Shot Chart Detail,21500004,68,201228,C.J. Watson,1610612753,Orlando Magic,1,4,47,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,-10,1,0,20151028,ORL,WAS,29567
29568,Shot Chart Detail,21500004,123,201228,C.J. Watson,1610612753,Orlando Magic,1,0,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-84,156,1,1,20151028,ORL,WAS,29568
29569,Shot Chart Detail,21500004,209,201228,C.J. Watson,1610612753,Orlando Magic,2,6,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-94,169,1,0,20151028,ORL,WAS,29569
29570,Shot Chart Detail,21500004,212,201228,C.J. Watson,1610612753,Orlando Magic,2,5,45,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-243,23,1,0,20151028,ORL,WAS,29570
29571,Shot Chart Detail,21500004,356,201228,C.J. Watson,1610612753,Orlando Magic,3,6,40,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-186,178,1,0,20151028,ORL,WAS,29571
29572,Shot Chart Detail,21500004,378,201228,C.J. Watson,1610612753,Orlando Magic,3,4,1,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,16,1,0,20151028,ORL,WAS,29572
29573,Shot Chart Detail,21500022,130,201228,C.J. Watson,1610612753,Orlando Magic,2,11,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-140,213,1,0,20151030,ORL,OKC,29573
29574,Shot Chart Detail,21500022,148,201228,C.J. Watson,1610612753,Orlando Magic,2,10,34,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,74,57,1,0,20151030,ORL,OKC,29574
29575,Shot Chart Detail,21500022,231,201228,C.J. Watson,1610612753,Orlando Magic,2,3,26,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,41,1,1,20151030,ORL,OKC,29575
29576,Shot Chart Detail,21500022,443,201228,C.J. Watson,1610612753,Orlando Magic,4,10,6,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-140,160,1,0,20151030,ORL,OKC,29576
29577,Shot Chart Detail,21500022,465,201228,C.J. Watson,1610612753,Orlando Magic,4,8,22,Missed Shot,Jump Bank Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,35,99,341,1,0,20151030,ORL,OKC,29577
29578,Shot Chart Detail,21500043,246,201228,C.J. Watson,1610612753,Orlando Magic,2,1,58,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-191,46,1,1,20151101,CHI,ORL,29578
29579,Shot Chart Detail,21500043,268,201228,C.J. Watson,1610612753,Orlando Magic,2,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-147,218,1,0,20151101,CHI,ORL,29579
29580,Shot Chart Detail,21500043,341,201228,C.J. Watson,1610612753,Orlando Magic,3,4,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-153,200,1,1,20151101,CHI,ORL,29580
29581,Shot Chart Detail,21500043,359,201228,C.J. Watson,1610612753,Orlando Magic,3,2,15,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-24,70,1,0,20151101,CHI,ORL,29581
29582,Shot Chart Detail,21500056,385,201228,C.J. Watson,1610612753,Orlando Magic,3,0,30,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-81,70,1,1,20151103,NOP,ORL,29582
29583,Shot Chart Detail,21500064,64,201228,C.J. Watson,1610612753,Orlando Magic,1,4,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,143,203,1,1,20151104,HOU,ORL,29583
29584,Shot Chart Detail,21500064,96,201228,C.J. Watson,1610612753,Orlando Magic,1,2,34,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-148,136,1,0,20151104,HOU,ORL,29584
29585,Shot Chart Detail,21500064,127,201228,C.J. Watson,1610612753,Orlando Magic,1,0,11,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-81,234,1,0,20151104,HOU,ORL,29585
29586,Shot Chart Detail,21500064,397,201228,C.J. Watson,1610612753,Orlando Magic,3,1,45,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,7,1,1,20151104,HOU,ORL,29586
29587,Shot Chart Detail,21500064,441,201228,C.J. Watson,1610612753,Orlando Magic,4,8,33,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,1,1,1,20151104,HOU,ORL,29587
29588,Shot Chart Detail,21500075,201,201228,C.J. Watson,1610612753,Orlando Magic,2,8,19,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,12,-70,105,1,0,20151106,ORL,TOR,29588
29589,Shot Chart Detail,21500075,379,201228,C.J. Watson,1610612753,Orlando Magic,3,3,58,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,2,1,1,20151106,ORL,TOR,29589
29590,Shot Chart Detail,21500075,415,201228,C.J. Watson,1610612753,Orlando Magic,3,0,36,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,45,61,1,1,20151106,ORL,TOR,29590
29591,Shot Chart Detail,21500075,440,201228,C.J. Watson,1610612753,Orlando Magic,4,10,42,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,161,21,1,0,20151106,ORL,TOR,29591
29592,Shot Chart Detail,21500075,446,201228,C.J. Watson,1610612753,Orlando Magic,4,10,7,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,8,1,1,20151106,ORL,TOR,29592
29593,Shot Chart Detail,21500075,468,201228,C.J. Watson,1610612753,Orlando Magic,4,8,5,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,40,31,1,0,20151106,ORL,TOR,29593
29594,Shot Chart Detail,21500075,473,201228,C.J. Watson,1610612753,Orlando Magic,4,8,4,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,13,19,1,0,20151106,ORL,TOR,29594
