,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
120875,Shot Chart Detail,21500015,12,203468,CJ McCollum,1610612757,Portland Trail Blazers,1,10,15,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-40,56,1,0,20151028,POR,NOP
120876,Shot Chart Detail,21500015,27,203468,CJ McCollum,1610612757,Portland Trail Blazers,1,9,16,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,195,160,1,1,20151028,POR,NOP
120877,Shot Chart Detail,21500015,44,203468,CJ McCollum,1610612757,Portland Trail Blazers,1,7,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,29,-176,232,1,1,20151028,POR,NOP
120878,Shot Chart Detail,21500015,57,203468,CJ McCollum,1610612757,Portland Trail Blazers,1,6,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,187,165,1,1,20151028,POR,NOP
120879,Shot Chart Detail,21500015,70,203468,CJ McCollum,1610612757,Portland Trail Blazers,1,5,36,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,-1,1,1,20151028,POR,NOP
120880,Shot Chart Detail,21500015,130,203468,CJ McCollum,1610612757,Portland Trail Blazers,1,2,20,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,16,1,1,20151028,POR,NOP
120881,Shot Chart Detail,21500015,152,203468,CJ McCollum,1610612757,Portland Trail Blazers,1,0,37,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-161,219,1,1,20151028,POR,NOP
120882,Shot Chart Detail,21500015,159,203468,CJ McCollum,1610612757,Portland Trail Blazers,1,0,4,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,78,247,1,1,20151028,POR,NOP
120883,Shot Chart Detail,21500015,173,203468,CJ McCollum,1610612757,Portland Trail Blazers,2,10,48,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-48,28,1,1,20151028,POR,NOP
120884,Shot Chart Detail,21500015,182,203468,CJ McCollum,1610612757,Portland Trail Blazers,2,9,49,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,71,178,1,0,20151028,POR,NOP
120885,Shot Chart Detail,21500015,185,203468,CJ McCollum,1610612757,Portland Trail Blazers,2,9,30,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,46,75,1,0,20151028,POR,NOP
120886,Shot Chart Detail,21500015,204,203468,CJ McCollum,1610612757,Portland Trail Blazers,2,8,16,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-9,110,1,0,20151028,POR,NOP
120887,Shot Chart Detail,21500015,283,203468,CJ McCollum,1610612757,Portland Trail Blazers,2,1,44,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,184,174,1,0,20151028,POR,NOP
