,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
12680,Shot Chart Detail,21500009,9,101139,CJ Miles,1610612754,Indiana Pacers,1,10,33,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,14,188,1,0,20151028,TOR,IND
12681,Shot Chart Detail,21500009,28,101139,CJ Miles,1610612754,Indiana Pacers,1,9,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,173,170,1,0,20151028,TOR,IND
12682,Shot Chart Detail,21500009,33,101139,CJ Miles,1610612754,Indiana Pacers,1,8,45,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,16,1,1,20151028,TOR,IND
12683,Shot Chart Detail,21500009,39,101139,CJ Miles,1610612754,Indiana Pacers,1,8,28,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,173,169,1,1,20151028,TOR,IND
12684,Shot Chart Detail,21500009,83,101139,CJ Miles,1610612754,Indiana Pacers,1,5,0,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,TOR,IND
12685,Shot Chart Detail,21500009,91,101139,CJ Miles,1610612754,Indiana Pacers,1,4,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,122,223,1,1,20151028,TOR,IND
12686,Shot Chart Detail,21500009,99,101139,CJ Miles,1610612754,Indiana Pacers,1,2,53,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,53,237,1,0,20151028,TOR,IND
12687,Shot Chart Detail,21500009,231,101139,CJ Miles,1610612754,Indiana Pacers,2,4,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-207,131,1,0,20151028,TOR,IND
12688,Shot Chart Detail,21500009,273,101139,CJ Miles,1610612754,Indiana Pacers,2,0,52,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,3,1,0,20151028,TOR,IND
12689,Shot Chart Detail,21500009,294,101139,CJ Miles,1610612754,Indiana Pacers,3,11,11,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,26,1,1,20151028,TOR,IND
12690,Shot Chart Detail,21500009,354,101139,CJ Miles,1610612754,Indiana Pacers,3,5,8,Missed Shot,Running Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-7,28,1,0,20151028,TOR,IND
12691,Shot Chart Detail,21500009,359,101139,CJ Miles,1610612754,Indiana Pacers,3,4,46,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,133,208,1,1,20151028,TOR,IND
12692,Shot Chart Detail,21500009,369,101139,CJ Miles,1610612754,Indiana Pacers,3,3,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-102,228,1,0,20151028,TOR,IND
12693,Shot Chart Detail,21500009,588,101139,CJ Miles,1610612754,Indiana Pacers,4,0,28,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,171,115,1,0,20151028,TOR,IND
12694,Shot Chart Detail,21500018,114,101139,CJ Miles,1610612754,Indiana Pacers,1,2,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-191,178,1,1,20151029,IND,MEM
12695,Shot Chart Detail,21500018,146,101139,CJ Miles,1610612754,Indiana Pacers,2,11,1,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-156,160,1,1,20151029,IND,MEM
12696,Shot Chart Detail,21500018,149,101139,CJ Miles,1610612754,Indiana Pacers,2,10,29,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,81,264,1,0,20151029,IND,MEM
12697,Shot Chart Detail,21500018,177,101139,CJ Miles,1610612754,Indiana Pacers,2,7,40,Made Shot,Step Back Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,23,99,214,1,1,20151029,IND,MEM
12698,Shot Chart Detail,21500018,342,101139,CJ Miles,1610612754,Indiana Pacers,3,3,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,204,183,1,1,20151029,IND,MEM
12699,Shot Chart Detail,21500018,345,101139,CJ Miles,1610612754,Indiana Pacers,3,3,5,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,182,203,1,1,20151029,IND,MEM
12700,Shot Chart Detail,21500018,401,101139,CJ Miles,1610612754,Indiana Pacers,4,11,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,6,262,1,1,20151029,IND,MEM
12701,Shot Chart Detail,21500018,439,101139,CJ Miles,1610612754,Indiana Pacers,4,7,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-11,262,1,0,20151029,IND,MEM
12702,Shot Chart Detail,21500033,11,101139,CJ Miles,1610612754,Indiana Pacers,1,10,17,Missed Shot,Running Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-30,16,1,0,20151031,IND,UTA
12703,Shot Chart Detail,21500033,24,101139,CJ Miles,1610612754,Indiana Pacers,1,9,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-169,218,1,0,20151031,IND,UTA
12704,Shot Chart Detail,21500033,27,101139,CJ Miles,1610612754,Indiana Pacers,1,8,44,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,94,229,1,0,20151031,IND,UTA
12705,Shot Chart Detail,21500033,243,101139,CJ Miles,1610612754,Indiana Pacers,2,1,17,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-117,244,1,0,20151031,IND,UTA
12706,Shot Chart Detail,21500033,262,101139,CJ Miles,1610612754,Indiana Pacers,3,11,41,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,2,1,0,20151031,IND,UTA
