,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
189852,Shot Chart Detail,21500586,519,203912,CJ Wilcox,1610612746,LA Clippers,4,1,47,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,18,1,0,20160113,LAC,MIA
189853,Shot Chart Detail,21500586,530,203912,CJ Wilcox,1610612746,LA Clippers,4,0,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-101,190,1,0,20160113,LAC,MIA
189854,Shot Chart Detail,21500648,473,203912,CJ Wilcox,1610612746,LA Clippers,4,4,50,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,20,186,80,1,1,20160122,NYK,LAC
189855,Shot Chart Detail,21500648,519,203912,CJ Wilcox,1610612746,LA Clippers,4,1,4,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,94,156,1,1,20160122,NYK,LAC
189856,Shot Chart Detail,21500666,500,203912,CJ Wilcox,1610612746,LA Clippers,4,4,47,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-138,80,1,0,20160124,TOR,LAC
189857,Shot Chart Detail,21500666,532,203912,CJ Wilcox,1610612746,LA Clippers,4,2,2,Missed Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,161,124,1,0,20160124,TOR,LAC
189858,Shot Chart Detail,21500706,500,203912,CJ Wilcox,1610612746,LA Clippers,4,1,28,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-120,21,1,1,20160129,LAC,LAL
189859,Shot Chart Detail,21500706,506,203912,CJ Wilcox,1610612746,LA Clippers,4,0,31,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,15,178,1,0,20160129,LAC,LAL
189860,Shot Chart Detail,21500714,458,203912,CJ Wilcox,1610612746,LA Clippers,4,1,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-214,169,1,0,20160131,LAC,CHI
189861,Shot Chart Detail,21500714,462,203912,CJ Wilcox,1610612746,LA Clippers,4,1,11,Missed Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,26,1,0,20160131,LAC,CHI
