,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
194180,Shot Chart Detail,21500016,139,2406,Caron Butler,1610612758,Sacramento Kings,2,11,34,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-199,67,1,1,20151028,SAC,LAC
194181,Shot Chart Detail,21500016,149,2406,Caron Butler,1610612758,Sacramento Kings,2,10,11,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-209,56,1,1,20151028,SAC,LAC
194182,Shot Chart Detail,21500016,202,2406,Caron Butler,1610612758,Sacramento Kings,2,6,32,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,21,1,0,20151028,SAC,LAC
194183,Shot Chart Detail,21500016,416,2406,Caron Butler,1610612758,Sacramento Kings,3,3,32,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-130,115,1,0,20151028,SAC,LAC
194184,Shot Chart Detail,21500016,422,2406,Caron Butler,1610612758,Sacramento Kings,3,2,47,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,9,21,1,0,20151028,SAC,LAC
194185,Shot Chart Detail,21500016,448,2406,Caron Butler,1610612758,Sacramento Kings,3,0,16,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,11,1,1,20151028,SAC,LAC
194186,Shot Chart Detail,21500016,462,2406,Caron Butler,1610612758,Sacramento Kings,4,10,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,171,23,1,1,20151028,SAC,LAC
194187,Shot Chart Detail,21500038,463,2406,Caron Butler,1610612758,Sacramento Kings,3,2,32,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,81,198,1,0,20151031,LAC,SAC
194188,Shot Chart Detail,21500038,519,2406,Caron Butler,1610612758,Sacramento Kings,4,10,35,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-101,41,1,1,20151031,LAC,SAC
194189,Shot Chart Detail,21500038,526,2406,Caron Butler,1610612758,Sacramento Kings,4,9,21,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-125,146,1,1,20151031,LAC,SAC
194190,Shot Chart Detail,21500038,555,2406,Caron Butler,1610612758,Sacramento Kings,4,7,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,199,149,1,0,20151031,LAC,SAC
194191,Shot Chart Detail,21500058,164,2406,Caron Butler,1610612758,Sacramento Kings,2,8,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-151,203,1,0,20151103,SAC,MEM
194192,Shot Chart Detail,21500058,416,2406,Caron Butler,1610612758,Sacramento Kings,3,1,57,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-150,160,1,1,20151103,SAC,MEM
194193,Shot Chart Detail,21500067,153,2406,Caron Butler,1610612758,Sacramento Kings,2,9,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-91,232,1,0,20151104,PHX,SAC
194194,Shot Chart Detail,21500092,122,2406,Caron Butler,1610612758,Sacramento Kings,1,1,5,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-73,185,1,0,20151107,SAC,GSW
194195,Shot Chart Detail,21500092,150,2406,Caron Butler,1610612758,Sacramento Kings,2,10,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,123,116,1,0,20151107,SAC,GSW
194196,Shot Chart Detail,21500092,158,2406,Caron Butler,1610612758,Sacramento Kings,2,9,33,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,108,66,1,0,20151107,SAC,GSW
194197,Shot Chart Detail,21500137,16,2406,Caron Butler,1610612758,Sacramento Kings,1,9,54,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-142,219,1,1,20151113,SAC,BKN
194198,Shot Chart Detail,21500137,43,2406,Caron Butler,1610612758,Sacramento Kings,1,7,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-119,218,1,0,20151113,SAC,BKN
194199,Shot Chart Detail,21500137,77,2406,Caron Butler,1610612758,Sacramento Kings,1,5,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,11,110,2,1,0,20151113,SAC,BKN
194200,Shot Chart Detail,21500137,219,2406,Caron Butler,1610612758,Sacramento Kings,2,6,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-84,237,1,0,20151113,SAC,BKN
194201,Shot Chart Detail,21500137,321,2406,Caron Butler,1610612758,Sacramento Kings,3,8,38,Made Shot,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-45,85,1,1,20151113,SAC,BKN
194202,Shot Chart Detail,21500175,166,2406,Caron Butler,1610612758,Sacramento Kings,2,7,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-176,170,1,0,20151119,MIA,SAC
194203,Shot Chart Detail,21500410,164,2406,Caron Butler,1610612758,Sacramento Kings,2,10,9,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,138,164,1,0,20151221,WAS,SAC
194204,Shot Chart Detail,21500410,173,2406,Caron Butler,1610612758,Sacramento Kings,2,9,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-155,-15,1,1,20151221,WAS,SAC
194205,Shot Chart Detail,21500410,193,2406,Caron Butler,1610612758,Sacramento Kings,2,7,41,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-120,3,1,1,20151221,WAS,SAC
194206,Shot Chart Detail,21500957,163,2406,Caron Butler,1610612758,Sacramento Kings,2,8,5,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,63,200,1,1,20160309,SAC,CLE
