,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
144300,Shot Chart Detail,21500045,9,202718,Chandler Parsons,1610612742,Dallas Mavericks,1,11,12,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,26,1,0,20151101,LAL,DAL
144301,Shot Chart Detail,21500045,13,202718,Chandler Parsons,1610612742,Dallas Mavericks,1,10,52,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,-6,1,0,20151101,LAL,DAL
144302,Shot Chart Detail,21500045,31,202718,Chandler Parsons,1610612742,Dallas Mavericks,1,8,16,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,11,1,0,20151101,LAL,DAL
144303,Shot Chart Detail,21500045,167,202718,Chandler Parsons,1610612742,Dallas Mavericks,2,8,31,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,2,1,1,20151101,LAL,DAL
144304,Shot Chart Detail,21500045,169,202718,Chandler Parsons,1610612742,Dallas Mavericks,2,8,5,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,22,61,1,0,20151101,LAL,DAL
144305,Shot Chart Detail,21500045,176,202718,Chandler Parsons,1610612742,Dallas Mavericks,2,6,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,23,74,228,1,0,20151101,LAL,DAL
144306,Shot Chart Detail,21500057,5,202718,Chandler Parsons,1610612742,Dallas Mavericks,1,11,1,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,7,1,0,20151103,DAL,TOR
144307,Shot Chart Detail,21500057,19,202718,Chandler Parsons,1610612742,Dallas Mavericks,1,9,34,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,2,1,1,20151103,DAL,TOR
144308,Shot Chart Detail,21500057,44,202718,Chandler Parsons,1610612742,Dallas Mavericks,1,7,30,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,223,11,1,1,20151103,DAL,TOR
144309,Shot Chart Detail,21500057,65,202718,Chandler Parsons,1610612742,Dallas Mavericks,1,4,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-127,208,1,1,20151103,DAL,TOR
144310,Shot Chart Detail,21500057,232,202718,Chandler Parsons,1610612742,Dallas Mavericks,2,4,1,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,18,1,0,20151103,DAL,TOR
144311,Shot Chart Detail,21500057,235,202718,Chandler Parsons,1610612742,Dallas Mavericks,2,3,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,25,242,1,0,20151103,DAL,TOR
144312,Shot Chart Detail,21500072,265,202718,Chandler Parsons,1610612742,Dallas Mavericks,3,10,55,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-124,178,1,1,20151105,DAL,CHA
144313,Shot Chart Detail,21500072,280,202718,Chandler Parsons,1610612742,Dallas Mavericks,3,8,53,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,9,1,0,20151105,DAL,CHA
144314,Shot Chart Detail,21500072,286,202718,Chandler Parsons,1610612742,Dallas Mavericks,3,8,26,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,228,70,1,0,20151105,DAL,CHA
144315,Shot Chart Detail,21500072,308,202718,Chandler Parsons,1610612742,Dallas Mavericks,3,5,46,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,235,51,1,0,20151105,DAL,CHA
144316,Shot Chart Detail,21500072,403,202718,Chandler Parsons,1610612742,Dallas Mavericks,4,9,32,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,223,100,1,0,20151105,DAL,CHA
144317,Shot Chart Detail,21500088,7,202718,Chandler Parsons,1610612742,Dallas Mavericks,1,10,45,Missed Shot,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,58,18,1,0,20151107,DAL,NOP
144318,Shot Chart Detail,21500088,31,202718,Chandler Parsons,1610612742,Dallas Mavericks,1,7,41,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-73,13,1,0,20151107,DAL,NOP
