,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
200151,Shot Chart Detail,21500055,434,2365,Chris Andersen,1610612748,Miami Heat,4,9,22,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151103,MIA,ATL
200152,Shot Chart Detail,21500218,465,2365,Chris Andersen,1610612748,Miami Heat,4,1,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,122,232,1,1,20151125,DET,MIA
200153,Shot Chart Detail,21500491,464,2365,Chris Andersen,1610612748,Miami Heat,4,1,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,168,185,1,0,20160101,MIA,DAL
200154,Shot Chart Detail,21500491,479,2365,Chris Andersen,1610612748,Miami Heat,4,0,9,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,55,16,1,0,20160101,MIA,DAL
200155,Shot Chart Detail,21500508,472,2365,Chris Andersen,1610612748,Miami Heat,4,2,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,61,257,1,0,20160103,WAS,MIA
200156,Shot Chart Detail,21500508,478,2365,Chris Andersen,1610612748,Miami Heat,4,2,8,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-133,244,1,0,20160103,WAS,MIA
200157,Shot Chart Detail,21500515,14,2365,Chris Andersen,1610612748,Miami Heat,1,10,36,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,96,151,1,0,20160104,MIA,IND
200158,Shot Chart Detail,21500515,53,2365,Chris Andersen,1610612748,Miami Heat,1,7,28,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,16,1,0,20160104,MIA,IND
200159,Shot Chart Detail,21500515,55,2365,Chris Andersen,1610612748,Miami Heat,1,7,25,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,16,1,1,20160104,MIA,IND
200160,Shot Chart Detail,21500586,524,2365,Chris Andersen,1610612748,Miami Heat,4,1,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,38,257,1,1,20160113,LAC,MIA
200161,Shot Chart Detail,21500810,403,2365,Chris Andersen,1610612763,Memphis Grizzlies,4,11,4,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,8,1,1,20160219,MEM,MIN
200162,Shot Chart Detail,21500810,421,2365,Chris Andersen,1610612763,Memphis Grizzlies,4,9,15,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,13,1,1,20160219,MEM,MIN
200163,Shot Chart Detail,21500851,219,2365,Chris Andersen,1610612763,Memphis Grizzlies,2,4,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,38,252,1,0,20160224,MEM,LAL
200164,Shot Chart Detail,21500868,347,2365,Chris Andersen,1610612763,Memphis Grizzlies,3,2,21,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,5,1,1,20160226,LAL,MEM
200165,Shot Chart Detail,21500868,364,2365,Chris Andersen,1610612763,Memphis Grizzlies,3,1,24,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,37,115,1,0,20160226,LAL,MEM
200166,Shot Chart Detail,21500875,101,2365,Chris Andersen,1610612763,Memphis Grizzlies,1,2,43,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160227,PHX,MEM
200167,Shot Chart Detail,21500888,4,2365,Chris Andersen,1610612763,Memphis Grizzlies,1,11,18,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,13,1,0,20160229,DEN,MEM
200168,Shot Chart Detail,21500888,144,2365,Chris Andersen,1610612763,Memphis Grizzlies,2,10,24,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,0,1,1,20160229,DEN,MEM
200169,Shot Chart Detail,21500888,154,2365,Chris Andersen,1610612763,Memphis Grizzlies,2,9,9,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,192,11,1,1,20160229,DEN,MEM
200170,Shot Chart Detail,21500902,78,2365,Chris Andersen,1610612763,Memphis Grizzlies,1,5,4,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160302,MEM,SAC
200171,Shot Chart Detail,21500902,246,2365,Chris Andersen,1610612763,Memphis Grizzlies,2,3,37,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,8,1,0,20160302,MEM,SAC
200172,Shot Chart Detail,21500902,309,2365,Chris Andersen,1610612763,Memphis Grizzlies,3,11,23,Missed Shot,Turnaround Bank shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,33,16,1,0,20160302,MEM,SAC
200173,Shot Chart Detail,21500902,343,2365,Chris Andersen,1610612763,Memphis Grizzlies,3,7,47,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160302,MEM,SAC
200174,Shot Chart Detail,21500918,193,2365,Chris Andersen,1610612763,Memphis Grizzlies,2,3,12,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,0,1,1,20160304,MEM,UTA
200175,Shot Chart Detail,21500918,444,2365,Chris Andersen,1610612763,Memphis Grizzlies,4,4,44,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,2,1,1,20160304,MEM,UTA
200176,Shot Chart Detail,21500932,37,2365,Chris Andersen,1610612763,Memphis Grizzlies,1,7,33,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,2,1,1,20160306,MEM,PHX
200177,Shot Chart Detail,21501055,6,2365,Chris Andersen,1610612763,Memphis Grizzlies,1,11,12,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,18,1,0,20160322,LAL,MEM
200178,Shot Chart Detail,21501055,24,2365,Chris Andersen,1610612763,Memphis Grizzlies,1,9,8,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,11,1,1,20160322,LAL,MEM
