,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
87766,Shot Chart Detail,21500012,614,203921,Cleanthony Early,1610612752,New York Knicks,4,0,16,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,7,1,1,20151028,MIL,NYK,87766
87767,Shot Chart Detail,21500109,433,203921,Cleanthony Early,1610612752,New York Knicks,3,0,0,Made Shot,Pullup Bank shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,30,-212,224,1,1,20151110,TOR,NYK,87767
87768,Shot Chart Detail,21500109,471,203921,Cleanthony Early,1610612752,New York Knicks,4,8,8,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-32,7,1,1,20151110,TOR,NYK,87768
87769,Shot Chart Detail,21500109,483,203921,Cleanthony Early,1610612752,New York Knicks,4,7,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,223,106,1,0,20151110,TOR,NYK,87769
87770,Shot Chart Detail,21500252,151,203921,Cleanthony Early,1610612752,New York Knicks,2,9,14,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,7,1,0,20151129,NYK,HOU,87770
87771,Shot Chart Detail,21500271,519,203921,Cleanthony Early,1610612752,New York Knicks,4,0,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,159,190,1,0,20151202,NYK,PHI,87771
87772,Shot Chart Detail,21501130,94,203921,Cleanthony Early,1610612752,New York Knicks,1,2,22,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,11,1,0,20160401,NYK,BKN,87772
87773,Shot Chart Detail,21501130,105,203921,Cleanthony Early,1610612752,New York Knicks,1,0,43,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-55,174,1,0,20160401,NYK,BKN,87773
87774,Shot Chart Detail,21501130,114,203921,Cleanthony Early,1610612752,New York Knicks,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,205,198,1,0,20160401,NYK,BKN,87774
87775,Shot Chart Detail,21501130,121,203921,Cleanthony Early,1610612752,New York Knicks,2,11,17,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,7,1,0,20160401,NYK,BKN,87775
