,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
4122,Shot Chart Detail,21500291,488,201619,Sasha Kaun,1610612739,Cleveland Cavaliers,4,5,56,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,4,23,1,0,20151205,MIA,CLE
4123,Shot Chart Detail,21500291,543,201619,Sasha Kaun,1610612739,Cleveland Cavaliers,4,1,47,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,11,1,1,20151205,MIA,CLE
4124,Shot Chart Detail,21500405,568,201619,Sasha Kaun,1610612739,Cleveland Cavaliers,4,1,51,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,0,1,1,20151220,CLE,PHI
4125,Shot Chart Detail,21500405,575,201619,Sasha Kaun,1610612739,Cleveland Cavaliers,4,1,18,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,7,1,0,20151220,CLE,PHI
4126,Shot Chart Detail,21500405,577,201619,Sasha Kaun,1610612739,Cleveland Cavaliers,4,1,16,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,0,1,1,20151220,CLE,PHI
4127,Shot Chart Detail,21500917,486,201619,Sasha Kaun,1610612739,Cleveland Cavaliers,4,2,3,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,-11,1,1,20160304,CLE,WAS
4128,Shot Chart Detail,21500922,587,201619,Sasha Kaun,1610612739,Cleveland Cavaliers,4,0,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,2,1,1,20160305,CLE,BOS
4129,Shot Chart Detail,21500983,488,201619,Sasha Kaun,1610612739,Cleveland Cavaliers,4,1,43,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,16,1,0,20160313,LAC,CLE
4130,Shot Chart Detail,21501044,485,201619,Sasha Kaun,1610612739,Cleveland Cavaliers,4,4,3,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,-1,1,1,20160321,CLE,DEN
4131,Shot Chart Detail,21501044,503,201619,Sasha Kaun,1610612739,Cleveland Cavaliers,4,2,36,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160321,CLE,DEN
