,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
67910,Shot Chart Detail,21500010,2,203991,Clint Capela,1610612745,Houston Rockets,1,11,38,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-22,31,1,0,20151028,HOU,DEN,67910
67911,Shot Chart Detail,21500010,20,203991,Clint Capela,1610612745,Houston Rockets,1,9,42,Missed Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20151028,HOU,DEN,67911
67912,Shot Chart Detail,21500010,208,203991,Clint Capela,1610612745,Houston Rockets,2,4,50,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,HOU,DEN,67912
67913,Shot Chart Detail,21500010,271,203991,Clint Capela,1610612745,Houston Rockets,3,10,41,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,3,1,1,20151028,HOU,DEN,67913
67914,Shot Chart Detail,21500010,368,203991,Clint Capela,1610612745,Houston Rockets,3,1,59,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,11,1,0,20151028,HOU,DEN,67914
67915,Shot Chart Detail,21500010,396,203991,Clint Capela,1610612745,Houston Rockets,4,11,48,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,HOU,DEN,67915
67916,Shot Chart Detail,21500010,429,203991,Clint Capela,1610612745,Houston Rockets,4,8,23,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,HOU,DEN,67916
67917,Shot Chart Detail,21500030,152,203991,Clint Capela,1610612745,Houston Rockets,1,0,32,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,HOU,GSW,67917
67918,Shot Chart Detail,21500030,226,203991,Clint Capela,1610612745,Houston Rockets,2,6,28,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,HOU,GSW,67918
67919,Shot Chart Detail,21500030,299,203991,Clint Capela,1610612745,Houston Rockets,2,0,34,Missed Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20151030,HOU,GSW,67919
67920,Shot Chart Detail,21500030,373,203991,Clint Capela,1610612745,Houston Rockets,3,5,43,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-30,2,1,1,20151030,HOU,GSW,67920
67921,Shot Chart Detail,21500041,4,203991,Clint Capela,1610612745,Houston Rockets,1,11,27,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,8,1,1,20151101,MIA,HOU,67921
67922,Shot Chart Detail,21500041,28,203991,Clint Capela,1610612745,Houston Rockets,1,9,13,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151101,MIA,HOU,67922
67923,Shot Chart Detail,21500041,39,203991,Clint Capela,1610612745,Houston Rockets,1,7,54,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,13,1,1,20151101,MIA,HOU,67923
67924,Shot Chart Detail,21500041,288,203991,Clint Capela,1610612745,Houston Rockets,3,11,33,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151101,MIA,HOU,67924
67925,Shot Chart Detail,21500041,313,203991,Clint Capela,1610612745,Houston Rockets,3,7,57,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151101,MIA,HOU,67925
