,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
162175,Shot Chart Detail,21500008,327,203469,Cody Zeller,1610612766,Charlotte Hornets,3,5,21,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-124,159,1,0,20151028,MIA,CHA,162175
162176,Shot Chart Detail,21500008,442,203469,Cody Zeller,1610612766,Charlotte Hornets,4,7,1,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,7,1,1,20151028,MIA,CHA,162176
162177,Shot Chart Detail,21500008,460,203469,Cody Zeller,1610612766,Charlotte Hornets,4,5,1,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,2,1,1,20151028,MIA,CHA,162177
162178,Shot Chart Detail,21500008,482,203469,Cody Zeller,1610612766,Charlotte Hornets,4,2,36,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-102,169,1,0,20151028,MIA,CHA,162178
162179,Shot Chart Detail,21500026,103,203469,Cody Zeller,1610612766,Charlotte Hornets,1,2,34,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-176,8,1,0,20151030,ATL,CHA,162179
162180,Shot Chart Detail,21500026,116,203469,Cody Zeller,1610612766,Charlotte Hornets,1,1,36,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,-1,1,0,20151030,ATL,CHA,162180
162181,Shot Chart Detail,21500026,161,203469,Cody Zeller,1610612766,Charlotte Hornets,2,10,2,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,-1,1,1,20151030,ATL,CHA,162181
162182,Shot Chart Detail,21500026,334,203469,Cody Zeller,1610612766,Charlotte Hornets,3,5,20,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-78,234,1,0,20151030,ATL,CHA,162182
162183,Shot Chart Detail,21500026,559,203469,Cody Zeller,1610612766,Charlotte Hornets,4,0,3,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-10,1,1,20151030,ATL,CHA,162183
162184,Shot Chart Detail,21500039,189,203469,Cody Zeller,1610612766,Charlotte Hornets,2,2,7,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,13,-4,1,0,20151101,CHA,ATL,162184
162185,Shot Chart Detail,21500039,209,203469,Cody Zeller,1610612766,Charlotte Hornets,2,0,31,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151101,CHA,ATL,162185
162186,Shot Chart Detail,21500039,324,203469,Cody Zeller,1610612766,Charlotte Hornets,3,3,2,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151101,CHA,ATL,162186
162187,Shot Chart Detail,21500039,337,203469,Cody Zeller,1610612766,Charlotte Hornets,3,1,36,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,11,1,1,20151101,CHA,ATL,162187
162188,Shot Chart Detail,21500039,364,203469,Cody Zeller,1610612766,Charlotte Hornets,4,11,4,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,66,178,1,0,20151101,CHA,ATL,162188
162189,Shot Chart Detail,21500039,423,203469,Cody Zeller,1610612766,Charlotte Hornets,4,6,31,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-186,80,1,0,20151101,CHA,ATL,162189
162190,Shot Chart Detail,21500053,46,203469,Cody Zeller,1610612766,Charlotte Hornets,1,5,9,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,11,1,0,20151103,CHA,CHI,162190
162191,Shot Chart Detail,21500053,97,203469,Cody Zeller,1610612766,Charlotte Hornets,1,0,49,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151103,CHA,CHI,162191
162192,Shot Chart Detail,21500053,107,203469,Cody Zeller,1610612766,Charlotte Hornets,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,137,228,1,0,20151103,CHA,CHI,162192
162193,Shot Chart Detail,21500053,113,203469,Cody Zeller,1610612766,Charlotte Hornets,2,11,28,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,8,1,1,20151103,CHA,CHI,162193
162194,Shot Chart Detail,21500053,380,203469,Cody Zeller,1610612766,Charlotte Hornets,4,10,4,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,11,1,0,20151103,CHA,CHI,162194
162195,Shot Chart Detail,21500072,77,203469,Cody Zeller,1610612766,Charlotte Hornets,1,3,16,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-6,1,1,20151105,DAL,CHA,162195
162196,Shot Chart Detail,21500072,103,203469,Cody Zeller,1610612766,Charlotte Hornets,1,0,50,Missed Shot,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-96,36,1,0,20151105,DAL,CHA,162196
