,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
33975,Shot Chart Detail,21500020,516,202332,Cole Aldrich,1610612746,LA Clippers,4,6,18,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-4,21,1,1,20151029,LAC,DAL,33975
33976,Shot Chart Detail,21500020,522,202332,Cole Aldrich,1610612746,LA Clippers,4,5,11,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,9,61,1,0,20151029,LAC,DAL,33976
33977,Shot Chart Detail,21500126,478,202332,Cole Aldrich,1610612746,LA Clippers,4,5,47,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-5,1,1,20151112,PHX,LAC,33977
33978,Shot Chart Detail,21500401,678,202332,Cole Aldrich,1610612746,LA Clippers,4,0,32,Made Shot,Pullup Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-6,28,1,1,20151219,HOU,LAC,33978
33979,Shot Chart Detail,21500418,108,202332,Cole Aldrich,1610612746,LA Clippers,1,0,40,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,2,1,0,20151221,LAC,OKC,33979
33980,Shot Chart Detail,21500418,130,202332,Cole Aldrich,1610612746,LA Clippers,2,10,48,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,7,1,1,20151221,LAC,OKC,33980
33981,Shot Chart Detail,21500418,409,202332,Cole Aldrich,1610612746,LA Clippers,4,10,34,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151221,LAC,OKC,33981
33982,Shot Chart Detail,21500440,106,202332,Cole Aldrich,1610612746,LA Clippers,1,0,32,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,2,46,1,0,20151225,LAL,LAC,33982
33983,Shot Chart Detail,21500440,151,202332,Cole Aldrich,1610612746,LA Clippers,2,8,43,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,2,1,0,20151225,LAL,LAC,33983
33984,Shot Chart Detail,21500452,95,202332,Cole Aldrich,1610612746,LA Clippers,1,0,5,Made Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1,21,1,1,20151226,UTA,LAC,33984
