,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
140334,Shot Chart Detail,21500011,47,201584,Courtney Lee,1610612763,Memphis Grizzlies,1,6,7,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,215,-11,1,0,20151028,MEM,CLE
140335,Shot Chart Detail,21500011,191,201584,Courtney Lee,1610612763,Memphis Grizzlies,2,6,7,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-215,131,1,1,20151028,MEM,CLE
140336,Shot Chart Detail,21500011,210,201584,Courtney Lee,1610612763,Memphis Grizzlies,2,2,57,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,151,144,1,0,20151028,MEM,CLE
140337,Shot Chart Detail,21500011,228,201584,Courtney Lee,1610612763,Memphis Grizzlies,2,1,23,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,209,134,1,0,20151028,MEM,CLE
140338,Shot Chart Detail,21500011,267,201584,Courtney Lee,1610612763,Memphis Grizzlies,3,7,50,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,51,195,1,1,20151028,MEM,CLE
140339,Shot Chart Detail,21500011,288,201584,Courtney Lee,1610612763,Memphis Grizzlies,3,5,11,Missed Shot,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-138,-11,1,0,20151028,MEM,CLE
140340,Shot Chart Detail,21500011,361,201584,Courtney Lee,1610612763,Memphis Grizzlies,4,11,12,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,-10,1,0,20151028,MEM,CLE
140341,Shot Chart Detail,21500011,397,201584,Courtney Lee,1610612763,Memphis Grizzlies,4,8,42,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,41,1,0,20151028,MEM,CLE
140342,Shot Chart Detail,21500011,410,201584,Courtney Lee,1610612763,Memphis Grizzlies,4,7,51,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,19,-1,1,0,20151028,MEM,CLE
140343,Shot Chart Detail,21500018,5,201584,Courtney Lee,1610612763,Memphis Grizzlies,1,11,27,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-73,188,1,1,20151029,IND,MEM
140344,Shot Chart Detail,21500018,10,201584,Courtney Lee,1610612763,Memphis Grizzlies,1,10,41,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-147,120,1,1,20151029,IND,MEM
140345,Shot Chart Detail,21500018,41,201584,Courtney Lee,1610612763,Memphis Grizzlies,1,8,1,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,51,95,1,1,20151029,IND,MEM
