,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
107630,Shot Chart Detail,21500015,9,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,10,37,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-1,1,1,20151028,POR,NOP
107631,Shot Chart Detail,21500015,90,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,4,29,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-174,13,1,1,20151028,POR,NOP
107632,Shot Chart Detail,21500015,93,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,4,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,133,203,1,0,20151028,POR,NOP
107633,Shot Chart Detail,21500015,96,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,3,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,132,223,1,0,20151028,POR,NOP
107634,Shot Chart Detail,21500015,117,203081,Damian Lillard,1610612757,Portland Trail Blazers,1,3,25,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-9,62,1,1,20151028,POR,NOP
107635,Shot Chart Detail,21500015,247,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,5,11,Made Shot,Jump Bank Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-30,21,1,1,20151028,POR,NOP
107636,Shot Chart Detail,21500015,262,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,3,32,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,-6,1,0,20151028,POR,NOP
107637,Shot Chart Detail,21500015,276,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,2,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,-1,1,1,20151028,POR,NOP
107638,Shot Chart Detail,21500015,279,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,1,57,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-245,23,1,0,20151028,POR,NOP
107639,Shot Chart Detail,21500015,285,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,1,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-192,213,1,1,20151028,POR,NOP
107640,Shot Chart Detail,21500015,310,203081,Damian Lillard,1610612757,Portland Trail Blazers,2,0,7,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,POR,NOP
107641,Shot Chart Detail,21500015,331,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,10,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-91,244,1,0,20151028,POR,NOP
107642,Shot Chart Detail,21500015,359,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,6,57,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,2,1,1,20151028,POR,NOP
107643,Shot Chart Detail,21500015,382,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,4,19,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,145,120,1,0,20151028,POR,NOP
107644,Shot Chart Detail,21500015,402,203081,Damian Lillard,1610612757,Portland Trail Blazers,3,2,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,168,200,1,0,20151028,POR,NOP
107645,Shot Chart Detail,21500015,465,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,7,50,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-171,188,1,0,20151028,POR,NOP
107646,Shot Chart Detail,21500015,470,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,6,36,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-122,116,1,0,20151028,POR,NOP
107647,Shot Chart Detail,21500015,493,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,5,13,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-107,178,1,0,20151028,POR,NOP
107648,Shot Chart Detail,21500015,500,203081,Damian Lillard,1610612757,Portland Trail Blazers,4,4,3,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-135,80,1,0,20151028,POR,NOP
