,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
11450,Shot Chart Detail,21500010,6,201568,Danilo Gallinari,1610612743,Denver Nuggets,1,11,17,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-214,18,1,0,20151028,HOU,DEN
11451,Shot Chart Detail,21500010,22,201568,Danilo Gallinari,1610612743,Denver Nuggets,1,9,32,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,HOU,DEN
11452,Shot Chart Detail,21500010,29,201568,Danilo Gallinari,1610612743,Denver Nuggets,1,8,59,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,22,37,223,1,0,20151028,HOU,DEN
11453,Shot Chart Detail,21500010,113,201568,Danilo Gallinari,1610612743,Denver Nuggets,1,2,18,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,13,1,0,20151028,HOU,DEN
11454,Shot Chart Detail,21500010,125,201568,Danilo Gallinari,1610612743,Denver Nuggets,1,1,19,Missed Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,22,31,1,0,20151028,HOU,DEN
11455,Shot Chart Detail,21500010,206,201568,Danilo Gallinari,1610612743,Denver Nuggets,2,5,0,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-115,116,1,0,20151028,HOU,DEN
11456,Shot Chart Detail,21500010,244,201568,Danilo Gallinari,1610612743,Denver Nuggets,2,1,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,186,110,1,1,20151028,HOU,DEN
11457,Shot Chart Detail,21500010,254,201568,Danilo Gallinari,1610612743,Denver Nuggets,2,0,24,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,26,1,1,20151028,HOU,DEN
11458,Shot Chart Detail,21500010,269,201568,Danilo Gallinari,1610612743,Denver Nuggets,3,10,53,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,HOU,DEN
11459,Shot Chart Detail,21500010,281,201568,Danilo Gallinari,1610612743,Denver Nuggets,3,9,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-32,257,1,0,20151028,HOU,DEN
11460,Shot Chart Detail,21500010,311,201568,Danilo Gallinari,1610612743,Denver Nuggets,3,6,25,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,21,176,124,1,0,20151028,HOU,DEN
11461,Shot Chart Detail,21500010,313,201568,Danilo Gallinari,1610612743,Denver Nuggets,3,6,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,192,146,1,0,20151028,HOU,DEN
11462,Shot Chart Detail,21500010,361,201568,Danilo Gallinari,1610612743,Denver Nuggets,3,2,46,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,HOU,DEN
11463,Shot Chart Detail,21500010,378,201568,Danilo Gallinari,1610612743,Denver Nuggets,3,1,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-186,178,1,1,20151028,HOU,DEN
11464,Shot Chart Detail,21500010,515,201568,Danilo Gallinari,1610612743,Denver Nuggets,4,2,35,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,12,262,1,1,20151028,HOU,DEN
11465,Shot Chart Detail,21500029,14,201568,Danilo Gallinari,1610612743,Denver Nuggets,1,10,10,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,16,1,1,20151030,DEN,MIN
11466,Shot Chart Detail,21500029,30,201568,Danilo Gallinari,1610612743,Denver Nuggets,1,7,48,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,DEN,MIN
11467,Shot Chart Detail,21500029,76,201568,Danilo Gallinari,1610612743,Denver Nuggets,1,4,18,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-112,228,1,0,20151030,DEN,MIN
