,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
189275,Shot Chart Detail,21500013,14,201980,Danny Green,1610612759,San Antonio Spurs,1,10,48,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,6,51,1,1,20151028,OKC,SAS,189275
189276,Shot Chart Detail,21500013,188,201980,Danny Green,1610612759,San Antonio Spurs,2,6,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-45,237,1,0,20151028,OKC,SAS,189276
189277,Shot Chart Detail,21500013,205,201980,Danny Green,1610612759,San Antonio Spurs,2,4,52,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-137,75,1,0,20151028,OKC,SAS,189277
189278,Shot Chart Detail,21500013,235,201980,Danny Green,1610612759,San Antonio Spurs,2,1,30,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,66,52,1,0,20151028,OKC,SAS,189278
189279,Shot Chart Detail,21500013,297,201980,Danny Green,1610612759,San Antonio Spurs,3,8,5,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-150,200,1,0,20151028,OKC,SAS,189279
189280,Shot Chart Detail,21500013,445,201980,Danny Green,1610612759,San Antonio Spurs,4,7,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,55,244,1,0,20151028,OKC,SAS,189280
189281,Shot Chart Detail,21500013,503,201980,Danny Green,1610612759,San Antonio Spurs,4,3,8,Made Shot,Driving Bank shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-83,41,1,1,20151028,OKC,SAS,189281
189282,Shot Chart Detail,21500013,535,201980,Danny Green,1610612759,San Antonio Spurs,4,0,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,6,242,1,0,20151028,OKC,SAS,189282
189284,Shot Chart Detail,21500028,17,201980,Danny Green,1610612759,San Antonio Spurs,1,9,19,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-196,169,1,1,20151030,SAS,BKN,189284
189285,Shot Chart Detail,21500028,124,201980,Danny Green,1610612759,San Antonio Spurs,2,9,53,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-194,188,1,0,20151030,SAS,BKN,189285
189286,Shot Chart Detail,21500028,262,201980,Danny Green,1610612759,San Antonio Spurs,3,8,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,182,169,1,1,20151030,SAS,BKN,189286
189287,Shot Chart Detail,21500028,273,201980,Danny Green,1610612759,San Antonio Spurs,3,6,30,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,7,1,1,20151030,SAS,BKN,189287
189288,Shot Chart Detail,21500028,347,201980,Danny Green,1610612759,San Antonio Spurs,4,11,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-65,242,1,0,20151030,SAS,BKN,189288
189289,Shot Chart Detail,21500028,370,201980,Danny Green,1610612759,San Antonio Spurs,4,9,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,168,183,1,0,20151030,SAS,BKN,189289
189290,Shot Chart Detail,21500040,30,201980,Danny Green,1610612759,San Antonio Spurs,1,7,56,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,-6,1,0,20151101,BOS,SAS,189290
189291,Shot Chart Detail,21500040,53,201980,Danny Green,1610612759,San Antonio Spurs,1,5,33,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,31,1,0,20151101,BOS,SAS,189291
