,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
25509,Shot Chart Detail,21500010,132,201589,Darrell Arthur,1610612743,Denver Nuggets,1,0,5,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,0,1,0,20151028,HOU,DEN
25510,Shot Chart Detail,21500010,155,201589,Darrell Arthur,1610612743,Denver Nuggets,2,9,36,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,-1,1,0,20151028,HOU,DEN
25511,Shot Chart Detail,21500010,161,201589,Darrell Arthur,1610612743,Denver Nuggets,2,9,0,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,16,1,1,20151028,HOU,DEN
25512,Shot Chart Detail,21500010,167,201589,Darrell Arthur,1610612743,Denver Nuggets,2,8,29,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,2,1,1,20151028,HOU,DEN
25513,Shot Chart Detail,21500010,398,201589,Darrell Arthur,1610612743,Denver Nuggets,4,11,37,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,9,18,1,0,20151028,HOU,DEN
25514,Shot Chart Detail,21500029,141,201589,Darrell Arthur,1610612743,Denver Nuggets,2,10,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-194,193,1,1,20151030,DEN,MIN
25515,Shot Chart Detail,21500029,264,201589,Darrell Arthur,1610612743,Denver Nuggets,2,2,12,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,179,67,1,0,20151030,DEN,MIN
25516,Shot Chart Detail,21500029,422,201589,Darrell Arthur,1610612743,Denver Nuggets,3,3,9,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,104,129,1,0,20151030,DEN,MIN
25517,Shot Chart Detail,21500029,445,201589,Darrell Arthur,1610612743,Denver Nuggets,3,0,48,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-176,-1,1,0,20151030,DEN,MIN
25518,Shot Chart Detail,21500029,468,201589,Darrell Arthur,1610612743,Denver Nuggets,4,11,23,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-237,16,1,0,20151030,DEN,MIN
