,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
67262,Shot Chart Detail,21500205,121,1626199,Darrun Hilliard,1610612765,Detroit Pistons,2,11,14,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-160,-11,1,1,20151123,MIL,DET,67262
67263,Shot Chart Detail,21500205,164,1626199,Darrun Hilliard,1610612765,Detroit Pistons,2,7,32,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-171,21,1,0,20151123,MIL,DET,67263
67264,Shot Chart Detail,21500205,413,1626199,Darrun Hilliard,1610612765,Detroit Pistons,4,10,53,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-153,129,1,0,20151123,MIL,DET,67264
67265,Shot Chart Detail,21500205,416,1626199,Darrun Hilliard,1610612765,Detroit Pistons,4,10,38,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,38,70,1,0,20151123,MIL,DET,67265
67266,Shot Chart Detail,21500205,427,1626199,Darrun Hilliard,1610612765,Detroit Pistons,4,9,21,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-246,-5,1,0,20151123,MIL,DET,67266
67267,Shot Chart Detail,21500205,464,1626199,Darrun Hilliard,1610612765,Detroit Pistons,4,7,15,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,76,43,1,0,20151123,MIL,DET,67267
67268,Shot Chart Detail,21500205,461,1626199,Darrun Hilliard,1610612765,Detroit Pistons,4,7,9,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-246,-1,1,0,20151123,MIL,DET,67268
67269,Shot Chart Detail,21500218,456,1626199,Darrun Hilliard,1610612765,Detroit Pistons,4,2,23,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-178,124,1,0,20151125,DET,MIA,67269
67270,Shot Chart Detail,21500218,462,1626199,Darrun Hilliard,1610612765,Detroit Pistons,4,1,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-205,169,1,1,20151125,DET,MIA,67270
67271,Shot Chart Detail,21500218,464,1626199,Darrun Hilliard,1610612765,Detroit Pistons,4,1,6,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-107,141,1,1,20151125,DET,MIA,67271
67272,Shot Chart Detail,21500301,506,1626199,Darrun Hilliard,1610612765,Detroit Pistons,4,4,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-201,164,1,0,20151206,DET,LAL,67272
67273,Shot Chart Detail,21500301,515,1626199,Darrun Hilliard,1610612765,Detroit Pistons,4,4,23,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,7,1,0,20151206,DET,LAL,67273
67274,Shot Chart Detail,21500301,518,1626199,Darrun Hilliard,1610612765,Detroit Pistons,4,3,50,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-156,31,1,0,20151206,DET,LAL,67274
67275,Shot Chart Detail,21500301,524,1626199,Darrun Hilliard,1610612765,Detroit Pistons,4,3,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-171,198,1,1,20151206,DET,LAL,67275
67276,Shot Chart Detail,21500301,526,1626199,Darrun Hilliard,1610612765,Detroit Pistons,4,2,39,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-37,257,1,0,20151206,DET,LAL,67276
67277,Shot Chart Detail,21500304,567,1626199,Darrun Hilliard,1610612765,Detroit Pistons,4,3,25,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,14,131,1,0,20151207,CHA,DET,67277
67278,Shot Chart Detail,21500304,571,1626199,Darrun Hilliard,1610612765,Detroit Pistons,4,2,56,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,8,1,0,20151207,CHA,DET,67278
67279,Shot Chart Detail,21500322,133,1626199,Darrun Hilliard,1610612765,Detroit Pistons,2,6,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-83,262,1,1,20151209,DET,MEM,67279
67280,Shot Chart Detail,21500335,145,1626199,Darrun Hilliard,1610612765,Detroit Pistons,2,8,49,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,169,47,1,0,20151211,PHI,DET,67280
67281,Shot Chart Detail,21500335,177,1626199,Darrun Hilliard,1610612765,Detroit Pistons,2,6,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,22,-115,188,1,0,20151211,PHI,DET,67281
67282,Shot Chart Detail,21500335,500,1626199,Darrun Hilliard,1610612765,Detroit Pistons,4,2,37,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,21,1,0,20151211,PHI,DET,67282
67283,Shot Chart Detail,21500335,513,1626199,Darrun Hilliard,1610612765,Detroit Pistons,4,1,24,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-127,110,1,1,20151211,PHI,DET,67283
67284,Shot Chart Detail,21500335,515,1626199,Darrun Hilliard,1610612765,Detroit Pistons,4,1,0,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-43,7,1,0,20151211,PHI,DET,67284
67285,Shot Chart Detail,21500346,468,1626199,Darrun Hilliard,1610612765,Detroit Pistons,4,2,22,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,11,-65,95,1,0,20151212,DET,IND,67285
67286,Shot Chart Detail,21500346,479,1626199,Darrun Hilliard,1610612765,Detroit Pistons,4,1,16,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,225,120,1,0,20151212,DET,IND,67286
67287,Shot Chart Detail,21500346,486,1626199,Darrun Hilliard,1610612765,Detroit Pistons,4,0,29,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-1,1,1,20151212,DET,IND,67287
67288,Shot Chart Detail,21500429,505,1626199,Darrun Hilliard,1610612765,Detroit Pistons,4,7,40,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-235,52,1,0,20151223,ATL,DET,67288
67289,Shot Chart Detail,21500469,475,1626199,Darrun Hilliard,1610612765,Detroit Pistons,4,1,28,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,73,170,1,1,20151229,NYK,DET,67289
67290,Shot Chart Detail,21500486,488,1626199,Darrun Hilliard,1610612765,Detroit Pistons,4,2,26,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-202,75,1,0,20151231,DET,MIN,67290
67291,Shot Chart Detail,21500514,446,1626199,Darrun Hilliard,1610612765,Detroit Pistons,4,2,5,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,9,46,1,0,20160104,DET,ORL,67291
67292,Shot Chart Detail,21500514,448,1626199,Darrun Hilliard,1610612765,Detroit Pistons,4,1,58,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,130,110,1,0,20160104,DET,ORL,67292
67293,Shot Chart Detail,21500553,122,1626199,Darrun Hilliard,1610612765,Detroit Pistons,2,10,45,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-133,228,1,0,20160109,DET,BKN,67293
