,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
98192,Shot Chart Detail,21500005,10,101135,David Lee,1610612738,Boston Celtics,1,11,10,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,9,46,1,0,20151028,BOS,PHI
98193,Shot Chart Detail,21500005,31,101135,David Lee,1610612738,Boston Celtics,1,9,6,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,3,1,0,20151028,BOS,PHI
98194,Shot Chart Detail,21500005,57,101135,David Lee,1610612738,Boston Celtics,1,6,6,Made Shot,Turnaround Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-27,23,1,1,20151028,BOS,PHI
98195,Shot Chart Detail,21500005,69,101135,David Lee,1610612738,Boston Celtics,1,4,55,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-100,95,1,0,20151028,BOS,PHI
98196,Shot Chart Detail,21500005,75,101135,David Lee,1610612738,Boston Celtics,1,3,59,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,7,1,1,20151028,BOS,PHI
98197,Shot Chart Detail,21500005,88,101135,David Lee,1610612738,Boston Celtics,1,2,40,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,-1,1,0,20151028,BOS,PHI
98198,Shot Chart Detail,21500005,231,101135,David Lee,1610612738,Boston Celtics,2,3,46,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,37,3,1,0,20151028,BOS,PHI
98199,Shot Chart Detail,21500005,524,101135,David Lee,1610612738,Boston Celtics,4,3,59,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-17,16,1,0,20151028,BOS,PHI
98200,Shot Chart Detail,21500024,12,101135,David Lee,1610612738,Boston Celtics,1,10,54,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-56,46,1,0,20151030,BOS,TOR
98201,Shot Chart Detail,21500024,30,101135,David Lee,1610612738,Boston Celtics,1,9,30,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,19,-5,1,0,20151030,BOS,TOR
