,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
9489,Shot Chart Detail,21500016,17,201599,DeAndre Jordan,1610612746,LA Clippers,1,9,45,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,SAC,LAC,9489
9490,Shot Chart Detail,21500016,73,201599,DeAndre Jordan,1610612746,LA Clippers,1,4,37,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-3,10,1,1,20151028,SAC,LAC,9490
9491,Shot Chart Detail,21500016,217,201599,DeAndre Jordan,1610612746,LA Clippers,2,5,49,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,26,1,1,20151028,SAC,LAC,9491
9492,Shot Chart Detail,21500016,323,201599,DeAndre Jordan,1610612746,LA Clippers,3,9,23,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,6,47,1,0,20151028,SAC,LAC,9492
9493,Shot Chart Detail,21500016,328,201599,DeAndre Jordan,1610612746,LA Clippers,3,8,52,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-50,16,1,0,20151028,SAC,LAC,9493
9494,Shot Chart Detail,21500016,560,201599,DeAndre Jordan,1610612746,LA Clippers,4,1,15,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,-1,1,1,20151028,SAC,LAC,9494
9495,Shot Chart Detail,21500020,31,201599,DeAndre Jordan,1610612746,LA Clippers,1,9,10,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151029,LAC,DAL,9495
9496,Shot Chart Detail,21500020,246,201599,DeAndre Jordan,1610612746,LA Clippers,2,2,24,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151029,LAC,DAL,9496
9497,Shot Chart Detail,21500038,22,201599,DeAndre Jordan,1610612746,LA Clippers,1,9,56,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,8,1,1,20151031,LAC,SAC,9497
9498,Shot Chart Detail,21500038,36,201599,DeAndre Jordan,1610612746,LA Clippers,1,8,54,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151031,LAC,SAC,9498
9499,Shot Chart Detail,21500038,71,201599,DeAndre Jordan,1610612746,LA Clippers,1,5,41,Missed Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,0,20151031,LAC,SAC,9499
9500,Shot Chart Detail,21500038,262,201599,DeAndre Jordan,1610612746,LA Clippers,2,4,6,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151031,LAC,SAC,9500
9501,Shot Chart Detail,21500038,284,201599,DeAndre Jordan,1610612746,LA Clippers,2,2,31,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151031,LAC,SAC,9501
9502,Shot Chart Detail,21500038,428,201599,DeAndre Jordan,1610612746,LA Clippers,3,5,4,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151031,LAC,SAC,9502
9503,Shot Chart Detail,21500052,39,201599,DeAndre Jordan,1610612746,LA Clippers,1,7,47,Made Shot,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,81,8,1,1,20151102,LAC,PHX,9503
9504,Shot Chart Detail,21500052,171,201599,DeAndre Jordan,1610612746,LA Clippers,2,7,20,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-14,23,1,1,20151102,LAC,PHX,9504
9505,Shot Chart Detail,21500052,191,201599,DeAndre Jordan,1610612746,LA Clippers,2,6,20,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151102,LAC,PHX,9505
9506,Shot Chart Detail,21500069,2,201599,DeAndre Jordan,1610612746,LA Clippers,1,11,43,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,8,1,1,20151104,GSW,LAC,9506
9507,Shot Chart Detail,21500069,33,201599,DeAndre Jordan,1610612746,LA Clippers,1,8,38,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151104,GSW,LAC,9507
9508,Shot Chart Detail,21500069,44,201599,DeAndre Jordan,1610612746,LA Clippers,1,7,30,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,38,41,1,1,20151104,GSW,LAC,9508
9509,Shot Chart Detail,21500069,72,201599,DeAndre Jordan,1610612746,LA Clippers,1,4,51,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151104,GSW,LAC,9509
9510,Shot Chart Detail,21500069,360,201599,DeAndre Jordan,1610612746,LA Clippers,3,3,55,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151104,GSW,LAC,9510
9511,Shot Chart Detail,21500069,509,201599,DeAndre Jordan,1610612746,LA Clippers,4,2,14,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,13,1,0,20151104,GSW,LAC,9511
9512,Shot Chart Detail,21500069,525,201599,DeAndre Jordan,1610612746,LA Clippers,4,0,53,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,11,1,0,20151104,GSW,LAC,9512
9513,Shot Chart Detail,21500093,51,201599,DeAndre Jordan,1610612746,LA Clippers,1,7,3,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151107,LAC,HOU,9513
9514,Shot Chart Detail,21500093,74,201599,DeAndre Jordan,1610612746,LA Clippers,1,4,51,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,33,2,1,1,20151107,LAC,HOU,9514
9515,Shot Chart Detail,21500093,235,201599,DeAndre Jordan,1610612746,LA Clippers,2,4,3,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-22,26,1,0,20151107,LAC,HOU,9515
9516,Shot Chart Detail,21500093,248,201599,DeAndre Jordan,1610612746,LA Clippers,2,2,50,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,22,36,1,0,20151107,LAC,HOU,9516
9517,Shot Chart Detail,21500093,253,201599,DeAndre Jordan,1610612746,LA Clippers,2,2,36,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,18,1,1,20151107,LAC,HOU,9517
9518,Shot Chart Detail,21500093,324,201599,DeAndre Jordan,1610612746,LA Clippers,3,5,45,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151107,LAC,HOU,9518
9519,Shot Chart Detail,21500105,19,201599,DeAndre Jordan,1610612746,LA Clippers,1,9,40,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,0,1,1,20151109,LAC,MEM,9519
9520,Shot Chart Detail,21500105,31,201599,DeAndre Jordan,1610612746,LA Clippers,1,8,29,Made Shot,No Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,3,1,1,20151109,LAC,MEM,9520
9521,Shot Chart Detail,21500105,170,201599,DeAndre Jordan,1610612746,LA Clippers,2,7,39,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151109,LAC,MEM,9521
9522,Shot Chart Detail,21500105,204,201599,DeAndre Jordan,1610612746,LA Clippers,2,4,20,Made Shot,No Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151109,LAC,MEM,9522
