,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
73445,Shot Chart Detail,21500009,17,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,9,36,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-84,70,1,0,20151028,TOR,IND
73446,Shot Chart Detail,21500009,69,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,6,2,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,21,1,0,20151028,TOR,IND
73447,Shot Chart Detail,21500009,81,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,5,8,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,86,164,1,0,20151028,TOR,IND
73448,Shot Chart Detail,21500009,140,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,0,37,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,2,56,1,0,20151028,TOR,IND
73449,Shot Chart Detail,21500009,161,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,11,1,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,7,1,0,20151028,TOR,IND
73450,Shot Chart Detail,21500009,167,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,10,12,Missed Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-11,72,1,0,20151028,TOR,IND
73451,Shot Chart Detail,21500009,249,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,3,4,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,25,46,1,1,20151028,TOR,IND
73452,Shot Chart Detail,21500009,295,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,10,53,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-114,43,1,1,20151028,TOR,IND
73453,Shot Chart Detail,21500009,303,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,10,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-178,61,1,1,20151028,TOR,IND
73454,Shot Chart Detail,21500009,310,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,8,52,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,8,1,1,20151028,TOR,IND
73455,Shot Chart Detail,21500009,316,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,7,53,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,74,232,1,0,20151028,TOR,IND
73456,Shot Chart Detail,21500009,327,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,7,17,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,8,37,1,0,20151028,TOR,IND
73457,Shot Chart Detail,21500009,488,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,6,57,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-197,47,1,0,20151028,TOR,IND
73458,Shot Chart Detail,21500009,498,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,6,33,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-22,21,1,1,20151028,TOR,IND
73459,Shot Chart Detail,21500009,542,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,3,2,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,35,139,1,0,20151028,TOR,IND
73460,Shot Chart Detail,21500009,559,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,1,29,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-2,41,1,1,20151028,TOR,IND
73461,Shot Chart Detail,21500009,577,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,0,50,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,107,116,1,1,20151028,TOR,IND
73462,Shot Chart Detail,21500024,4,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,11,31,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-186,70,1,0,20151030,BOS,TOR
73463,Shot Chart Detail,21500024,18,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,10,11,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,125,-1,1,0,20151030,BOS,TOR
73464,Shot Chart Detail,21500024,20,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,9,58,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,2,1,0,20151030,BOS,TOR
73465,Shot Chart Detail,21500024,56,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,7,9,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,2,1,1,20151030,BOS,TOR
73466,Shot Chart Detail,21500024,75,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,5,24,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,241,21,1,0,20151030,BOS,TOR
73467,Shot Chart Detail,21500024,252,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,5,34,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-133,36,1,0,20151030,BOS,TOR
73468,Shot Chart Detail,21500024,295,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,3,14,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,BOS,TOR
73469,Shot Chart Detail,21500024,321,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,1,25,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-92,164,1,0,20151030,BOS,TOR
73470,Shot Chart Detail,21500024,390,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,7,34,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,143,7,1,1,20151030,BOS,TOR
73471,Shot Chart Detail,21500024,394,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,7,0,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,2,1,0,20151030,BOS,TOR
73472,Shot Chart Detail,21500024,418,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,5,38,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,48,70,1,0,20151030,BOS,TOR
73473,Shot Chart Detail,21500024,437,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,4,26,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,236,31,1,0,20151030,BOS,TOR
73474,Shot Chart Detail,21500024,553,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,5,14,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-112,36,1,1,20151030,BOS,TOR
73475,Shot Chart Detail,21500024,558,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,4,5,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,17,-179,7,1,1,20151030,BOS,TOR
73476,Shot Chart Detail,21500024,577,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,3,10,Missed Shot,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-42,105,1,0,20151030,BOS,TOR
73477,Shot Chart Detail,21500042,37,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,7,13,Made Shot,Turnaround Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,43,31,1,1,20151101,TOR,MIL
73478,Shot Chart Detail,21500042,63,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,5,33,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,25,92,1,1,20151101,TOR,MIL
73479,Shot Chart Detail,21500042,135,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,11,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,-1,1,1,20151101,TOR,MIL
73480,Shot Chart Detail,21500042,140,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,10,4,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-19,56,1,1,20151101,TOR,MIL
73481,Shot Chart Detail,21500042,160,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,7,56,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,112,51,1,1,20151101,TOR,MIL
73482,Shot Chart Detail,21500042,166,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,6,50,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,56,18,1,0,20151101,TOR,MIL
73483,Shot Chart Detail,21500042,197,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,4,36,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-245,2,1,0,20151101,TOR,MIL
73484,Shot Chart Detail,21500042,224,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,1,20,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-42,198,1,0,20151101,TOR,MIL
73485,Shot Chart Detail,21500042,233,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,0,1,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,94,36,1,1,20151101,TOR,MIL
73486,Shot Chart Detail,21500042,246,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,11,32,Missed Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,13,1,0,20151101,TOR,MIL
73487,Shot Chart Detail,21500042,277,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,9,13,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-27,7,1,1,20151101,TOR,MIL
73488,Shot Chart Detail,21500042,399,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,10,10,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,146,11,1,0,20151101,TOR,MIL
73489,Shot Chart Detail,21500042,446,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,5,18,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-17,43,1,0,20151101,TOR,MIL
73490,Shot Chart Detail,21500057,2,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,11,43,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,7,1,1,20151103,DAL,TOR
73491,Shot Chart Detail,21500057,18,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,9,44,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-130,18,1,1,20151103,DAL,TOR
73492,Shot Chart Detail,21500057,159,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,10,22,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,-17,198,1,0,20151103,DAL,TOR
73493,Shot Chart Detail,21500057,299,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,11,7,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,156,21,1,0,20151103,DAL,TOR
73494,Shot Chart Detail,21500057,329,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,8,58,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-145,26,1,1,20151103,DAL,TOR
73495,Shot Chart Detail,21500057,331,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,8,35,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151103,DAL,TOR
73496,Shot Chart Detail,21500057,347,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,5,43,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-138,18,1,0,20151103,DAL,TOR
73497,Shot Chart Detail,21500057,375,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,3,43,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,133,16,1,0,20151103,DAL,TOR
73498,Shot Chart Detail,21500057,412,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,0,0,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-165,115,1,0,20151103,DAL,TOR
73499,Shot Chart Detail,21500057,454,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,9,23,Made Shot,Turnaround Bank shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-94,36,1,1,20151103,DAL,TOR
73500,Shot Chart Detail,21500057,487,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,6,56,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-109,43,1,0,20151103,DAL,TOR
73501,Shot Chart Detail,21500057,506,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,5,17,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,7,1,1,20151103,DAL,TOR
73502,Shot Chart Detail,21500057,553,201942,DeMar DeRozan,1610612761,Toronto Raptors,4,2,28,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-148,-5,1,0,20151103,DAL,TOR
73503,Shot Chart Detail,21500066,12,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,10,34,Missed Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,58,36,1,0,20151104,OKC,TOR
73504,Shot Chart Detail,21500066,40,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,7,39,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-12,21,1,0,20151104,OKC,TOR
73505,Shot Chart Detail,21500066,63,201942,DeMar DeRozan,1610612761,Toronto Raptors,1,5,9,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-107,51,1,0,20151104,OKC,TOR
73506,Shot Chart Detail,21500066,154,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,9,59,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,9,68,65,1,0,20151104,OKC,TOR
73507,Shot Chart Detail,21500066,204,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,5,49,Made Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-11,36,1,1,20151104,OKC,TOR
73508,Shot Chart Detail,21500066,223,201942,DeMar DeRozan,1610612761,Toronto Raptors,2,4,11,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,32,8,1,0,20151104,OKC,TOR
73509,Shot Chart Detail,21500066,283,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,10,22,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,27,2,1,0,20151104,OKC,TOR
73510,Shot Chart Detail,21500066,304,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,8,35,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,153,21,1,1,20151104,OKC,TOR
73511,Shot Chart Detail,21500066,320,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,6,46,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,137,7,1,1,20151104,OKC,TOR
73512,Shot Chart Detail,21500066,326,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,6,6,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-153,16,1,0,20151104,OKC,TOR
73513,Shot Chart Detail,21500066,350,201942,DeMar DeRozan,1610612761,Toronto Raptors,3,3,59,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,-43,75,1,1,20151104,OKC,TOR
