,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
144220,Shot Chart Detail,21500042,514,1626153,Delon Wright,1610612761,Toronto Raptors,4,0,35,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,-15,1,0,20151101,TOR,MIL
144221,Shot Chart Detail,21500096,528,1626153,Delon Wright,1610612761,Toronto Raptors,4,0,49,Missed Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-37,21,1,0,20151108,MIA,TOR
144222,Shot Chart Detail,21500115,494,1626153,Delon Wright,1610612761,Toronto Raptors,4,2,16,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-127,169,1,0,20151111,PHI,TOR
144223,Shot Chart Detail,21500115,527,1626153,Delon Wright,1610612761,Toronto Raptors,4,0,26,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,1,56,1,0,20151111,PHI,TOR
144224,Shot Chart Detail,21500421,196,1626153,Delon Wright,1610612761,Toronto Raptors,2,5,56,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,7,1,0,20151222,TOR,DAL
144225,Shot Chart Detail,21500421,218,1626153,Delon Wright,1610612761,Toronto Raptors,2,3,34,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-1,169,1,0,20151222,TOR,DAL
144226,Shot Chart Detail,21500511,506,1626153,Delon Wright,1610612761,Toronto Raptors,4,1,39,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-50,61,1,1,20160104,CLE,TOR
144227,Shot Chart Detail,21500511,511,1626153,Delon Wright,1610612761,Toronto Raptors,4,0,44,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-147,129,1,0,20160104,CLE,TOR
144228,Shot Chart Detail,21500649,521,1626153,Delon Wright,1610612761,Toronto Raptors,4,0,21,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,-1,1,1,20160122,TOR,MIA
144229,Shot Chart Detail,21500680,577,1626153,Delon Wright,1610612761,Toronto Raptors,4,0,23,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,7,1,0,20160126,TOR,WAS
144230,Shot Chart Detail,21500727,494,1626153,Delon Wright,1610612761,Toronto Raptors,4,4,56,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,150,210,1,1,20160201,DEN,TOR
144231,Shot Chart Detail,21500727,536,1626153,Delon Wright,1610612761,Toronto Raptors,4,0,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-91,237,1,1,20160201,DEN,TOR
144232,Shot Chart Detail,21500797,294,1626153,Delon Wright,1610612761,Toronto Raptors,2,0,31,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,16,1,0,20160210,MIN,TOR
144233,Shot Chart Detail,21500835,491,1626153,Delon Wright,1610612761,Toronto Raptors,4,2,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,115,132,1,1,20160222,NYK,TOR
144234,Shot Chart Detail,21500835,506,1626153,Delon Wright,1610612761,Toronto Raptors,4,0,37,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,13,1,0,20160222,NYK,TOR
