,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
28018,Shot Chart Detail,21500001,81,203471,Dennis Schroder,1610612737,Atlanta Hawks,1,4,13,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,-1,1,1,20151027,ATL,DET,28018
28019,Shot Chart Detail,21500001,92,203471,Dennis Schroder,1610612737,Atlanta Hawks,1,2,31,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,2,1,0,20151027,ATL,DET,28019
28020,Shot Chart Detail,21500001,105,203471,Dennis Schroder,1610612737,Atlanta Hawks,1,1,47,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,-1,1,1,20151027,ATL,DET,28020
28021,Shot Chart Detail,21500001,108,203471,Dennis Schroder,1610612737,Atlanta Hawks,1,1,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,2,1,1,20151027,ATL,DET,28021
28022,Shot Chart Detail,21500001,112,203471,Dennis Schroder,1610612737,Atlanta Hawks,1,0,2,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,-6,1,0,20151027,ATL,DET,28022
28023,Shot Chart Detail,21500001,126,203471,Dennis Schroder,1610612737,Atlanta Hawks,2,11,12,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,-5,1,1,20151027,ATL,DET,28023
28024,Shot Chart Detail,21500001,199,203471,Dennis Schroder,1610612737,Atlanta Hawks,2,4,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-197,164,1,0,20151027,ATL,DET,28024
28025,Shot Chart Detail,21500001,321,203471,Dennis Schroder,1610612737,Atlanta Hawks,3,3,32,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-150,195,1,1,20151027,ATL,DET,28025
28026,Shot Chart Detail,21500001,333,203471,Dennis Schroder,1610612737,Atlanta Hawks,3,2,25,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-151,200,1,0,20151027,ATL,DET,28026
28027,Shot Chart Detail,21500001,341,203471,Dennis Schroder,1610612737,Atlanta Hawks,3,1,56,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,11,1,1,20151027,ATL,DET,28027
