,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
70384,Shot Chart Detail,21500002,5,201565,Derrick Rose,1610612741,Chicago Bulls,1,11,11,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,35,11,1,0,20151027,CHI,CLE,70384
70385,Shot Chart Detail,21500002,18,201565,Derrick Rose,1610612741,Chicago Bulls,1,9,38,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,25,21,1,1,20151027,CHI,CLE,70385
70386,Shot Chart Detail,21500002,22,201565,Derrick Rose,1610612741,Chicago Bulls,1,9,7,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,13,1,0,20151027,CHI,CLE,70386
70387,Shot Chart Detail,21500002,36,201565,Derrick Rose,1610612741,Chicago Bulls,1,7,48,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,18,1,0,20151027,CHI,CLE,70387
70388,Shot Chart Detail,21500002,38,201565,Derrick Rose,1610612741,Chicago Bulls,1,7,38,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,-16,1,0,20151027,CHI,CLE,70388
70389,Shot Chart Detail,21500002,125,201565,Derrick Rose,1610612741,Chicago Bulls,1,1,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-112,183,1,0,20151027,CHI,CLE,70389
70390,Shot Chart Detail,21500002,151,201565,Derrick Rose,1610612741,Chicago Bulls,2,11,25,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-143,51,1,1,20151027,CHI,CLE,70390
70391,Shot Chart Detail,21500002,166,201565,Derrick Rose,1610612741,Chicago Bulls,2,9,54,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1,24,1,0,20151027,CHI,CLE,70391
70392,Shot Chart Detail,21500002,170,201565,Derrick Rose,1610612741,Chicago Bulls,2,9,42,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,7,1,0,20151027,CHI,CLE,70392
70393,Shot Chart Detail,21500002,233,201565,Derrick Rose,1610612741,Chicago Bulls,2,5,3,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,7,1,1,20151027,CHI,CLE,70393
