,Unnamed: 0,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
19726,19770,Shot Chart Detail,21500218,460,201202,Joel Anthony,1610612765,Detroit Pistons,4,2,17,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-2,-15,1,1,20151125,DET,MIA,19770
19727,19771,Shot Chart Detail,21500218,468,201202,Joel Anthony,1610612765,Detroit Pistons,4,0,25,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-47,21,1,0,20151125,DET,MIA,19771
19728,19772,Shot Chart Detail,21500514,460,201202,Joel Anthony,1610612765,Detroit Pistons,4,0,27,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-55,13,1,0,20160104,DET,ORL,19772
19729,19773,Shot Chart Detail,21500528,223,201202,Joel Anthony,1610612765,Detroit Pistons,2,2,35,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,2,1,0,20160106,BOS,DET,19773
19730,19774,Shot Chart Detail,21500570,284,201202,Joel Anthony,1610612765,Detroit Pistons,2,0,5,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,2,1,1,20160112,DET,SAS,19774
19731,19775,Shot Chart Detail,21500847,527,201202,Joel Anthony,1610612765,Detroit Pistons,4,1,57,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-102,2,1,0,20160224,DET,PHI,19775
19732,19776,Shot Chart Detail,21500989,506,201202,Joel Anthony,1610612765,Detroit Pistons,4,3,1,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,135,33,1,1,20160314,WAS,DET,19776
19733,19777,Shot Chart Detail,21501220,172,201202,Joel Anthony,1610612765,Detroit Pistons,2,6,3,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160413,CLE,DET,19777
19734,19778,Shot Chart Detail,21501220,424,201202,Joel Anthony,1610612765,Detroit Pistons,4,5,37,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-104,28,1,1,20160413,CLE,DET,19778
19735,19779,Shot Chart Detail,21501220,497,201202,Joel Anthony,1610612765,Detroit Pistons,5,4,43,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20160413,CLE,DET,19779
29189,29263,Shot Chart Detail,21500469,130,201943,Brandon Jennings,1610612765,Detroit Pistons,2,8,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-79,232,1,0,20151229,NYK,DET,29263
29190,29264,Shot Chart Detail,21500469,365,201943,Brandon Jennings,1610612765,Detroit Pistons,4,11,3,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-125,149,1,0,20151229,NYK,DET,29264
29191,29265,Shot Chart Detail,21500469,478,201943,Brandon Jennings,1610612765,Detroit Pistons,4,0,58,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-225,-15,1,1,20151229,NYK,DET,29265
29192,29266,Shot Chart Detail,21500469,491,201943,Brandon Jennings,1610612765,Detroit Pistons,4,0,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,2,1,1,20151229,NYK,DET,29266
29193,29267,Shot Chart Detail,21500486,114,201943,Brandon Jennings,1610612765,Detroit Pistons,1,0,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-4,262,1,0,20151231,DET,MIN,29267
29194,29268,Shot Chart Detail,21500486,137,201943,Brandon Jennings,1610612765,Detroit Pistons,2,10,47,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-1,1,0,20151231,DET,MIN,29268
29195,29269,Shot Chart Detail,21500486,149,201943,Brandon Jennings,1610612765,Detroit Pistons,2,9,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-22,262,1,1,20151231,DET,MIN,29269
29196,29270,Shot Chart Detail,21500486,184,201943,Brandon Jennings,1610612765,Detroit Pistons,2,5,19,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-1,1,1,20151231,DET,MIN,29270
29197,29271,Shot Chart Detail,21500486,187,201943,Brandon Jennings,1610612765,Detroit Pistons,2,4,53,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-68,247,1,0,20151231,DET,MIN,29271
29198,29272,Shot Chart Detail,21500486,379,201943,Brandon Jennings,1610612765,Detroit Pistons,3,0,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,41,-158,380,1,0,20151231,DET,MIN,29272
29199,29273,Shot Chart Detail,21500486,491,201943,Brandon Jennings,1610612765,Detroit Pistons,4,1,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,31,76,301,1,0,20151231,DET,MIN,29273
29200,29274,Shot Chart Detail,21500486,500,201943,Brandon Jennings,1610612765,Detroit Pistons,4,0,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-71,267,1,0,20151231,DET,MIN,29274
29201,29275,Shot Chart Detail,21500486,504,201943,Brandon Jennings,1610612765,Detroit Pistons,4,0,42,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,0,1,1,20151231,DET,MIN,29275
29202,29276,Shot Chart Detail,21500498,91,201943,Brandon Jennings,1610612765,Detroit Pistons,1,3,11,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,19,-178,75,1,1,20160102,IND,DET,29276
29203,29277,Shot Chart Detail,21500498,169,201943,Brandon Jennings,1610612765,Detroit Pistons,2,7,0,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,7,1,0,20160102,IND,DET,29277
29204,29278,Shot Chart Detail,21500498,234,201943,Brandon Jennings,1610612765,Detroit Pistons,2,0,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,225,159,1,0,20160102,IND,DET,29278
29205,29279,Shot Chart Detail,21500498,365,201943,Brandon Jennings,1610612765,Detroit Pistons,3,0,31,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,-1,1,0,20160102,IND,DET,29279
29206,29280,Shot Chart Detail,21500498,439,201943,Brandon Jennings,1610612765,Detroit Pistons,4,6,59,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,-1,1,0,20160102,IND,DET,29280
29207,29281,Shot Chart Detail,21500514,129,201943,Brandon Jennings,1610612765,Detroit Pistons,2,8,46,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,0,1,1,20160104,DET,ORL,29281
29208,29282,Shot Chart Detail,21500514,151,201943,Brandon Jennings,1610612765,Detroit Pistons,2,6,49,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,55,23,1,1,20160104,DET,ORL,29282
29209,29283,Shot Chart Detail,21500514,334,201943,Brandon Jennings,1610612765,Detroit Pistons,3,0,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-38,267,1,1,20160104,DET,ORL,29283
29210,29284,Shot Chart Detail,21500514,358,201943,Brandon Jennings,1610612765,Detroit Pistons,4,9,57,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,7,1,0,20160104,DET,ORL,29284
29211,29285,Shot Chart Detail,21500514,376,201943,Brandon Jennings,1610612765,Detroit Pistons,4,8,30,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,11,1,0,20160104,DET,ORL,29285
29212,29286,Shot Chart Detail,21500514,397,201943,Brandon Jennings,1610612765,Detroit Pistons,4,6,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-225,124,1,1,20160104,DET,ORL,29286
29213,29287,Shot Chart Detail,21500514,400,201943,Brandon Jennings,1610612765,Detroit Pistons,4,6,13,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,53,21,1,0,20160104,DET,ORL,29287
29214,29288,Shot Chart Detail,21500514,417,201943,Brandon Jennings,1610612765,Detroit Pistons,4,5,9,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-225,2,1,1,20160104,DET,ORL,29288
29215,29289,Shot Chart Detail,21500514,419,201943,Brandon Jennings,1610612765,Detroit Pistons,4,4,24,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-173,200,1,0,20160104,DET,ORL,29289
29216,29290,Shot Chart Detail,21500528,411,201943,Brandon Jennings,1610612765,Detroit Pistons,3,0,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-205,156,1,0,20160106,BOS,DET,29290
29217,29291,Shot Chart Detail,21500528,430,201943,Brandon Jennings,1610612765,Detroit Pistons,4,11,25,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-151,193,1,1,20160106,BOS,DET,29291
29218,29292,Shot Chart Detail,21500528,432,201943,Brandon Jennings,1610612765,Detroit Pistons,4,10,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,189,170,1,0,20160106,BOS,DET,29292
29219,29293,Shot Chart Detail,21500528,477,201943,Brandon Jennings,1610612765,Detroit Pistons,4,6,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,138,208,1,0,20160106,BOS,DET,29293
29220,29294,Shot Chart Detail,21500553,113,201943,Brandon Jennings,1610612765,Detroit Pistons,1,0,1,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,109,254,1,0,20160109,DET,BKN,29294
29221,29295,Shot Chart Detail,21500553,135,201943,Brandon Jennings,1610612765,Detroit Pistons,2,9,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-42,262,1,0,20160109,DET,BKN,29295
29222,29296,Shot Chart Detail,21500553,155,201943,Brandon Jennings,1610612765,Detroit Pistons,2,7,39,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-130,95,1,0,20160109,DET,BKN,29296
29223,29297,Shot Chart Detail,21500570,143,201943,Brandon Jennings,1610612765,Detroit Pistons,2,10,32,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-92,8,1,1,20160112,DET,SAS,29297
29224,29298,Shot Chart Detail,21500570,196,201943,Brandon Jennings,1610612765,Detroit Pistons,2,7,8,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-110,18,1,0,20160112,DET,SAS,29298
29225,29299,Shot Chart Detail,21500570,378,201943,Brandon Jennings,1610612765,Detroit Pistons,3,1,44,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,30,80,1,1,20160112,DET,SAS,29299
