,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
174614,Shot Chart Detail,21500013,124,203079,Dion Waiters,1610612760,Oklahoma City Thunder,1,0,28,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,-6,1,1,20151028,OKC,SAS,174614
174615,Shot Chart Detail,21500013,151,203079,Dion Waiters,1610612760,Oklahoma City Thunder,2,10,21,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,6,77,1,1,20151028,OKC,SAS,174615
174616,Shot Chart Detail,21500013,184,203079,Dion Waiters,1610612760,Oklahoma City Thunder,2,6,32,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,36,1,0,20151028,OKC,SAS,174616
174617,Shot Chart Detail,21500013,348,203079,Dion Waiters,1610612760,Oklahoma City Thunder,3,3,34,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,151,92,1,0,20151028,OKC,SAS,174617
174619,Shot Chart Detail,21500013,399,203079,Dion Waiters,1610612760,Oklahoma City Thunder,4,10,51,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,17,2,1,0,20151028,OKC,SAS,174619
174620,Shot Chart Detail,21500013,510,203079,Dion Waiters,1610612760,Oklahoma City Thunder,4,2,11,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,130,159,1,1,20151028,OKC,SAS,174620
174621,Shot Chart Detail,21500013,513,203079,Dion Waiters,1610612760,Oklahoma City Thunder,4,1,34,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,132,56,1,1,20151028,OKC,SAS,174621
174622,Shot Chart Detail,21500022,134,203079,Dion Waiters,1610612760,Oklahoma City Thunder,2,11,25,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,14,18,1,0,20151030,ORL,OKC,174622
174623,Shot Chart Detail,21500022,175,203079,Dion Waiters,1610612760,Oklahoma City Thunder,2,8,30,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-107,164,1,0,20151030,ORL,OKC,174623
174624,Shot Chart Detail,21500022,280,203079,Dion Waiters,1610612760,Oklahoma City Thunder,2,0,0,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,41,1,0,20151030,ORL,OKC,174624
174625,Shot Chart Detail,21500022,503,203079,Dion Waiters,1610612760,Oklahoma City Thunder,4,5,14,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-119,229,1,1,20151030,ORL,OKC,174625
174626,Shot Chart Detail,21500022,557,203079,Dion Waiters,1610612760,Oklahoma City Thunder,4,0,42,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,56,1,0,20151030,ORL,OKC,174626
174627,Shot Chart Detail,21500022,636,203079,Dion Waiters,1610612760,Oklahoma City Thunder,5,1,40,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,19,-92,170,1,0,20151030,ORL,OKC,174627
174628,Shot Chart Detail,21500044,110,203079,Dion Waiters,1610612760,Oklahoma City Thunder,1,2,47,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,3,1,0,20151101,OKC,DEN,174628
174629,Shot Chart Detail,21500044,120,203079,Dion Waiters,1610612760,Oklahoma City Thunder,1,2,22,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,127,144,1,0,20151101,OKC,DEN,174629
174630,Shot Chart Detail,21500044,166,203079,Dion Waiters,1610612760,Oklahoma City Thunder,2,10,25,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-120,87,1,0,20151101,OKC,DEN,174630
174631,Shot Chart Detail,21500044,173,203079,Dion Waiters,1610612760,Oklahoma City Thunder,2,9,24,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-222,16,1,0,20151101,OKC,DEN,174631
174632,Shot Chart Detail,21500044,430,203079,Dion Waiters,1610612760,Oklahoma City Thunder,3,1,16,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-168,21,1,1,20151101,OKC,DEN,174632
174633,Shot Chart Detail,21500044,457,203079,Dion Waiters,1610612760,Oklahoma City Thunder,4,10,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,23,-14,239,1,1,20151101,OKC,DEN,174633
174634,Shot Chart Detail,21500044,483,203079,Dion Waiters,1610612760,Oklahoma City Thunder,4,8,0,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-129,139,1,1,20151101,OKC,DEN,174634
174635,Shot Chart Detail,21500044,523,203079,Dion Waiters,1610612760,Oklahoma City Thunder,4,4,29,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,2,1,0,20151101,OKC,DEN,174635
174636,Shot Chart Detail,21500049,110,203079,Dion Waiters,1610612760,Oklahoma City Thunder,1,1,19,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-161,149,1,0,20151102,HOU,OKC,174636
174637,Shot Chart Detail,21500049,122,203079,Dion Waiters,1610612760,Oklahoma City Thunder,1,0,1,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-96,3,1,0,20151102,HOU,OKC,174637
174638,Shot Chart Detail,21500049,144,203079,Dion Waiters,1610612760,Oklahoma City Thunder,2,10,34,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,7,1,1,20151102,HOU,OKC,174638
174639,Shot Chart Detail,21500049,147,203079,Dion Waiters,1610612760,Oklahoma City Thunder,2,10,7,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-132,134,1,0,20151102,HOU,OKC,174639
174640,Shot Chart Detail,21500049,162,203079,Dion Waiters,1610612760,Oklahoma City Thunder,2,9,3,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-24,8,1,1,20151102,HOU,OKC,174640
174641,Shot Chart Detail,21500049,176,203079,Dion Waiters,1610612760,Oklahoma City Thunder,2,7,52,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-148,205,1,1,20151102,HOU,OKC,174641
174642,Shot Chart Detail,21500049,179,203079,Dion Waiters,1610612760,Oklahoma City Thunder,2,7,25,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,7,1,0,20151102,HOU,OKC,174642
174643,Shot Chart Detail,21500049,383,203079,Dion Waiters,1610612760,Oklahoma City Thunder,3,4,14,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,-2,218,1,0,20151102,HOU,OKC,174643
174644,Shot Chart Detail,21500066,118,203079,Dion Waiters,1610612760,Oklahoma City Thunder,1,1,16,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,146,26,1,0,20151104,OKC,TOR,174644
174645,Shot Chart Detail,21500066,143,203079,Dion Waiters,1610612760,Oklahoma City Thunder,2,11,11,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,-6,1,0,20151104,OKC,TOR,174645
174646,Shot Chart Detail,21500066,201,203079,Dion Waiters,1610612760,Oklahoma City Thunder,2,6,12,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-86,129,1,0,20151104,OKC,TOR,174646
174647,Shot Chart Detail,21500066,389,203079,Dion Waiters,1610612760,Oklahoma City Thunder,3,1,16,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-222,7,1,1,20151104,OKC,TOR,174647
174648,Shot Chart Detail,21500066,391,203079,Dion Waiters,1610612760,Oklahoma City Thunder,3,0,54,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-222,28,1,0,20151104,OKC,TOR,174648
174649,Shot Chart Detail,21500066,419,203079,Dion Waiters,1610612760,Oklahoma City Thunder,4,9,59,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,7,1,1,20151104,OKC,TOR,174649
174650,Shot Chart Detail,21500066,427,203079,Dion Waiters,1610612760,Oklahoma City Thunder,4,8,30,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,48,149,1,1,20151104,OKC,TOR,174650
174651,Shot Chart Detail,21500066,526,203079,Dion Waiters,1610612760,Oklahoma City Thunder,4,1,57,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-124,213,1,0,20151104,OKC,TOR,174651
174652,Shot Chart Detail,21500070,38,203079,Dion Waiters,1610612760,Oklahoma City Thunder,1,6,16,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,-1,1,1,20151105,CHI,OKC,174652
174653,Shot Chart Detail,21500070,145,203079,Dion Waiters,1610612760,Oklahoma City Thunder,2,10,50,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,46,183,1,0,20151105,CHI,OKC,174653
174654,Shot Chart Detail,21500070,470,203079,Dion Waiters,1610612760,Oklahoma City Thunder,4,3,11,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-173,106,1,1,20151105,CHI,OKC,174654
174655,Shot Chart Detail,21500097,86,203079,Dion Waiters,1610612760,Oklahoma City Thunder,1,4,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,187,170,1,1,20151108,OKC,PHX,174655
174656,Shot Chart Detail,21500097,105,203079,Dion Waiters,1610612760,Oklahoma City Thunder,1,3,4,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,9,160,1,0,20151108,OKC,PHX,174656
174657,Shot Chart Detail,21500097,145,203079,Dion Waiters,1610612760,Oklahoma City Thunder,1,0,43,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,173,183,1,0,20151108,OKC,PHX,174657
174658,Shot Chart Detail,21500097,176,203079,Dion Waiters,1610612760,Oklahoma City Thunder,2,10,22,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-133,95,1,1,20151108,OKC,PHX,174658
174659,Shot Chart Detail,21500097,188,203079,Dion Waiters,1610612760,Oklahoma City Thunder,2,9,13,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-151,43,1,1,20151108,OKC,PHX,174659
174660,Shot Chart Detail,21500097,201,203079,Dion Waiters,1610612760,Oklahoma City Thunder,2,8,20,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151108,OKC,PHX,174660
