,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
41687,Shot Chart Detail,21500014,2,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,1,11,41,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,128,159,1,0,20151028,PHX,DAL
41688,Shot Chart Detail,21500014,10,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,1,10,30,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,16,-160,-5,1,0,20151028,PHX,DAL
41689,Shot Chart Detail,21500014,139,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,1,1,35,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,146,7,1,1,20151028,PHX,DAL
41690,Shot Chart Detail,21500014,196,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,2,9,33,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,89,156,1,0,20151028,PHX,DAL
41691,Shot Chart Detail,21500014,334,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,3,11,21,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,97,139,1,1,20151028,PHX,DAL
41692,Shot Chart Detail,21500014,345,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,3,10,34,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,6,244,1,1,20151028,PHX,DAL
41693,Shot Chart Detail,21500014,348,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,3,10,9,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,68,193,1,0,20151028,PHX,DAL
41694,Shot Chart Detail,21500014,350,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,3,10,6,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,11,1,1,20151028,PHX,DAL
41695,Shot Chart Detail,21500014,361,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,3,9,7,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-163,141,1,1,20151028,PHX,DAL
41696,Shot Chart Detail,21500014,517,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,4,8,22,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,155,75,1,0,20151028,PHX,DAL
41697,Shot Chart Detail,21500020,9,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,1,10,47,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-9,254,1,0,20151029,LAC,DAL
41698,Shot Chart Detail,21500020,61,1717,Dirk Nowitzki,1610612742,Dallas Mavericks,1,6,14,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,169,-16,1,0,20151029,LAC,DAL
