,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
161240,Shot Chart Detail,21500003,4,203110,Draymond Green,1610612744,Golden State Warriors,1,11,35,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-217,149,1,1,20151027,GSW,NOP
161241,Shot Chart Detail,21500003,66,203110,Draymond Green,1610612744,Golden State Warriors,1,4,18,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,17,-6,175,1,1,20151027,GSW,NOP
161242,Shot Chart Detail,21500003,214,203110,Draymond Green,1610612744,Golden State Warriors,2,5,35,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,19,257,1,1,20151027,GSW,NOP
161243,Shot Chart Detail,21500003,219,203110,Draymond Green,1610612744,Golden State Warriors,2,4,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-140,223,1,0,20151027,GSW,NOP
161244,Shot Chart Detail,21500003,297,203110,Draymond Green,1610612744,Golden State Warriors,3,10,23,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,189,188,1,0,20151027,GSW,NOP
161245,Shot Chart Detail,21500003,315,203110,Draymond Green,1610612744,Golden State Warriors,3,9,7,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,61,36,1,0,20151027,GSW,NOP
161246,Shot Chart Detail,21500003,329,203110,Draymond Green,1610612744,Golden State Warriors,3,8,11,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-43,65,1,0,20151027,GSW,NOP
161247,Shot Chart Detail,21500003,489,203110,Draymond Green,1610612744,Golden State Warriors,4,8,37,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,16,1,0,20151027,GSW,NOP
161248,Shot Chart Detail,21500003,486,203110,Draymond Green,1610612744,Golden State Warriors,4,8,37,Missed Shot,Running Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,0,36,1,0,20151027,GSW,NOP
161249,Shot Chart Detail,21500003,487,203110,Draymond Green,1610612744,Golden State Warriors,4,8,37,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,13,1,0,20151027,GSW,NOP
161250,Shot Chart Detail,21500003,505,203110,Draymond Green,1610612744,Golden State Warriors,4,7,16,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-2,247,1,0,20151027,GSW,NOP
161251,Shot Chart Detail,21500003,555,203110,Draymond Green,1610612744,Golden State Warriors,4,1,58,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,127,134,1,0,20151027,GSW,NOP
161252,Shot Chart Detail,21500030,20,203110,Draymond Green,1610612744,Golden State Warriors,1,10,8,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,27,7,1,0,20151030,HOU,GSW
161253,Shot Chart Detail,21500030,52,203110,Draymond Green,1610612744,Golden State Warriors,1,7,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-47,239,1,0,20151030,HOU,GSW
161254,Shot Chart Detail,21500030,97,203110,Draymond Green,1610612744,Golden State Warriors,1,4,35,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,232,0,1,1,20151030,HOU,GSW
161255,Shot Chart Detail,21500030,217,203110,Draymond Green,1610612744,Golden State Warriors,2,7,23,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,0,1,0,20151030,HOU,GSW
161256,Shot Chart Detail,21500030,351,203110,Draymond Green,1610612744,Golden State Warriors,3,8,24,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,55,36,1,0,20151030,HOU,GSW
