,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
91712,Shot Chart Detail,21500014,111,203939,Dwight Powell,1610612742,Dallas Mavericks,1,3,26,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,10,72,1,0,20151028,PHX,DAL
91713,Shot Chart Detail,21500014,114,203939,Dwight Powell,1610612742,Dallas Mavericks,1,3,11,Missed Shot,Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-30,2,1,0,20151028,PHX,DAL
91714,Shot Chart Detail,21500014,272,203939,Dwight Powell,1610612742,Dallas Mavericks,2,2,59,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,-1,1,1,20151028,PHX,DAL
91715,Shot Chart Detail,21500014,410,203939,Dwight Powell,1610612742,Dallas Mavericks,3,5,14,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-50,-1,1,0,20151028,PHX,DAL
91716,Shot Chart Detail,21500014,419,203939,Dwight Powell,1610612742,Dallas Mavericks,3,4,59,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,PHX,DAL
91717,Shot Chart Detail,21500014,538,203939,Dwight Powell,1610612742,Dallas Mavericks,4,6,20,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,-1,1,1,20151028,PHX,DAL
91718,Shot Chart Detail,21500014,548,203939,Dwight Powell,1610612742,Dallas Mavericks,4,5,16,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151028,PHX,DAL
91719,Shot Chart Detail,21500020,47,203939,Dwight Powell,1610612742,Dallas Mavericks,1,7,11,Made Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,2,146,1,1,20151029,LAC,DAL
91720,Shot Chart Detail,21500020,100,203939,Dwight Powell,1610612742,Dallas Mavericks,1,3,10,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,101,160,1,0,20151029,LAC,DAL
91721,Shot Chart Detail,21500020,104,203939,Dwight Powell,1610612742,Dallas Mavericks,1,2,46,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-24,165,1,1,20151029,LAC,DAL
91722,Shot Chart Detail,21500020,107,203939,Dwight Powell,1610612742,Dallas Mavericks,1,2,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,168,16,1,0,20151029,LAC,DAL
91723,Shot Chart Detail,21500020,232,203939,Dwight Powell,1610612742,Dallas Mavericks,2,3,47,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-19,164,1,0,20151029,LAC,DAL
91724,Shot Chart Detail,21500020,302,203939,Dwight Powell,1610612742,Dallas Mavericks,2,0,20,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,2,21,1,1,20151029,LAC,DAL
