,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
163599,Shot Chart Detail,21500002,65,202734,E'Twaun Moore,1610612741,Chicago Bulls,1,5,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-199,141,1,0,20151027,CHI,CLE
163600,Shot Chart Detail,21500002,75,202734,E'Twaun Moore,1610612741,Chicago Bulls,1,4,16,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,64,21,1,1,20151027,CHI,CLE
163601,Shot Chart Detail,21500002,136,202734,E'Twaun Moore,1610612741,Chicago Bulls,1,0,45,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,7,1,1,20151027,CHI,CLE
163602,Shot Chart Detail,21500002,379,202734,E'Twaun Moore,1610612741,Chicago Bulls,3,3,14,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,42,67,1,1,20151027,CHI,CLE
163603,Shot Chart Detail,21500002,384,202734,E'Twaun Moore,1610612741,Chicago Bulls,3,2,29,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-6,156,1,1,20151027,CHI,CLE
163604,Shot Chart Detail,21500002,401,202734,E'Twaun Moore,1610612741,Chicago Bulls,3,0,32,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-47,16,1,0,20151027,CHI,CLE
163605,Shot Chart Detail,21500002,416,202734,E'Twaun Moore,1610612741,Chicago Bulls,4,11,36,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,16,164,-1,1,0,20151027,CHI,CLE
163606,Shot Chart Detail,21500002,427,202734,E'Twaun Moore,1610612741,Chicago Bulls,4,10,23,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,61,237,1,1,20151027,CHI,CLE
163607,Shot Chart Detail,21500006,121,202734,E'Twaun Moore,1610612741,Chicago Bulls,2,11,10,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,-1,1,1,20151028,BKN,CHI
163608,Shot Chart Detail,21500006,145,202734,E'Twaun Moore,1610612741,Chicago Bulls,2,8,16,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-55,16,1,1,20151028,BKN,CHI
