,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
83970,Shot Chart Detail,21500010,74,1626144,Emmanuel Mudiay,1610612743,Denver Nuggets,1,5,6,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,7,1,0,20151028,HOU,DEN,83970
83971,Shot Chart Detail,21500010,81,1626144,Emmanuel Mudiay,1610612743,Denver Nuggets,1,4,27,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-228,124,1,1,20151028,HOU,DEN,83971
83972,Shot Chart Detail,21500010,154,1626144,Emmanuel Mudiay,1610612743,Denver Nuggets,2,9,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-55,154,1,0,20151028,HOU,DEN,83972
83973,Shot Chart Detail,21500010,173,1626144,Emmanuel Mudiay,1610612743,Denver Nuggets,2,7,51,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-127,224,1,0,20151028,HOU,DEN,83973
83974,Shot Chart Detail,21500010,213,1626144,Emmanuel Mudiay,1610612743,Denver Nuggets,2,4,27,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-71,61,1,0,20151028,HOU,DEN,83974
83975,Shot Chart Detail,21500010,235,1626144,Emmanuel Mudiay,1610612743,Denver Nuggets,2,2,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-109,223,1,1,20151028,HOU,DEN,83975
83976,Shot Chart Detail,21500010,302,1626144,Emmanuel Mudiay,1610612743,Denver Nuggets,3,7,22,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,17,56,1,1,20151028,HOU,DEN,83976
83977,Shot Chart Detail,21500010,421,1626144,Emmanuel Mudiay,1610612743,Denver Nuggets,4,9,41,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,220,124,1,1,20151028,HOU,DEN,83977
83978,Shot Chart Detail,21500010,427,1626144,Emmanuel Mudiay,1610612743,Denver Nuggets,4,8,34,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-58,80,1,1,20151028,HOU,DEN,83978
83979,Shot Chart Detail,21500010,431,1626144,Emmanuel Mudiay,1610612743,Denver Nuggets,4,8,2,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-20,185,1,1,20151028,HOU,DEN,83979
83980,Shot Chart Detail,21500010,457,1626144,Emmanuel Mudiay,1610612743,Denver Nuggets,4,5,55,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-155,134,1,0,20151028,HOU,DEN,83980
83981,Shot Chart Detail,21500010,461,1626144,Emmanuel Mudiay,1610612743,Denver Nuggets,4,5,23,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,21,1,0,20151028,HOU,DEN,83981
