,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
99239,Shot Chart Detail,21500013,93,202683,Enes Kanter,1610612760,Oklahoma City Thunder,1,3,1,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,2,1,0,20151028,OKC,SAS,99239
99240,Shot Chart Detail,21500013,95,202683,Enes Kanter,1610612760,Oklahoma City Thunder,1,2,59,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,2,1,1,20151028,OKC,SAS,99240
99241,Shot Chart Detail,21500013,125,202683,Enes Kanter,1610612760,Oklahoma City Thunder,1,1,2,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,17,1,0,20151028,OKC,SAS,99241
99242,Shot Chart Detail,21500013,161,202683,Enes Kanter,1610612760,Oklahoma City Thunder,2,8,10,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,-5,1,1,20151028,OKC,SAS,99242
99243,Shot Chart Detail,21500013,242,202683,Enes Kanter,1610612760,Oklahoma City Thunder,2,1,6,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,-1,1,1,20151028,OKC,SAS,99243
99244,Shot Chart Detail,21500013,366,202683,Enes Kanter,1610612760,Oklahoma City Thunder,3,2,28,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,133,21,1,1,20151028,OKC,SAS,99244
99245,Shot Chart Detail,21500013,378,202683,Enes Kanter,1610612760,Oklahoma City Thunder,3,0,26,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,3,1,1,20151028,OKC,SAS,99245
99246,Shot Chart Detail,21500013,401,202683,Enes Kanter,1610612760,Oklahoma City Thunder,4,10,49,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,13,1,1,20151028,OKC,SAS,99246
99247,Shot Chart Detail,21500013,408,202683,Enes Kanter,1610612760,Oklahoma City Thunder,4,10,16,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,8,1,1,20151028,OKC,SAS,99247
99248,Shot Chart Detail,21500013,441,202683,Enes Kanter,1610612760,Oklahoma City Thunder,4,7,51,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,2,1,0,20151028,OKC,SAS,99248
99249,Shot Chart Detail,21500013,458,202683,Enes Kanter,1610612760,Oklahoma City Thunder,4,6,51,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,96,26,1,0,20151028,OKC,SAS,99249
99250,Shot Chart Detail,21500022,135,202683,Enes Kanter,1610612760,Oklahoma City Thunder,2,11,23,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,23,1,0,20151030,ORL,OKC,99250
99251,Shot Chart Detail,21500022,416,202683,Enes Kanter,1610612760,Oklahoma City Thunder,3,0,1,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-12,16,1,0,20151030,ORL,OKC,99251
99252,Shot Chart Detail,21500022,421,202683,Enes Kanter,1610612760,Oklahoma City Thunder,4,11,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,11,1,1,20151030,ORL,OKC,99252
99253,Shot Chart Detail,21500022,432,202683,Enes Kanter,1610612760,Oklahoma City Thunder,4,11,13,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,0,21,1,1,20151030,ORL,OKC,99253
99254,Shot Chart Detail,21500022,447,202683,Enes Kanter,1610612760,Oklahoma City Thunder,4,9,56,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,16,1,0,20151030,ORL,OKC,99254
99255,Shot Chart Detail,21500022,459,202683,Enes Kanter,1610612760,Oklahoma City Thunder,4,8,48,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,13,1,1,20151030,ORL,OKC,99255
99256,Shot Chart Detail,21500022,469,202683,Enes Kanter,1610612760,Oklahoma City Thunder,4,8,6,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,16,1,1,20151030,ORL,OKC,99256
99257,Shot Chart Detail,21500022,472,202683,Enes Kanter,1610612760,Oklahoma City Thunder,4,7,42,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,2,1,0,20151030,ORL,OKC,99257
99258,Shot Chart Detail,21500044,160,202683,Enes Kanter,1610612760,Oklahoma City Thunder,2,11,1,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-61,151,1,0,20151101,OKC,DEN,99258
99259,Shot Chart Detail,21500044,177,202683,Enes Kanter,1610612760,Oklahoma City Thunder,2,9,17,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,0,1,0,20151101,OKC,DEN,99259
99260,Shot Chart Detail,21500044,453,202683,Enes Kanter,1610612760,Oklahoma City Thunder,4,11,26,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,104,124,1,0,20151101,OKC,DEN,99260
99261,Shot Chart Detail,21500044,466,202683,Enes Kanter,1610612760,Oklahoma City Thunder,4,10,19,Made Shot,Turnaround Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,43,21,1,1,20151101,OKC,DEN,99261
99262,Shot Chart Detail,21500044,474,202683,Enes Kanter,1610612760,Oklahoma City Thunder,4,9,5,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,2,1,1,20151101,OKC,DEN,99262
99263,Shot Chart Detail,21500044,499,202683,Enes Kanter,1610612760,Oklahoma City Thunder,4,6,41,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,-1,1,1,20151101,OKC,DEN,99263
99264,Shot Chart Detail,21500044,501,202683,Enes Kanter,1610612760,Oklahoma City Thunder,4,6,14,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,25,-1,1,1,20151101,OKC,DEN,99264
99265,Shot Chart Detail,21500044,517,202683,Enes Kanter,1610612760,Oklahoma City Thunder,4,4,46,Missed Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-32,23,1,0,20151101,OKC,DEN,99265
99266,Shot Chart Detail,21500044,532,202683,Enes Kanter,1610612760,Oklahoma City Thunder,4,3,30,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,3,1,1,20151101,OKC,DEN,99266
99267,Shot Chart Detail,21500044,565,202683,Enes Kanter,1610612760,Oklahoma City Thunder,4,0,33,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,22,61,1,0,20151101,OKC,DEN,99267
99268,Shot Chart Detail,21500044,572,202683,Enes Kanter,1610612760,Oklahoma City Thunder,4,0,12,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,19,7,1,1,20151101,OKC,DEN,99268
99269,Shot Chart Detail,21500049,140,202683,Enes Kanter,1610612760,Oklahoma City Thunder,2,11,2,Missed Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,0,1,0,20151102,HOU,OKC,99269
99270,Shot Chart Detail,21500049,149,202683,Enes Kanter,1610612760,Oklahoma City Thunder,2,10,5,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,11,1,1,20151102,HOU,OKC,99270
99271,Shot Chart Detail,21500049,156,202683,Enes Kanter,1610612760,Oklahoma City Thunder,2,9,29,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-109,124,1,0,20151102,HOU,OKC,99271
99272,Shot Chart Detail,21500049,168,202683,Enes Kanter,1610612760,Oklahoma City Thunder,2,8,22,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,24,36,1,0,20151102,HOU,OKC,99272
99273,Shot Chart Detail,21500049,180,202683,Enes Kanter,1610612760,Oklahoma City Thunder,2,7,24,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,18,1,1,20151102,HOU,OKC,99273
99274,Shot Chart Detail,21500049,437,202683,Enes Kanter,1610612760,Oklahoma City Thunder,3,1,13,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,2,1,0,20151102,HOU,OKC,99274
