,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
172587,Shot Chart Detail,21500003,13,201569,Eric Gordon,1610612740,New Orleans Pelicans,1,9,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,79,237,1,1,20151027,GSW,NOP
172588,Shot Chart Detail,21500003,24,201569,Eric Gordon,1610612740,New Orleans Pelicans,1,8,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-47,252,1,0,20151027,GSW,NOP
172589,Shot Chart Detail,21500003,30,201569,Eric Gordon,1610612740,New Orleans Pelicans,1,7,57,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-32,26,1,0,20151027,GSW,NOP
172590,Shot Chart Detail,21500003,103,201569,Eric Gordon,1610612740,New Orleans Pelicans,1,1,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-151,213,1,0,20151027,GSW,NOP
172591,Shot Chart Detail,21500003,134,201569,Eric Gordon,1610612740,New Orleans Pelicans,2,11,19,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-14,21,1,0,20151027,GSW,NOP
172592,Shot Chart Detail,21500003,140,201569,Eric Gordon,1610612740,New Orleans Pelicans,2,10,23,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,6,36,1,1,20151027,GSW,NOP
172593,Shot Chart Detail,21500003,234,201569,Eric Gordon,1610612740,New Orleans Pelicans,2,3,30,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,89,151,1,0,20151027,GSW,NOP
172594,Shot Chart Detail,21500003,241,201569,Eric Gordon,1610612740,New Orleans Pelicans,2,3,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-115,224,1,0,20151027,GSW,NOP
172595,Shot Chart Detail,21500003,245,201569,Eric Gordon,1610612740,New Orleans Pelicans,2,2,52,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,217,149,1,0,20151027,GSW,NOP
172596,Shot Chart Detail,21500003,259,201569,Eric Gordon,1610612740,New Orleans Pelicans,2,1,34,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,9,21,1,0,20151027,GSW,NOP
172597,Shot Chart Detail,21500003,263,201569,Eric Gordon,1610612740,New Orleans Pelicans,2,0,57,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-114,120,1,1,20151027,GSW,NOP
