,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
158140,Shot Chart Detail,21500001,47,101141,Ersan Ilyasova,1610612765,Detroit Pistons,1,6,48,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,63,234,1,1,20151027,ATL,DET,158140
158141,Shot Chart Detail,21500001,145,101141,Ersan Ilyasova,1610612765,Detroit Pistons,2,9,22,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,92,224,1,0,20151027,ATL,DET,158141
158142,Shot Chart Detail,21500001,172,101141,Ersan Ilyasova,1610612765,Detroit Pistons,2,7,6,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-166,198,1,1,20151027,ATL,DET,158142
158143,Shot Chart Detail,21500001,192,101141,Ersan Ilyasova,1610612765,Detroit Pistons,2,5,14,Missed Shot,Pullup Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,2,1,0,20151027,ATL,DET,158143
158144,Shot Chart Detail,21500001,259,101141,Ersan Ilyasova,1610612765,Detroit Pistons,3,10,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-91,224,1,1,20151027,ATL,DET,158144
158145,Shot Chart Detail,21500001,295,101141,Ersan Ilyasova,1610612765,Detroit Pistons,3,5,39,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-14,2,1,1,20151027,ATL,DET,158145
158146,Shot Chart Detail,21500001,304,101141,Ersan Ilyasova,1610612765,Detroit Pistons,3,4,50,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,156,-5,1,1,20151027,ATL,DET,158146
158147,Shot Chart Detail,21500001,390,101141,Ersan Ilyasova,1610612765,Detroit Pistons,4,9,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,168,188,1,0,20151027,ATL,DET,158147
158148,Shot Chart Detail,21500001,414,101141,Ersan Ilyasova,1610612765,Detroit Pistons,4,7,7,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,2,1,0,20151027,ATL,DET,158148
158149,Shot Chart Detail,21500001,440,101141,Ersan Ilyasova,1610612765,Detroit Pistons,4,4,57,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,0,1,0,20151027,ATL,DET,158149
158150,Shot Chart Detail,21500001,442,101141,Ersan Ilyasova,1610612765,Detroit Pistons,4,4,56,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,-6,1,1,20151027,ATL,DET,158150
158151,Shot Chart Detail,21500001,491,101141,Ersan Ilyasova,1610612765,Detroit Pistons,4,1,38,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-1,1,0,20151027,ATL,DET,158151
158152,Shot Chart Detail,21500007,7,101141,Ersan Ilyasova,1610612765,Detroit Pistons,1,11,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-19,257,1,1,20151028,DET,UTA,158152
158153,Shot Chart Detail,21500007,22,101141,Ersan Ilyasova,1610612765,Detroit Pistons,1,8,33,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,19,122,154,1,1,20151028,DET,UTA,158153
158154,Shot Chart Detail,21500007,34,101141,Ersan Ilyasova,1610612765,Detroit Pistons,1,6,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-181,198,1,0,20151028,DET,UTA,158154
158155,Shot Chart Detail,21500007,46,101141,Ersan Ilyasova,1610612765,Detroit Pistons,1,4,55,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-56,0,1,0,20151028,DET,UTA,158155
158156,Shot Chart Detail,21500007,247,101141,Ersan Ilyasova,1610612765,Detroit Pistons,3,9,13,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,16,1,0,20151028,DET,UTA,158156
158157,Shot Chart Detail,21500007,274,101141,Ersan Ilyasova,1610612765,Detroit Pistons,3,6,41,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,235,72,1,1,20151028,DET,UTA,158157
158158,Shot Chart Detail,21500025,44,101141,Ersan Ilyasova,1610612765,Detroit Pistons,1,8,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,-6,1,1,20151030,DET,CHI,158158
158159,Shot Chart Detail,21500025,62,101141,Ersan Ilyasova,1610612765,Detroit Pistons,1,5,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-235,90,1,0,20151030,DET,CHI,158159
158160,Shot Chart Detail,21500025,219,101141,Ersan Ilyasova,1610612765,Detroit Pistons,2,3,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-235,124,1,0,20151030,DET,CHI,158160
158161,Shot Chart Detail,21500025,254,101141,Ersan Ilyasova,1610612765,Detroit Pistons,2,0,13,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,19,33,195,1,0,20151030,DET,CHI,158161
158162,Shot Chart Detail,21500025,292,101141,Ersan Ilyasova,1610612765,Detroit Pistons,3,8,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,215,160,1,0,20151030,DET,CHI,158162
158163,Shot Chart Detail,21500054,14,101141,Ersan Ilyasova,1610612765,Detroit Pistons,1,9,59,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-205,154,1,1,20151103,DET,IND,158163
158164,Shot Chart Detail,21500054,34,101141,Ersan Ilyasova,1610612765,Detroit Pistons,1,7,54,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,-10,1,0,20151103,DET,IND,158164
158165,Shot Chart Detail,21500054,36,101141,Ersan Ilyasova,1610612765,Detroit Pistons,1,7,53,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,-16,1,1,20151103,DET,IND,158165
