,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
10206,Shot Chart Detail,21500003,97,203105,Festus Ezeli,1610612744,Golden State Warriors,1,2,24,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151027,GSW,NOP
10207,Shot Chart Detail,21500003,132,203105,Festus Ezeli,1610612744,Golden State Warriors,2,11,42,Missed Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-40,67,1,0,20151027,GSW,NOP
10208,Shot Chart Detail,21500003,346,203105,Festus Ezeli,1610612744,Golden State Warriors,3,6,55,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151027,GSW,NOP
10209,Shot Chart Detail,21500003,353,203105,Festus Ezeli,1610612744,Golden State Warriors,3,6,23,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151027,GSW,NOP
10210,Shot Chart Detail,21500003,394,203105,Festus Ezeli,1610612744,Golden State Warriors,3,3,24,Missed Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-12,18,1,0,20151027,GSW,NOP
10211,Shot Chart Detail,21500003,407,203105,Festus Ezeli,1610612744,Golden State Warriors,3,2,52,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,43,23,1,0,20151027,GSW,NOP
10212,Shot Chart Detail,21500003,435,203105,Festus Ezeli,1610612744,Golden State Warriors,3,1,9,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,13,1,1,20151027,GSW,NOP
10213,Shot Chart Detail,21500003,528,203105,Festus Ezeli,1610612744,Golden State Warriors,4,5,2,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151027,GSW,NOP
10214,Shot Chart Detail,21500003,548,203105,Festus Ezeli,1610612744,Golden State Warriors,4,3,1,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151027,GSW,NOP
10215,Shot Chart Detail,21500003,558,203105,Festus Ezeli,1610612744,Golden State Warriors,4,1,40,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,123,110,1,0,20151027,GSW,NOP
10216,Shot Chart Detail,21500030,18,203105,Festus Ezeli,1610612744,Golden State Warriors,1,10,36,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,25,23,1,1,20151030,HOU,GSW
10217,Shot Chart Detail,21500030,115,203105,Festus Ezeli,1610612744,Golden State Warriors,1,3,30,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,7,1,0,20151030,HOU,GSW
10218,Shot Chart Detail,21500030,206,203105,Festus Ezeli,1610612744,Golden State Warriors,2,8,9,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20151030,HOU,GSW
