,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,Original_Index
72920,Shot Chart Detail,21500008,163,1626163,Frank Kaminsky,1610612766,Charlotte Hornets,2,9,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,-11,249,1,0,20151028,MIA,CHA,72920
72921,Shot Chart Detail,21500008,186,1626163,Frank Kaminsky,1610612766,Charlotte Hornets,2,6,53,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-73,-1,1,0,20151028,MIA,CHA,72921
72922,Shot Chart Detail,21500026,222,1626163,Frank Kaminsky,1610612766,Charlotte Hornets,2,4,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,114,218,1,1,20151030,ATL,CHA,72922
72923,Shot Chart Detail,21500026,261,1626163,Frank Kaminsky,1610612766,Charlotte Hornets,2,1,40,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-6,124,1,1,20151030,ATL,CHA,72923
72924,Shot Chart Detail,21500026,268,1626163,Frank Kaminsky,1610612766,Charlotte Hornets,2,0,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,23,-92,219,1,0,20151030,ATL,CHA,72924
72925,Shot Chart Detail,21500026,419,1626163,Frank Kaminsky,1610612766,Charlotte Hornets,4,10,15,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,25,26,1,0,20151030,ATL,CHA,72925
72926,Shot Chart Detail,21500026,439,1626163,Frank Kaminsky,1610612766,Charlotte Hornets,4,8,45,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,7,1,0,20151030,ATL,CHA,72926
72927,Shot Chart Detail,21500039,140,1626163,Frank Kaminsky,1610612766,Charlotte Hornets,2,7,12,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-140,213,1,1,20151101,CHA,ATL,72927
72928,Shot Chart Detail,21500053,149,1626163,Frank Kaminsky,1610612766,Charlotte Hornets,2,7,37,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,17,143,97,1,0,20151103,CHA,CHI,72928
72929,Shot Chart Detail,21500053,171,1626163,Frank Kaminsky,1610612766,Charlotte Hornets,2,5,20,Made Shot,Jump Bank Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,9,249,1,1,20151103,CHA,CHI,72929
72930,Shot Chart Detail,21500053,226,1626163,Frank Kaminsky,1610612766,Charlotte Hornets,2,0,57,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-78,242,1,1,20151103,CHA,CHI,72930
72931,Shot Chart Detail,21500053,402,1626163,Frank Kaminsky,1610612766,Charlotte Hornets,4,7,17,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-84,31,1,0,20151103,CHA,CHI,72931
72932,Shot Chart Detail,21500053,437,1626163,Frank Kaminsky,1610612766,Charlotte Hornets,4,3,58,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-187,31,1,0,20151103,CHA,CHI,72932
72933,Shot Chart Detail,21500053,480,1626163,Frank Kaminsky,1610612766,Charlotte Hornets,4,0,18,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-14,18,1,0,20151103,CHA,CHI,72933
