,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
76308,Shot Chart Detail,21500009,52,201588,George Hill,1610612754,Indiana Pacers,1,7,24,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-88,228,1,0,20151028,TOR,IND
76309,Shot Chart Detail,21500009,67,201588,George Hill,1610612754,Indiana Pacers,1,6,17,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,7,1,1,20151028,TOR,IND
76310,Shot Chart Detail,21500009,238,201588,George Hill,1610612754,Indiana Pacers,2,3,45,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-30,65,1,0,20151028,TOR,IND
76311,Shot Chart Detail,21500009,299,201588,George Hill,1610612754,Indiana Pacers,3,10,20,Missed Shot,Running Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,7,1,0,20151028,TOR,IND
76312,Shot Chart Detail,21500009,307,201588,George Hill,1610612754,Indiana Pacers,3,9,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-63,242,1,1,20151028,TOR,IND
76313,Shot Chart Detail,21500009,329,201588,George Hill,1610612754,Indiana Pacers,3,7,8,Made Shot,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,25,-245,51,1,1,20151028,TOR,IND
76314,Shot Chart Detail,21500009,342,201588,George Hill,1610612754,Indiana Pacers,3,5,40,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,7,1,0,20151028,TOR,IND
76315,Shot Chart Detail,21500009,364,201588,George Hill,1610612754,Indiana Pacers,3,3,40,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,2,1,1,20151028,TOR,IND
76316,Shot Chart Detail,21500009,487,201588,George Hill,1610612754,Indiana Pacers,4,7,18,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,-1,1,1,20151028,TOR,IND
76317,Shot Chart Detail,21500009,499,201588,George Hill,1610612754,Indiana Pacers,4,6,16,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,11,1,1,20151028,TOR,IND
76318,Shot Chart Detail,21500018,8,201588,George Hill,1610612754,Indiana Pacers,1,10,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-76,247,1,0,20151029,IND,MEM
76319,Shot Chart Detail,21500018,70,201588,George Hill,1610612754,Indiana Pacers,1,5,7,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-129,33,1,0,20151029,IND,MEM
76320,Shot Chart Detail,21500018,79,201588,George Hill,1610612754,Indiana Pacers,1,3,58,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,18,-117,146,1,0,20151029,IND,MEM
76321,Shot Chart Detail,21500018,175,201588,George Hill,1610612754,Indiana Pacers,2,8,22,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,0,1,1,20151029,IND,MEM
76322,Shot Chart Detail,21500018,181,201588,George Hill,1610612754,Indiana Pacers,2,6,40,Missed Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,2,1,0,20151029,IND,MEM
76323,Shot Chart Detail,21500018,197,201588,George Hill,1610612754,Indiana Pacers,2,5,56,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-243,-10,1,1,20151029,IND,MEM
76324,Shot Chart Detail,21500018,246,201588,George Hill,1610612754,Indiana Pacers,2,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,30,-40,306,1,0,20151029,IND,MEM
76325,Shot Chart Detail,21500018,269,201588,George Hill,1610612754,Indiana Pacers,3,10,7,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,199,165,1,1,20151029,IND,MEM
76326,Shot Chart Detail,21500018,274,201588,George Hill,1610612754,Indiana Pacers,3,9,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,153,198,1,0,20151029,IND,MEM
76327,Shot Chart Detail,21500018,310,201588,George Hill,1610612754,Indiana Pacers,3,6,26,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,55,100,1,0,20151029,IND,MEM
76328,Shot Chart Detail,21500018,314,201588,George Hill,1610612754,Indiana Pacers,3,6,14,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,240,21,1,1,20151029,IND,MEM
76329,Shot Chart Detail,21500018,319,201588,George Hill,1610612754,Indiana Pacers,3,5,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,187,174,1,0,20151029,IND,MEM
76330,Shot Chart Detail,21500018,450,201588,George Hill,1610612754,Indiana Pacers,4,6,29,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,16,1,1,20151029,IND,MEM
76331,Shot Chart Detail,21500018,517,201588,George Hill,1610612754,Indiana Pacers,4,0,47,Made Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,2,1,1,20151029,IND,MEM
76332,Shot Chart Detail,21500018,526,201588,George Hill,1610612754,Indiana Pacers,4,0,19,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,29,-79,287,1,0,20151029,IND,MEM
76333,Shot Chart Detail,21500033,4,201588,George Hill,1610612754,Indiana Pacers,1,11,26,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-245,-16,1,1,20151031,IND,UTA
76334,Shot Chart Detail,21500033,8,201588,George Hill,1610612754,Indiana Pacers,1,10,42,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,42,124,1,0,20151031,IND,UTA
76335,Shot Chart Detail,21500033,255,201588,George Hill,1610612754,Indiana Pacers,2,0,4,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-246,-15,1,0,20151031,IND,UTA
76336,Shot Chart Detail,21500033,270,201588,George Hill,1610612754,Indiana Pacers,3,10,24,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,55,164,1,0,20151031,IND,UTA
76337,Shot Chart Detail,21500033,394,201588,George Hill,1610612754,Indiana Pacers,4,10,33,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,222,26,1,1,20151031,IND,UTA
76338,Shot Chart Detail,21500033,396,201588,George Hill,1610612754,Indiana Pacers,4,10,0,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-48,178,1,1,20151031,IND,UTA
76339,Shot Chart Detail,21500033,401,201588,George Hill,1610612754,Indiana Pacers,4,9,24,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-246,-11,1,1,20151031,IND,UTA
76340,Shot Chart Detail,21500033,430,201588,George Hill,1610612754,Indiana Pacers,4,6,55,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,2,1,0,20151031,IND,UTA
76341,Shot Chart Detail,21500033,469,201588,George Hill,1610612754,Indiana Pacers,4,3,30,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,-15,1,1,20151031,IND,UTA
76342,Shot Chart Detail,21500054,31,201588,George Hill,1610612754,Indiana Pacers,1,8,18,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-79,139,1,1,20151103,DET,IND
76343,Shot Chart Detail,21500054,40,201588,George Hill,1610612754,Indiana Pacers,1,7,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,101,237,1,0,20151103,DET,IND
